row_id,target,expected,token_id,reference,surface,normalized_surface,lemma,gram_class,case,gender,number,person,mood,tense,voice,decision,reason,source
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h022_09_zur_a_02,RV 1.22.9a,pátnīḥ,patnīḥ,pátnī-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h022_11_zur_a_03,RV 1.22.11a,devī́ḥ,devīḥ,devī́-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h022_11_zur_b_03,RV 1.22.11b,nr̥pátnīḥ,nṛpatnīḥ,nr̥pátnī-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
NU-02,trīṇi,NOM/ACC.PL.N numeral,b01_h022_18_zur_a_01,RV 1.22.18a,trī́ṇi,trīṇi,trí-,nominal stem,ACC,N,PL,,,,,accepted,acc plural neuter,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h023_18_zur_a_02,RV 1.23.18a,devī́ḥ,devīḥ,devī́-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
SG-27,asme,DAT/LOC.PL pronoun,b01_h024_07_zur_d_01,RV 1.24.7d,asmé,asme,ahám,pronoun,LOC,,PL,,,,,accepted,loc plural pronoun,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
NU-06,śatam,syntax review: uninflected collective,b01_h024_09_zur_a_01,RV 1.24.9a,śatám,śatam,śatá-,nominal stem,NOM,N,SG,,,,,review,token morphology cannot decide the construction,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
NU-06,sahasram,syntax review: uninflected collective,b01_h024_09_zur_a_05,RV 1.24.9a,sahásram,sahasram,sahásra-,nominal stem,NOM,N,SG,,,,,review,token morphology cannot decide the construction,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-20,yā,NOM/ACC.PL.N relative,b01_h025_11_zur_c_02,RV 1.25.11c,yā́,yā,yá-,pronoun,ACC,N,PL,,,,,accepted,acc plural neuter,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
NU-06,śatam,syntax review: uninflected collective,b01_h030_02_zur_a_01,RV 1.30.2a,śatám,śatam,śatá-,nominal stem,,N,SG,,,,,review,token morphology cannot decide the construction,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
NU-06,sahasram,syntax review: uninflected collective,b01_h030_02_zur_b_01,RV 1.30.2b,sahásram,sahasram,sahásra-,nominal stem,,N,SG,,,,,review,token morphology cannot decide the construction,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
SG-28,enā,INS.SG demonstrative or adverbial,b01_h030_03_zur_b_01,RV 1.30.3b,enā́,enā,ayám,pronoun,INS,,SG,,,,,accepted,instrumental singular,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
SG-27,asme,DAT/LOC.PL pronoun,b01_h030_22_zur_c_01,RV 1.30.22c,asmé,asme,ahám,pronoun,LOC,,PL,,,,,accepted,loc plural pronoun,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-20,yāni,NOM/ACC.PL.N relative,b01_h032_01_zur_b_01,RV 1.32.1b,yā́ni,yāni,yá-,pronoun,,N,PL,,,,,accepted, plural neuter,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h032_11_zur_a_01,RV 1.32.11a,dāsápatnīḥ,dāsapatnīḥ,dāsápatnī-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
SG-27,asme,DAT/LOC.PL pronoun,b01_h034_04_zur_d_03,RV 1.34.4d,asmé,asme,ahám,pronoun,DAT,,PL,,,,,accepted,dat plural pronoun,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,yaḥ,NOM/ACC.PL.F comparison suffix,b01_h034_05_zur_b_06,RV 1.34.5b,dhíyaḥ,dhiyaḥ,dhī́-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h034_08_zur_c_02,RV 1.34.8c,pr̥thivī́ḥ,pṛthivīḥ,pr̥thivī́-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
NU-02,trī,NOM/ACC.PL.N numeral,b01_h034_09_zur_a_02,RV 1.34.9a,trī́,trī,trí-,nominal stem,NOM,N,PL,,,,,accepted,nom plural neuter,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
NU-04,aṣṭau,NOM/ACC numeral,b01_h035_08_zur_a_01,RV 1.35.8a,aṣṭaú,aṣṭau,aṣṭā́-,nominal stem,ACC,F,PL,,,,,accepted,annotated with the numeral lemma,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
NU-02,trī,NOM/ACC.PL.N numeral,b01_h035_08_zur_b_01,RV 1.35.8b,trī́,trī,trí-,nominal stem,ACC,N,PL,,,,,accepted,acc plural neuter,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-20,yāni,NOM/ACC.PL.N relative,b01_h036_05_zur_d_01,RV 1.36.5d,yā́ni,yāni,yá-,pronoun,ACC,N,PL,,,,,accepted,acc plural neuter,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
SG-27,asme,DAT/LOC.PL pronoun,b01_h038_15_zur_c_01,RV 1.38.15c,asmé,asme,ahám,pronoun,LOC,,PL,,,,,accepted,loc plural pronoun,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
SG-27,asme,DAT/LOC.PL pronoun,b01_h043_07_zur_a_01,RV 1.43.7a,asmé,asme,ahám,pronoun,,,PL,,,,,accepted,plural pronoun; relation untagged,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
SG-27,asme,DAT/LOC.PL pronoun,b01_h044_02_zur_d_01,RV 1.44.2d,asmé,asme,ahám,pronoun,,,PL,,,,,accepted,plural pronoun; relation untagged,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
SG-27,asme,DAT/LOC.PL pronoun,b01_h046_06_zur_c_02,RV 1.46.6c,asmé,asme,ahám,pronoun,DAT,,PL,,,,,accepted,dat plural pronoun,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
SG-27,asme,DAT/LOC.PL pronoun,b01_h047_06_zur_d_01,RV 1.47.6d,asmé,asme,ahám,pronoun,,,PL,,,,,accepted,plural pronoun; relation untagged,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
NU-06,śatam,syntax review: uninflected collective,b01_h048_07_zur_c_01,RV 1.48.7c,śatám,śatam,śatá-,nominal stem,,N,SG,,,,,review,token morphology cannot decide the construction,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,yaḥ,NOM/ACC.PL.F comparison suffix,b01_h050_09_zur_b_03,RV 1.50.9b,naptyàḥ,naptyaḥ,naptī́-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
NU-06,śatam,syntax review: uninflected collective,b01_h052_01_zur_b_01,RV 1.52.1b,śatám,śatam,śatá-,nominal stem,NOM,N,SG,,,,,review,token morphology cannot decide the construction,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-20,yāni,NOM/ACC.PL.N relative,b01_h052_07_zur_b_04,RV 1.52.7b,yā́ni,yāni,yá-,pronoun,,N,PL,,,,,accepted, plural neuter,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,yaḥ,NOM/ACC.PL.F comparison suffix,b01_h054_01_zur_c_02,RV 1.54.1c,nadyàḥ,nadyaḥ,nadī́-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h054_01_zur_d_03,RV 1.54.1d,kṣoṇī́ḥ,kṣoṇīḥ,kṣoṇí- ~ kṣoṇī́-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
SG-27,asme,DAT/LOC.PL pronoun,b01_h054_11_zur_a_06,RV 1.54.11a,asmé,asme,ahám,pronoun,,,PL,,,,,accepted,plural pronoun; relation untagged,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,yaḥ,NOM/ACC.PL.F comparison suffix,b01_h055_02_zur_a_04,RV 1.55.2a,nadyàḥ,nadyaḥ,nadī́-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h057_04_zur_d_01,RV 1.57.4d,kṣoṇī́ḥ,kṣoṇīḥ,kṣoṇí- ~ kṣoṇī́-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-20,yā,NOM/ACC.PL.N relative,b01_h059_03_zur_c_01,RV 1.59.3c,yā́,yā,yá-,pronoun,NOM,N,PL,,,,,accepted,nom plural neuter,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-20,yā,NOM/ACC.PL.N relative,b01_h059_03_zur_d_01,RV 1.59.3d,yā́,yā,yá-,pronoun,NOM,N,PL,,,,,accepted,nom plural neuter,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h059_04_zur_d_03,RV 1.59.4d,yahvī́ḥ,yahvīḥ,yahvī́-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,yaḥ,NOM/ACC.PL.F comparison suffix,b01_h061_02_zur_d_03,RV 1.61.2d,dhíyaḥ,dhiyaḥ,dhī́-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h061_08_zur_a_06,RV 1.61.8a,devápatnīḥ,devapatnīḥ,devápatnī-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,yaḥ,NOM/ACC.PL.F comparison suffix,b01_h062_06_zur_d_02,RV 1.62.6d,nadyàḥ,nadyaḥ,nadī́-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h062_10_zur_c_05,RV 1.62.10c,pátnīḥ,patnīḥ,pátnī-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h062_11_zur_c_03,RV 1.62.11c,pátnīḥ,patnīḥ,pátnī-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h064_07_zur_d_03,RV 1.64.7d,táviṣīḥ,taviṣīḥ,táviṣī-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
NU-06,śatam,syntax review: uninflected collective,b01_h064_14_zur_d_04,RV 1.64.14d,śatám,śatam,śatá-,nominal stem,ACC,N,SG,,,,,review,token morphology cannot decide the construction,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
SG-27,asme,DAT/LOC.PL pronoun,b01_h071_02_zur_c_05,RV 1.71.2c,asmé,asme,ahám,pronoun,DAT,,PL,,,,,accepted,dat plural pronoun,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,yaḥ,NOM/ACC.PL.F comparison suffix,b01_h071_05_zur_b_03,RV 1.71.5b,pr̥śanyàḥ,pṛśanyaḥ,pr̥śanī́-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h071_07_zur_b_05,RV 1.71.7b,yahvī́ḥ,yahvīḥ,yahvī́-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
SG-27,asme,DAT/LOC.PL pronoun,b01_h072_02_zur_a_01,RV 1.72.2a,asmé,asme,ahám,pronoun,LOC,,PL,,,,,accepted,loc plural pronoun,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h072_08_zur_a_05,RV 1.72.8a,yahvī́ḥ,yahvīḥ,yahvī́-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h072_10_zur_d_04,RV 1.72.10d,áruṣīḥ,aruṣīḥ,áruṣī-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
SG-27,asme,DAT/LOC.PL pronoun,b01_h074_01_zur_c_02,RV 1.74.1c,asmé,asme,ahám,pronoun,LOC,,PL,,,,,accepted,loc plural pronoun,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
SG-27,asme,DAT/LOC.PL pronoun,b01_h079_04_zur_c_01,RV 1.79.4c,asmé,asme,ahám,pronoun,,,PL,,,,,accepted,plural pronoun; relation untagged,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
NU-06,sahasram,syntax review: uninflected collective,b01_h080_09_zur_a_01,RV 1.80.9a,sahásram,sahasram,sahásra-,nominal stem,,N,SG,,,,,review,token morphology cannot decide the construction,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h083_02_zur_a_03,RV 1.83.2a,devī́ḥ,devīḥ,devī́-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,yaḥ,NOM/ACC.PL.F comparison suffix,b01_h084_10_zur_b_03,RV 1.84.10b,gauryàḥ,gauryaḥ,gaurī́-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,yaḥ,NOM/ACC.PL.F comparison suffix,b01_h085_02_zur_d_02,RV 1.85.2d,śríyaḥ,śriyaḥ,śrī́-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-20,yā,NOM/ACC.PL.N relative,b01_h085_12_zur_a_01,RV 1.85.12a,yā́,yā,yá-,pronoun,NOM,N,PL,,,,,accepted,nom plural neuter,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
SG-16,śami,INS.SG.F,b01_h087_05_zur_c_04,RV 1.87.5c,śámi,śami,śámī-,nominal stem,INS,F,SG,,,,,accepted,instrumental singular feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h088_03_zur_a_06,RV 1.88.3a,vā́śīḥ,vāśīḥ,vā́śī-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
NU-06,śatam,syntax review: uninflected collective,b01_h089_09_zur_a_01,RV 1.89.9a,śatám,śatam,śatá-,nominal stem,NOM,N,SG,,,,,review,token morphology cannot decide the construction,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
NU-05,pañca,syntax review: uninflected numeral,b01_h089_10_zur_c_04,RV 1.89.10c,páñca,pañca,páñca-,nominal stem,NOM,M,PL,,,,,review,token morphology cannot decide the construction,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,yaḥ,NOM/ACC.PL.F comparison suffix,b01_h090_05_zur_a_03,RV 1.90.5a,dhíyaḥ,dhiyaḥ,dhī́-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h090_06_zur_c_01,RV 1.90.6c,mā́dhvīḥ,mādhvīḥ,mā́dhvī-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h090_06_zur_c_04,RV 1.90.6c,óṣadhīḥ,oṣadhīḥ,óṣadhī-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h090_08_zur_c_01,RV 1.90.8c,mā́dhvīḥ,mādhvīḥ,mā́dhvī-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-20,yā,NOM/ACC.PL.N relative,b01_h091_04_zur_a_01,RV 1.91.4a,yā́,yā,yá-,pronoun,NOM,N,PL,,,,,accepted,nom plural neuter,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-20,yā,NOM/ACC.PL.N relative,b01_h091_04_zur_a_05,RV 1.91.4a,yā́,yā,yá-,pronoun,NOM,N,PL,,,,,accepted,nom plural neuter,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-20,yā,NOM/ACC.PL.N relative,b01_h091_04_zur_b_01,RV 1.91.4b,yā́,yā,yá-,pronoun,NOM,N,PL,,,,,accepted,nom plural neuter,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-20,yā,NOM/ACC.PL.N relative,b01_h091_19_zur_a_01,RV 1.91.19a,yā́,yā,yá-,pronoun,ACC,N,PL,,,,,accepted,acc plural neuter,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h091_22_zur_a_03,RV 1.91.22a,óṣadhīḥ,oṣadhīḥ,óṣadhī-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h092_01_zur_d_03,RV 1.92.1d,áruṣīḥ,aruṣīḥ,áruṣī-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h092_02_zur_b_02,RV 1.92.2b,áruṣīḥ,aruṣīḥ,áruṣī-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h092_02_zur_d_03,RV 1.92.2d,áruṣīḥ,aruṣīḥ,áruṣī-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h092_03_zur_a_02,RV 1.92.3a,nā́rīḥ,nārīḥ,nā́rī-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
SG-27,asme,DAT/LOC.PL pronoun,b01_h092_14_zur_c_02,RV 1.92.14c,asmé,asme,ahám,pronoun,DAT,,PL,,,,,accepted,dat plural pronoun,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-19,imāni,NOM/ACC.PL.N demonstrative,b01_h093_11_zur_a_02,RV 1.93.11a,imā́ni,imāni,ayám,pronoun,,N,PL,,,,,accepted, plural neuter,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
SG-27,asme,DAT/LOC.PL pronoun,b01_h093_12_zur_c_01,RV 1.93.12c,asmé,asme,ahám,pronoun,,,PL,,,,,accepted,plural pronoun; relation untagged,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,yaḥ,NOM/ACC.PL.F comparison suffix,b01_h094_03_zur_a_05,RV 1.94.3a,dhíyaḥ,dhiyaḥ,dhī́-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,yaḥ,NOM/ACC.PL.F comparison suffix,b01_h094_04_zur_c_04,RV 1.94.4c,dhíyaḥ,dhiyaḥ,dhī́-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
NU-02,trīṇi,NOM/ACC.PL.N numeral,b01_h095_03_zur_a_01,RV 1.95.3a,trī́ṇi,trīṇi,trí-,nominal stem,ACC,N,PL,,,,,accepted,acc plural neuter,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h098_02_zur_b_03,RV 1.98.2b,óṣadhīḥ,oṣadhīḥ,óṣadhī-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,yaḥ,NOM/ACC.PL.F comparison suffix,b01_h102_02_zur_a_03,RV 1.102.2a,nadyàḥ,nadyaḥ,nadī́-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
SG-27,asme,DAT/LOC.PL pronoun,b01_h102_02_zur_c_01,RV 1.102.2c,asmé,asme,ahám,pronoun,DAT,,PL,,,,,accepted,dat plural pronoun,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
NU-02,trīṇi,NOM/ACC.PL.N numeral,b01_h102_08_zur_b_04,RV 1.102.8b,trī́ṇi,trīṇi,trí-,nominal stem,ACC,N,PL,,,,,accepted,acc plural neuter,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h103_03_zur_b_05,RV 1.103.3b,dā́sīḥ,dāsīḥ,dā́sī-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-19,imā,NOM/ACC.PL.N demonstrative,b01_h103_04_zur_a_04,RV 1.103.4a,imā́,imā,ayám,pronoun,NOM,N,PL,,,,,accepted,nom plural neuter,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h103_05_zur_d_02,RV 1.103.5d,óṣadhīḥ,oṣadhīḥ,óṣadhī-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h103_07_zur_c_03,RV 1.103.7c,pátnīḥ,patnīḥ,pátnī-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
