row_id,figure_family,ending_or_word_class,gender,vibhakti_or_operation,vaidika_form_or_range,laukika_form_or_range,category_level,initial_placement,evidence,qualification,confirmed_dv,figure_instruction,passage_references,subclaim,numerator,denominator,percentage,relation,unit,label,grade,plot_status,note
CL-10,Word Classes,active participles ending in ***-अन्त्***,,,"Two distinct phenomena: Vedic usually uses **-ā** rather than **-au** in the masculine dual, while rare neuter plural **-ānti** occurs beside **-anti**",Laukika uses **-au** and **-anti**,Mixed: frequent dual pattern / rare plural form,Companion; split the two subclaims visually,FORM · OPEN,DOMINANT dual / ISOLATED RV plural,—,Split the reported **6/7** participial-dual share from the **2** RV neuter-plural **-ānti** passages.,,participial dual -ā,6,7,85.7,derived_ratio,tokens,DOMINANT,B,plot,
CL-10,Word Classes,active participles ending in ***-अन्त्***,,,"Two distinct phenomena: Vedic usually uses **-ā** rather than **-au** in the masculine dual, while rare neuter plural **-ānti** occurs beside **-anti**",Laukika uses **-au** and **-anti**,Mixed: frequent dual pattern / rare plural form,Companion; split the two subclaims visually,FORM · OPEN,DOMINANT dual / ISOLATED RV plural,—,Split the reported **6/7** participial-dual share from the **2** RV neuter-plural **-ānti** passages.,,RV neuter plural -ānti,2,,,exact_absolute,passages,ISOLATED,B,dot,
DU-01,Dvivacanam,***अकारान्त*** and many other masculine classes,m.,***प्रथमा–द्वितीया–संबोधन द्विवचनम्***,**-ā** is the prevailing Vedic ending; e.g. ***देवा (*devā*)***,**-au**; e.g. ***देवौ (*devau*)***,System-wide,Appendix,FORM · PASSAGE · OPEN,—,—,Use ***अश्विना (*aśvinā*)*** at RV 1.34.1b; function remains open.,RV 1.34.1b,masculine dual -ā,7,8,87.5,exact_ratio,tokens,DOMINANT,B,plot,Use source class ratio
DU-02,Dvivacanam,***ऋकारान्त***,m./f.,***प्रथमा–द्वितीया–संबोधन द्विवचनम्***,**-ā** prevails,**-au**,System-wide,Companion under DU-01,FORM · OPEN,—,—,Retain without a DV code.,,ṛkārānta comparison -āu,10,,,exact_comparator_count,tokens,DOMINANT,B,dot,Total dual field not supplied
DU-03,Dvivacanam,"consonant-ending words, including ***अस्, अन्, अन्त्, मत्, वत्*** classes",m./f.,***प्रथमा–द्वितीया–संबोधन द्विवचनम्***,**-ā** commonly replaces laukika **-au**,**-au**,System-wide,Companion under DU-01,FORM · OPEN,—,—,Retain as a class summary; selected classes still need passages.,,participial dual -ā,6,7,85.7,derived_ratio,tokens,DOMINANT,B,plot,-āu is one-sixth as common as -ā
DU-04,Dvivacanam,derivative ***ईकारान्त***,f.,***प्रथमा–द्वितीया–संबोधन द्विवचनम्***,**-ī**; e.g. ***देवी (*devī*)*** “the two goddesses”,**-yau**; e.g. ***देव्यौ (*devyau*)***,System-wide,Appendix,FORM · PASSAGE · OPEN,—,—,Use ***देवी (*devī*)*** at RV 10.70.6a; do not repeat the rejected metrical claim.,RV 10.70.6a,later derivative īkārānta -yau,0,,,defined_absence,forms,ABSENT,B,zero,Vedic -ī supplies the dual; token denominator unavailable
DU-05,Dvivacanam,***इकारान्त***,n.,***प्रथमा–द्वितीया–संबोधन द्विवचनम्***,"**-ī**, occasionally shortened to **-i**",**-inī**,Ending-class,Companion,FORM · OPEN,ISOLATED · uncertain in part,—,Show one short token and one later-form candidate; keep *mahi* open.,,RV short śucī,1,,,exact_annotated,tokens,ISOLATED,A,dot,Neuter nominative dual at RV 10.85.12a
DU-05,Dvivacanam,***इकारान्त***,n.,***प्रथमा–द्वितीया–संबोधन द्विवचनम्***,"**-ī**, occasionally shortened to **-i**",**-inī**,Ending-class,Companion,FORM · OPEN,ISOLATED · uncertain in part,—,Show one short token and one later-form candidate; keep *mahi* open.,,RV later-form hariṇī candidate,1,,,exact_annotated,tokens,ISOLATED,A,dot,Neuter accusative dual at RV 9.70.7b; Whitney marks the RV later-form analysis as uncertain
DU-05,Dvivacanam,***इकारान्त***,n.,***प्रथमा–द्वितीया–संबोधन द्विवचनम्***,"**-ī**, occasionally shortened to **-i**",**-inī**,Ending-class,Companion,FORM · OPEN,ISOLATED · uncertain in part,—,Show one short token and one later-form candidate; keep *mahi* open.,,AV -inī,2,,,exact_absolute,tokens,ISOLATED,B,dot,Separate corpus
DU-06,Dvivacanam,***उकारान्त***,n.,***प्रथमा–द्वितीया–संबोधन द्विवचनम्***,Rare **-uī / -ū** type,**-unī**,Rare class,Companion,FORM · OPEN,ISOLATED,—,Display only after locating the single example.,,RV ukārānta -uī,1,,,exact_absolute,tokens,ISOLATED,B,dot,
DU-07,Dvivacanam,***अन् / मन् / वन्-अन्त***,n.,***प्रथमा–द्वितीया–संबोधन द्विवचनम्***,"Vedic strongly prefers the fuller form retaining **a**, such as **-anī**",Laukika commonly permits or prefers the reduced **-nī** form,Class-level,Companion,FORM · OPEN,DOMINANT provisionally · 12 tokens,—,Preserve the fuller-form count without inventing a class denominator.,,fuller -anī/-aṇī tokens,12,,,exact_annotated,tokens,DOMINANT,A,dot,Twelve reviewed neuter dual tokens; a complete class denominator remains open
DU-08,Dvivacanam,***अकारान्त***,m./n.,***षष्ठी–सप्तमी द्विवचनम्***,A very small and doubtful group uses simple **-os** after dropping the final **a**,Laukika inserts **y**: **-ayos**,Rare/doubtful,Companion only,FORM,DOUBTFUL,—,Retain with the doubtful marker and an open prevalence cell; do not present the form as verified.,,simple -os,1,2,,doubtful_range,tokens,DOUBTFUL,B,no_plot,One or two doubtful
DU-09,Dvivacanam,first/second-person pronouns,—,five dual relations,"Vedic distinguishes nominative ***आवम् / युवम् (*āvam / yuvam*)***, accusative ***आवाम् / युवाम् (*āvām / yuvām*)***, instrumental-dative **-bhyām**, ablative ***आवत् / युवत् (*āvat / yuvat*)***, and genitive-locative ***-os*** forms","Laukika combines nominative and accusative as **-ām**, combines instrumental-dative-ablative as **-bhyām**, and combines genitive-locative as **-ayos**",Major case distinction,Appendix,FORM · PASSAGE · FUNCTION,—,SEM · REL,Use the five exact second-person dual passages in the concordance.,,yuvam nominative dual,136,,,exact_raw,tokens,N/A,A,dot,Distinct relation; not a variant denominator
DU-09,Dvivacanam,first/second-person pronouns,—,five dual relations,"Vedic distinguishes nominative ***आवम् / युवम् (*āvam / yuvam*)***, accusative ***आवाम् / युवाम् (*āvām / yuvām*)***, instrumental-dative **-bhyām**, ablative ***आवत् / युवत् (*āvat / yuvat*)***, and genitive-locative ***-os*** forms","Laukika combines nominative and accusative as **-ām**, combines instrumental-dative-ablative as **-bhyām**, and combines genitive-locative as **-ayos**",Major case distinction,Appendix,FORM · PASSAGE · FUNCTION,—,SEM · REL,Use the five exact second-person dual passages in the concordance.,,yuvām accusative dual,22,,,exact_raw,tokens,N/A,A,dot,Distinct relation; not a variant denominator
DU-09,Dvivacanam,first/second-person pronouns,—,five dual relations,"Vedic distinguishes nominative ***आवम् / युवम् (*āvam / yuvam*)***, accusative ***आवाम् / युवाम् (*āvām / yuvām*)***, instrumental-dative **-bhyām**, ablative ***आवत् / युवत् (*āvat / yuvat*)***, and genitive-locative ***-os*** forms","Laukika combines nominative and accusative as **-ām**, combines instrumental-dative-ablative as **-bhyām**, and combines genitive-locative as **-ayos**",Major case distinction,Appendix,FORM · PASSAGE · FUNCTION,—,SEM · REL,Use the five exact second-person dual passages in the concordance.,,yuvat ablative dual,3,,,exact_raw,tokens,N/A,A,dot,Distinct relation; not a variant denominator
DU-09,Dvivacanam,first/second-person pronouns,—,five dual relations,"Vedic distinguishes nominative ***आवम् / युवम् (*āvam / yuvam*)***, accusative ***आवाम् / युवाम् (*āvām / yuvām*)***, instrumental-dative **-bhyām**, ablative ***आवत् / युवत् (*āvat / yuvat*)***, and genitive-locative ***-os*** forms","Laukika combines nominative and accusative as **-ām**, combines instrumental-dative-ablative as **-bhyām**, and combines genitive-locative as **-ayos**",Major case distinction,Appendix,FORM · PASSAGE · FUNCTION,—,SEM · REL,Use the five exact second-person dual passages in the concordance.,,yuvoḥ genitive-locative dual,31,,,exact_raw,tokens,N/A,A,dot,Distinct relation; not a variant denominator
DU-10,Dvivacanam,first/second-person pronouns,—,***तृतीया द्विवचनम्***,Vedic preserves both short-vowel and long-vowel forms such as ***युवभ्याम् / युवाभ्याम् (*yuvabhyām / yuvābhyām*)***,Laukika uses ***युवाभ्याम् (*yuvābhyām*)***,Pronoun-specific,Companion,FORM · PASSAGE · OPEN,—,—,Display both ***युवभ्याम् / युवाभ्याम्***; no DV code yet.,,yuvabhyām against yuvābhyām,1,8,12.5,exact_checked,tokens,RECURRING,A,plot,
DU-11,Dvivacanam,pronoun ***एन (*ena*)***,all,***षष्ठी–सप्तमी द्विवचनम्***,Vedic ***एनोस् (*enos*)***,Laukika ***एनयोस् (*enayos*)***,Pronoun-specific,Companion,FORM · PASSAGE · FUNCTION,—,SEM · REL,Use ***एनोः (*enoḥ*)*** at RV 7.103.4a.,RV 7.103.4a,enoḥ against enayoḥ,4,4,100.0,exact_checked,tokens,DOMINANT,A,plot,Small denominator
DU-12,Dvivacanam,demonstratives and relatives,all,***षष्ठी–सप्तमी द्विवचनम्***,Isolated **-os** forms such as ***योस् (*yos*)*** occur,Laukika uses **-ayos**,Rare pronoun class,Companion,FORM · OPEN,ISOLATED,—,Locate the single passage before display.,,relative yos,1,,,exact_source_count,tokens,ISOLATED,B,dot,Raw yoḥ count rejected because of homographs
NU-01,Numerals,***द्व (*dva*)***,,,Masculine dual ***द्वा (*dvā*)***,***द्वौ (*dvau*)***,System-wide dual pattern,Companion,FORM · OPEN,—,—,Retain without a DV code.,,dvā against dvau,17,21,81.0,exact_checked,tokens,DOMINANT,A,plot,
NU-02,Numerals,***त्रि (*tri*)*** neuter,,,Vedic abbreviated ***त्री (*trī*)*** beside ***त्रीणि (*trīṇi*)***,***त्रीणि (*trīṇi*)***,Numeral-specific,Companion,FORM · OPEN,COMMON,—,Morphological review gives *trī : trīṇi* as 22:32.,,trī against trīṇi,22,54,40.7,exact_annotated,tokens,COMMON,A,plot,All fifty-four tokens are annotated nominative/accusative neuter plural
NU-03,Numerals,***त्रि*** genitive,,,Vedic once preserves ***त्रीणाम् (*trīṇām*)***,Laukika uses ***त्रयाणाम् (*trayāṇām*)***,Rare numeral form,Companion,FORM · OPEN,ISOLATED,—,Locate the single ***त्रीणाम् (*trīṇām*)*** passage before display.,,trīṇām,1,,,exact_checked,tokens,ISOLATED,A,dot,
NU-04,Numerals,***अष्ट (*aṣṭa*)*** nominative-accusative,,,"Vedic uses ***अष्ट, अष्टा, अष्टौ (*aṣṭa, aṣṭā, aṣṭau*)***, with ***अष्टौ*** especially common","Laukika principally uses ***अष्ट (*aṣṭa*)***, though ***अष्टौ*** remains recognized",Numeral-specific range,Companion,FORM · OPEN,1:2:3 across six tokens,—,Retain the three-form range and print each count.,,aṣṭa numeral,1,6,16.7,exact_annotated,tokens,RECURRING,A,plot,Four verbal homographs excluded
NU-04,Numerals,***अष्ट (*aṣṭa*)*** nominative-accusative,,,"Vedic uses ***अष्ट, अष्टा, अष्टौ (*aṣṭa, aṣṭā, aṣṭau*)***, with ***अष्टौ*** especially common","Laukika principally uses ***अष्ट (*aṣṭa*)***, though ***अष्टौ*** remains recognized",Numeral-specific range,Companion,FORM · OPEN,1:2:3 across six tokens,—,Retain the three-form range and print each count.,,aṣṭā numeral,2,6,33.3,exact_annotated,tokens,COMMON,A,plot,
NU-04,Numerals,***अष्ट (*aṣṭa*)*** nominative-accusative,,,"Vedic uses ***अष्ट, अष्टा, अष्टौ (*aṣṭa, aṣṭā, aṣṭau*)***, with ***अष्टौ*** especially common","Laukika principally uses ***अष्ट (*aṣṭa*)***, though ***अष्टौ*** remains recognized",Numeral-specific range,Companion,FORM · OPEN,1:2:3 across six tokens,—,Retain the three-form range and print each count.,,aṣṭau numeral,3,6,50.0,exact_annotated,tokens,COMMON,A,plot,Most frequent of the three in the six-token annotated field
NU-05,Numerals,numerals five and above,,,Vedic can leave the numeral in its nominative-accusative form while the counted noun takes an oblique case; e.g. “among five peoples”,Laukika normally inflects the numeral to match the required relation,Case-agreement difference,Appendix or Companion,FORM · PASSAGE · FUNCTION · OPEN,N/A · checked example,SEM · REL,Use ***पञ्च कृष्टिषु (*pañca kṛṣṭiṣu*)***; the second grammar example remains open.,,pañca raw spelling,40,,,raw_absolute,tokens,UNKNOWN,C,raw_only,Syntactic subset not counted
NU-06,Numerals,hundred and thousand,,,Vedic can use the uninflected collective form with an instrumental or another oblique plural noun,Laukika more regularly marks the numeral itself or construes it as a governing noun,Case-agreement difference,Companion,FORM · PASSAGE · FUNCTION,N/A · two checked examples,SEM · REL,Use ***सहस्रम् ऋषिभिः*** and ***शतम् पूर्भिः***.,,sahasram raw spelling,53,,,raw_absolute,tokens,UNKNOWN,C,raw_only,Syntactic subset not counted
NU-06,Numerals,hundred and thousand,,,Vedic can use the uninflected collective form with an instrumental or another oblique plural noun,Laukika more regularly marks the numeral itself or construes it as a governing noun,Case-agreement difference,Companion,FORM · PASSAGE · FUNCTION,N/A · two checked examples,SEM · REL,Use ***सहस्रम् ऋषिभिः*** and ***शतम् पूर्भिः***.,,śatam raw spelling,83,,,raw_absolute,tokens,UNKNOWN,C,raw_only,Syntactic subset not counted
NU-07,Numerals,cardinal accent with oblique endings,,,"Vedic has a governed accent pattern before **-bhiḥ, -bhyaḥ, -su, -nām**",Laukika permits different accentuation or does not preserve the Vedic pitch system,"Accent, not form",Keep with *svara* research,FORM · FUNCTION · PASSAGE OPEN,N/A,SVR · REL,The governed accent operation is documented; add an exact audible example later.,,cardinal accent pattern,,,,not_applicable,,N/A,U,no_plot,
PL-01,Bahuvacanam,***अकारान्त***,m.,***प्रथमा बहुवचनम्***,**-āsas** beside **-ās**; e.g. ***देवासः / देवाः (*devāsaḥ / devāḥ*)***,**-āḥ**,System-wide,Appendix,FORM · PASSAGE · FUNCTION,—,MAT · ARR,Use ***देवासः (*devāsaḥ*)*** at RV 1.3.7b.,RV 1.3.7b,masculine nominative plural -āsas,1,3,33.3,exact_ratio,tokens,COMMON,B,plot,Class-wide source ratio
PL-01,Bahuvacanam,***अकारान्त***,m.,***प्रथमा बहुवचनम्***,**-āsas** beside **-ās**; e.g. ***देवासः / देवाः (*devāsaḥ / devāḥ*)***,**-āḥ**,System-wide,Appendix,FORM · PASSAGE · FUNCTION,—,MAT · ARR,Use ***देवासः (*devāsaḥ*)*** at RV 1.3.7b.,RV 1.3.7b,devāsaḥ against devāḥ,123,445,27.6,exact_checked,tokens,COMMON,A,plot,Supporting lexeme
PL-02,Bahuvacanam,***आकारान्त***,f.,***प्रथमा बहुवचनम्***,Rare **-āsas** beside **-ās**,**-āḥ**,Rare extension,Companion,FORM · PASSAGE · FUNCTION,RARE,MAT · ARR,Use ***वशासः (*vaśāsaḥ*)*** at RV 6.63.9d.,RV 6.63.9d,feminine -āsas,20,,,approximate_absolute,tokens,RARE,B,dot,
PL-03,Bahuvacanam,derivative ***ईकारान्त***,f.,***प्रथमा बहुवचनम्***,**-īs**; e.g. ***देवीः (*devīḥ*)***,**-yas**; e.g. ***देव्यः (*devyaḥ*)***,System-wide,Appendix,FORM · PASSAGE · OPEN,—,—,Use ***देवीः (*devīḥ*)*** at RV 9.5.8d; function remains open.,RV 9.5.8d,later -yas in RV,1,2,,doubtful_range,tokens,DOUBTFUL,B,no_plot,Vedic -īs supplies the category; comparison examples doubtful
PL-04,Bahuvacanam,derivative ***ईकारान्त***,f.,***द्वितीया बहुवचनम्***,Vedic **-īs** can serve both nominative and accusative; later Vedic prose also shows **-yas** with both functions,Laukika differentiates nominative **-yaḥ** from accusative **-īḥ**,Case-distribution difference,Companion,FORM · OPEN,N/A · absolute counts,—,Use *devīḥ* as 37 nominative and 5 accusative tokens.,,devīḥ as nominative plural,37,,,exact_annotated,tokens,COMMON,A,dot,Checked lexical demonstration of the shared -īḥ form
PL-04,Bahuvacanam,derivative ***ईकारान्त***,f.,***द्वितीया बहुवचनम्***,Vedic **-īs** can serve both nominative and accusative; later Vedic prose also shows **-yas** with both functions,Laukika differentiates nominative **-yaḥ** from accusative **-īḥ**,Case-distribution difference,Companion,FORM · OPEN,N/A · absolute counts,—,Use *devīḥ* as 37 nominative and 5 accusative tokens.,,devīḥ as accusative plural,5,,,exact_annotated,tokens,RECURRING,A,dot,Checked lexical demonstration of the shared -īḥ form
PL-05,Bahuvacanam,***इकारान्त / उकारान्त***,m./f.,***प्रथमा बहुवचनम्***,Rare unstrengthened **-ias / -uas**; a few feminine ***इकारान्त*** words use **-īs**,Laukika uses **-ayaḥ / -avaḥ**,Ending-class,Companion,FORM · OPEN,RARE,—,Split unstrengthened **-ias / -uas** from feminine **-īs**.,,unstrengthened masculine form,4,,,exact_absolute,tokens,RARE,B,dot,One lexeme
PL-05,Bahuvacanam,***इकारान्त / उकारान्त***,m./f.,***प्रथमा बहुवचनम्***,Rare unstrengthened **-ias / -uas**; a few feminine ***इकारान्त*** words use **-īs**,Laukika uses **-ayaḥ / -avaḥ**,Ending-class,Companion,FORM · OPEN,RARE,—,Split unstrengthened **-ias / -uas** from feminine **-īs**.,,unstrengthened feminine forms,2,,,exact_absolute,examples,ISOLATED,B,dot,
PL-06,Bahuvacanam,***इकारान्त / उकारान्त***,m./f.,***द्वितीया बहुवचनम्***,Vedic preserves **-ias / -uas** beside the later formations,Laukika uses masculine **-īn / -ūn** and feminine **-īḥ / -ūḥ**,Ending-class,Companion,FORM · OPEN,UNKNOWN,—,Flag the source-annotation disagreement for the listed accusative forms.,,accusative -ias and -uas,,,,source_annotation_conflict,,UNKNOWN,D,unknown,Whitney calls the forms sparse; VedaWeb assigns the source-listed visible matches to other relations
PL-07,Bahuvacanam,***अकारान्त***,n.,***प्रथमा–द्वितीया–संबोधन बहुवचनम्***,**-ā** beside **-āni**; e.g. ***विश्वा / विश्वानि (*viśvā / viśvāni*)***,**-āni**,System-wide,Appendix,FORM · PASSAGE · FUNCTION,—,MAT · ARR,Use ***विश्वा (*viśvā*)*** at RV 8.70.6b.,RV 8.70.6b,neuter plural -ā,3,5,60.0,exact_ratio,tokens,COMMON,B,plot,
PL-08,Bahuvacanam,***इकारान्त***,n.,***प्रथमा–द्वितीया–संबोधन बहुवचनम्***,**-ī / -i** occur more often than **-īni** in the Veda,**-īni**,System-wide,Appendix or Companion,FORM · OPEN,—,—,Retain without a DV code.,,short ikārānta neuter plural,50,64,78.1,approximate_counts,tokens,DOMINANT,B,plot,About 50 short forms and about 14 -īni
PL-09,Bahuvacanam,***उकारान्त***,n.,***प्रथमा–द्वितीया–संबोधन बहुवचनम्***,**-ū / -u** beside **-ūni**,**-ūni**,System-wide,Appendix or Companion,FORM · OPEN,—,—,Retain without a DV code.,,short ukārānta neuter plural,,,33.3,lower_bound,tokens,COMMON,B,plot,Short form is more than half as frequent as -ūni
PL-09,Bahuvacanam,***उकारान्त***,n.,***प्रथमा–द्वितीया–संबोधन बहुवचनम्***,**-ū / -u** beside **-ūni**,**-ūni**,System-wide,Appendix or Companion,FORM · OPEN,—,—,Retain without a DV code.,,short ukārānta lexical breadth,12,,,exact_reported_types,lexemes,COMMON,B,dot,
PL-10,Bahuvacanam,***अन् / मन् / वन्-अन्त***,n.,***प्रथमा–द्वितीया–संबोधन बहुवचनम्***,**-ā / -a** beside **-āni**; e.g. ***ब्रह्म / ब्रह्मा / ब्रह्माणि (*brahma / brahmā / brahmāṇi*)***,**-āni**,System-wide,Appendix or Companion,FORM · OPEN,—,—,Retain without a DV code.,,short -a among two short forms,2,3,66.7,exact_ratio,tokens,UNKNOWN,B,plot,Does not include -āni denominator
PL-11,Bahuvacanam,***अन्त् / मत् / वत्-अन्त***,n.,***प्रथमा–द्वितीया–संबोधन बहुवचनम्***,Rare Vedic **-ānti** beside **-anti**,**-anti**,Rare class,Companion,FORM · OPEN,ISOLATED in RV,—,Display the source-reported **2 RV passages** and state that the exact passages remain open.,,RV neuter plural -ānti,2,,,exact_absolute,passages,ISOLATED,B,dot,Padapāṭha does not expose length as searchable token
PL-12,Bahuvacanam,***अकारान्त***,all,***तृतीया बहुवचनम्***,**-ebhiḥ** beside **-aiḥ**; e.g. ***रुद्रेभिः / रुद्रैः (*rudrebhiḥ / rudraiḥ*)***,**-aiḥ**,System-wide,Appendix,FORM · PASSAGE · FUNCTION,—,MAT · ARR,Use ***देवेभिः (*devebhiḥ*)*** at RV 1.1.5c and the RV 10.125.1 comparison.,RV 1.1.5c; RV 10.125.1,broad RV suffix -ebhiḥ against -aiḥ,585,1275,45.9,exact_raw_suffix,tokens,COMMON,A,plot,Source independently describes near-even frequency
PL-12,Bahuvacanam,***अकारान्त***,all,***तृतीया बहुवचनम्***,**-ebhiḥ** beside **-aiḥ**; e.g. ***रुद्रेभिः / रुद्रैः (*rudrebhiḥ / rudraiḥ*)***,**-aiḥ**,System-wide,Appendix,FORM · PASSAGE · FUNCTION,—,MAT · ARR,Use ***देवेभिः (*devebhiḥ*)*** at RV 1.1.5c and the RV 10.125.1 comparison.,RV 1.1.5c; RV 10.125.1,devebhiḥ against devaiḥ,49,87,56.3,exact_checked,tokens,COMMON,A,plot,Lexical support
PL-12,Bahuvacanam,***अकारान्त***,all,***तृतीया बहुवचनम्***,**-ebhiḥ** beside **-aiḥ**; e.g. ***रुद्रेभिः / रुद्रैः (*rudrebhiḥ / rudraiḥ*)***,**-aiḥ**,System-wide,Appendix,FORM · PASSAGE · FUNCTION,—,MAT · ARR,Use ***देवेभिः (*devebhiḥ*)*** at RV 1.1.5c and the RV 10.125.1 comparison.,RV 1.1.5c; RV 10.125.1,rudrebhiḥ against rudraiḥ,12,16,75.0,exact_checked,tokens,DOMINANT,A,plot,Lexical support
PL-13,Bahuvacanam,*tad/etad/yad* pronoun families,m./n.,***तृतीया बहुवचनम्***,**-ebhiḥ** beside **-aiḥ**; e.g. ***तेभिः / तैः (*tebhiḥ / taiḥ*)***,**-aiḥ**,System-wide pronoun application,Appendix or Companion,FORM · PASSAGE · FUNCTION,—,MAT · ARR · REL,Use ***येभिः (*yebhiḥ*)*** at RV 7.1.7b.,RV 7.1.7b,yebhiḥ against yaiḥ,28,28,100.0,exact_checked,tokens,DOMINANT,A,plot,Same tokens as PL-21
