conditioned_candidate_id,input_form_slp1,semantic_context,semantic_description,taddhita_source_variant,expected_output_forms_slp1,expected_output_variant_count,rule_refs,source_locators,collapsed_duplicate_assertions,input_status,generated_output_forms_slp1,generated_output_variant_count,missing_expected_forms_slp1,additional_unconditioned_engine_forms_slp1,engine_error,verification_status,verified_word_meaning_id,reconciliation_status
d54e14cfd54686f9a4c9,eka,BahunamEka,One of many. (5.3.93),qatamac,ekatama,1,5.3.94,kashika_5_3.rs:347,0,source_conditioned_relation_not_independent_nominal_count,,0,ekatama,,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
21a121a51bad5634e01d,eka,DvayorEka,One of two. (5.3.92),qatarac,ekatara,1,5.3.94,kashika_5_3.rs:346,0,source_conditioned_relation_not_independent_nominal_count,atara,1,ekatara,atara,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
7216c3ce4203e6c298af,ekadaSan,Purana,Making full. (5.2.48),qaw,ekadaSa,1,5.2.48,kashika_5_2.rs:295;kashika_5_2.rs:296,1,source_conditioned_relation_not_independent_nominal_count,,0,ekadaSa,,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
45dc36405670ead3b4cc,hemanta,TatraJata,Where this was born. (4.3.25),aR,hEmana,1,4.3.22,kashika_4_3.rs:75,0,source_conditioned_relation_not_independent_nominal_count,hEmanta,1,hEmana,hEmanta,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
c972c6eb9730a5ee1d39,jatu,TasyaVikara,Modification of this. (4.3.134),aR,jAtuza,1,4.3.138,kashika_4_3.rs:451,0,source_conditioned_relation_not_independent_nominal_count,jAtava,1,jAtuza,jAtava,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
cb21cb404d599b5d6565,ka,SaAsyaDevata,Having this as a god. (4.2.24),aR,kAya,1,4.2.25,kashika_4_2.rs:66,0,source_conditioned_relation_not_independent_nominal_count,ka,1,kAya,ka,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
95d75ffd208d4317a0fb,kalApin,TenaProktam,What is proclaimed by this person. (4.3.101),aR,kAlApina,1,4.3.108,kashika_4_3.rs:339,0,source_conditioned_relation_not_independent_nominal_count,kAlApa,1,kAlApina,kAlApa,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
e30c92090ef4dfb206b1,kalyARI,TasyaApatyam,Descendant. (4.1.92),Qak,kalyARineya,1,4.1.126,kashika_4_1.rs:672,0,source_conditioned_relation_not_independent_nominal_count,kAlyAReya,1,kalyARineya,kAlyAReya,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
ccdf8cb893c154fcbd45,kudrava,DhanyanamBhavaneKshetre,"A place of growing, when that place is a field. (5.2.1)",KaY,kOdravIna,1,5.2.1,kashika_5_2.rs:17,0,source_conditioned_relation_not_independent_nominal_count,kOdravIRa,1,kOdravIna,kOdravIRa,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
7b40e4c24b26568925ec,lavaRa,TenaSamsrshte,Mixed with. (4.4.22),Wak,lavaRa,1,4.4.24,kashika_4_4.rs:172,0,source_conditioned_relation_not_independent_nominal_count,lAvaRika,1,lavaRa,lAvaRika,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
95ad46fa82ccc6506fe2,maDya,TatraJata,Where this was born. (4.3.25),aR,maDyama,1,4.3.8,kashika_4_3.rs:43,0,source_conditioned_relation_not_independent_nominal_count,mADya,1,maDyama,mADya,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
b90fff303fd2d7a5949c,mudra,DhanyanamBhavaneKshetre,"A place of growing, when that place is a field. (5.2.1)",KaY,mOdrIna,1,5.2.1,kashika_5_2.rs:16,0,source_conditioned_relation_not_independent_nominal_count,mOdrIRa,1,mOdrIna,mOdrIRa,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
ba6c8e2b968e0efc4c6b,nAsikA,TasmaiHitam,One for whom this is good. (5.1.7),yat,nasya,1,5.1.6,kashika_5_1.rs:71;kashika_5_1.rs:76,1,source_conditioned_relation_not_independent_nominal_count,nAsikya,1,nasya,nAsikya,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
f2613051ab2b64de8df1,nadI,TatraBhava,Where this stays or exists. (4.3.53),qyaR,nAdya,1,4.4.111,kashika_4_4.rs:692,0,source_conditioned_relation_not_independent_nominal_count,,0,nAdya,,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
1c1297cc0ce2cdd83140,pATas,TatraBhava,Where this stays or exists. (4.3.53),qyaR,pATya,1,4.4.111,kashika_4_4.rs:691,0,source_conditioned_relation_not_independent_nominal_count,,0,pATya,,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
3b844dac16934912b062,pArASarya,TenaProktam,What is proclaimed by this person. (4.3.101),Rini,pArASarin,1,4.3.110,kashika_4_3.rs:350,0,source_conditioned_relation_not_independent_nominal_count,pArASaryin,1,pArASarin,pArASaryin,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
ab57b76e2d3e88422947,paYcan,Purana,Making full. (5.2.48),qaw,paYcama,1,5.2.49,kashika_5_2.rs:302,0,source_conditioned_relation_not_independent_nominal_count,paNma,1,paYcama,paNma,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
bde194efe1aedf10a7db,saBA,TatraSadhu,Skilled in this. (4.4.98),Qa,saBeya,1,4.4.106,kashika_4_4.rs:684,0,source_conditioned_relation_not_independent_nominal_count,,0,saBeya,,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
00858ca9d4cf3850fcda,samudra,TatraBhava,Where this stays or exists. (4.3.53),Ga,samudriya,1,4.4.118,kashika_4_4.rs:724,0,source_conditioned_relation_not_independent_nominal_count,,0,samudriya,,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
c45ce9a1eb836daa6678,sarvaBUmi,TasyaNimittamSamyogotpattau,"For the sake of this, when the meaning is a relation or appearance. (5.1.38)",aR,sArvaBOma,1,5.1.41,kashika_5_1.rs:288,0,source_conditioned_relation_not_independent_nominal_count,sArvaBUma,1,sArvaBOma,sArvaBUma,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
aa573e2baa885f57d73e,suBagA,TasyaApatyam,Descendant. (4.1.92),Qak,sOBAgineya,1,4.1.126,kashika_4_1.rs:673,0,source_conditioned_relation_not_independent_nominal_count,sOBageya,1,sOBAgineya,sOBageya,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
f1a1728ae77b55e9e9b0,trapu,TasyaVikara,Modification of this. (4.3.134),aR,trApuza,1,4.3.138,kashika_4_3.rs:450,0,source_conditioned_relation_not_independent_nominal_count,trApava,1,trApuza,trApava,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
58032587deca2b5ad32e,tugra,TatraBhava,Where this stays or exists. (4.3.53),Gan,tugriya,1,4.4.115,kashika_4_4.rs:705,0,source_conditioned_relation_not_independent_nominal_count,,0,tugriya,,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
ce559a572b4308a32cf9,yuzmad,TatraJata,Where this was born. (4.3.25),aR,yOzmAka,1,4.3.1,kashika_4_3.rs:22,0,source_conditioned_relation_not_independent_nominal_count,yOzmada,1,yOzmAka,yOzmada,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
4e91b0fd6ba5acce02e9,zazwi,TenaKritam,What is bought with this. (5.1.37),WaY,zAzwika,1,5.1.19,kashika_5_1.rs:185,0,source_conditioned_relation_not_independent_nominal_count,,0,zAzwika,,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
