upasarga_id,upasarga_order,upasarga_source_forms_slp1,base_count_key,base_source_codes,base_citations_slp1,base_meaning_slp1,base_meaning_display,output_forms_slp1,output_variant_count,reason,rule_refs,count_status
apa,3,apa,"[""02.0012"", ""meaning-4d0ef93cc7a1""]",02.0012,SAsu~\,icCAyAm,इच्छायाम् (icchāyām),apaSAs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 2.12,not_counted_documented_conflict
apa,3,apa,"[""02.0041"", ""meaning-7d1ea56b4ecd""]",02.0041,i\N,aDyayane,अध्ययने (adhyayane),apai,1,The study meaning is expressly described as always preceded by adhi.,Dhatupatha 2.41,not_counted_documented_conflict
apa,3,apa,"[""02.0042"", ""meaning-5f776bf60821""]",02.0042,i\k,smaraRe,स्मरणे (smaraṇe),apai,1,The remembering meaning is also expressly described as preceded by adhi.,Dhatupatha 2.42,not_counted_documented_conflict
apa,3,apa,"[""10.0252"", ""meaning-91868dbd1926""]",10.0252,kranda~,sAtatye,सातत्ये (sātatye),apakrandi,1,"The continuity meaning is assigned to krand with AN, not to the other upasargas.",Dhatupatha 10.252,not_counted_documented_conflict
apa,3,apa,"[""10.0368"", ""meaning-5fa3d59b62c4""]",10.0368,za\da~,gatO,गतौ (gatau),apasAdi;apasad,2,"The movement meaning is assigned to shad with AN, not to the other upasargas.",Dhatupatha 10.368,not_counted_documented_conflict
apa,3,apa,"[""10.0401"", ""meaning-5fa3d59b62c4""]",10.0401,paza,gatO,गतौ (gatau),apapazi,1,The movement meaning is expressly limited to use without an upasarga.,Dhatupatha 10.401,not_counted_documented_conflict
api,13,api,"[""01.0716"", ""meaning-4d0ef93cc7a1""]",01.0716,Sasi~\,icCAyAm,इच्छायाम् (icchāyām),apiSaMs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 1.716,not_counted_documented_conflict
api,13,api,"[""02.0012"", ""meaning-4d0ef93cc7a1""]",02.0012,SAsu~\,icCAyAm,इच्छायाम् (icchāyām),apiSAs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 2.12,not_counted_documented_conflict
api,13,api,"[""02.0041"", ""meaning-7d1ea56b4ecd""]",02.0041,i\N,aDyayane,अध्ययने (adhyayane),apii,1,The study meaning is expressly described as always preceded by adhi.,Dhatupatha 2.41,not_counted_documented_conflict
api,13,api,"[""02.0042"", ""meaning-5f776bf60821""]",02.0042,i\k,smaraRe,स्मरणे (smaraṇe),apii,1,The remembering meaning is also expressly described as preceded by adhi.,Dhatupatha 2.42,not_counted_documented_conflict
api,13,api,"[""10.0252"", ""meaning-91868dbd1926""]",10.0252,kranda~,sAtatye,सातत्ये (sātatye),apikrandi,1,"The continuity meaning is assigned to krand with AN, not to the other upasargas.",Dhatupatha 10.252,not_counted_documented_conflict
api,13,api,"[""10.0368"", ""meaning-5fa3d59b62c4""]",10.0368,za\da~,gatO,गतौ (gatau),apisAdi;apisad,2,"The movement meaning is assigned to shad with AN, not to the other upasargas.",Dhatupatha 10.368,not_counted_documented_conflict
api,13,api,"[""10.0401"", ""meaning-5fa3d59b62c4""]",10.0401,paza,gatO,गतौ (gatau),apipazi,1,The movement meaning is expressly limited to use without an upasarga.,Dhatupatha 10.401,not_counted_documented_conflict
ati,14,ati,"[""01.0716"", ""meaning-4d0ef93cc7a1""]",01.0716,Sasi~\,icCAyAm,इच्छायाम् (icchāyām),atiSaMs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 1.716,not_counted_documented_conflict
ati,14,ati,"[""02.0012"", ""meaning-4d0ef93cc7a1""]",02.0012,SAsu~\,icCAyAm,इच्छायाम् (icchāyām),atiSAs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 2.12,not_counted_documented_conflict
ati,14,ati,"[""02.0041"", ""meaning-7d1ea56b4ecd""]",02.0041,i\N,aDyayane,अध्ययने (adhyayane),atii,1,The study meaning is expressly described as always preceded by adhi.,Dhatupatha 2.41,not_counted_documented_conflict
ati,14,ati,"[""02.0042"", ""meaning-5f776bf60821""]",02.0042,i\k,smaraRe,स्मरणे (smaraṇe),atii,1,The remembering meaning is also expressly described as preceded by adhi.,Dhatupatha 2.42,not_counted_documented_conflict
ati,14,ati,"[""10.0252"", ""meaning-91868dbd1926""]",10.0252,kranda~,sAtatye,सातत्ये (sātatye),atikrandi,1,"The continuity meaning is assigned to krand with AN, not to the other upasargas.",Dhatupatha 10.252,not_counted_documented_conflict
ati,14,ati,"[""10.0368"", ""meaning-5fa3d59b62c4""]",10.0368,za\da~,gatO,गतौ (gatau),atisAdi;atisad,2,"The movement meaning is assigned to shad with AN, not to the other upasargas.",Dhatupatha 10.368,not_counted_documented_conflict
ati,14,ati,"[""10.0401"", ""meaning-5fa3d59b62c4""]",10.0401,paza,gatO,गतौ (gatau),atipazi,1,The movement meaning is expressly limited to use without an upasarga.,Dhatupatha 10.401,not_counted_documented_conflict
ava,6,ava,"[""01.0716"", ""meaning-4d0ef93cc7a1""]",01.0716,Sasi~\,icCAyAm,इच्छायाम् (icchāyām),avaSaMs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 1.716,not_counted_documented_conflict
ava,6,ava,"[""02.0012"", ""meaning-4d0ef93cc7a1""]",02.0012,SAsu~\,icCAyAm,इच्छायाम् (icchāyām),avaSAs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 2.12,not_counted_documented_conflict
ava,6,ava,"[""02.0041"", ""meaning-7d1ea56b4ecd""]",02.0041,i\N,aDyayane,अध्ययने (adhyayane),avai,1,The study meaning is expressly described as always preceded by adhi.,Dhatupatha 2.41,not_counted_documented_conflict
ava,6,ava,"[""02.0042"", ""meaning-5f776bf60821""]",02.0042,i\k,smaraRe,स्मरणे (smaraṇe),avai,1,The remembering meaning is also expressly described as preceded by adhi.,Dhatupatha 2.42,not_counted_documented_conflict
ava,6,ava,"[""10.0252"", ""meaning-91868dbd1926""]",10.0252,kranda~,sAtatye,सातत्ये (sātatye),avakrandi,1,"The continuity meaning is assigned to krand with AN, not to the other upasargas.",Dhatupatha 10.252,not_counted_documented_conflict
ava,6,ava,"[""10.0368"", ""meaning-5fa3d59b62c4""]",10.0368,za\da~,gatO,गतौ (gatau),avasAdi;avasad,2,"The movement meaning is assigned to shad with AN, not to the other upasargas.",Dhatupatha 10.368,not_counted_documented_conflict
ava,6,ava,"[""10.0401"", ""meaning-5fa3d59b62c4""]",10.0401,paza,gatO,गतौ (gatau),avapazi,1,The movement meaning is expressly limited to use without an upasarga.,Dhatupatha 10.401,not_counted_documented_conflict
dus,8,dus;dur,"[""01.0716"", ""meaning-4d0ef93cc7a1""]",01.0716,Sasi~\,icCAyAm,इच्छायाम् (icchāyām),duHSaMs;duSSaMs,2,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 1.716,not_counted_documented_conflict
dus,8,dus;dur,"[""02.0012"", ""meaning-4d0ef93cc7a1""]",02.0012,SAsu~\,icCAyAm,इच्छायाम् (icchāyām),duHSAs;duSSAs,2,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 2.12,not_counted_documented_conflict
dus,8,dus;dur,"[""02.0041"", ""meaning-7d1ea56b4ecd""]",02.0041,i\N,aDyayane,अध्ययने (adhyayane),duri,1,The study meaning is expressly described as always preceded by adhi.,Dhatupatha 2.41,not_counted_documented_conflict
dus,8,dus;dur,"[""02.0042"", ""meaning-5f776bf60821""]",02.0042,i\k,smaraRe,स्मरणे (smaraṇe),duri,1,The remembering meaning is also expressly described as preceded by adhi.,Dhatupatha 2.42,not_counted_documented_conflict
dus,8,dus;dur,"[""10.0252"", ""meaning-91868dbd1926""]",10.0252,kranda~,sAtatye,सातत्ये (sātatye),duzkrandi,1,"The continuity meaning is assigned to krand with AN, not to the other upasargas.",Dhatupatha 10.252,not_counted_documented_conflict
dus,8,dus;dur,"[""10.0368"", ""meaning-5fa3d59b62c4""]",10.0368,za\da~,gatO,गतौ (gatau),duHsAdi;duHsad;dussAdi;dussad,4,"The movement meaning is assigned to shad with AN, not to the other upasargas.",Dhatupatha 10.368,not_counted_documented_conflict
dus,8,dus;dur,"[""10.0401"", ""meaning-5fa3d59b62c4""]",10.0401,paza,gatO,गतौ (gatau),duzpazi,1,The movement meaning is expressly limited to use without an upasarga.,Dhatupatha 10.401,not_counted_documented_conflict
ni,11,ni,"[""01.0716"", ""meaning-4d0ef93cc7a1""]",01.0716,Sasi~\,icCAyAm,इच्छायाम् (icchāyām),niSaMs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 1.716,not_counted_documented_conflict
ni,11,ni,"[""02.0012"", ""meaning-4d0ef93cc7a1""]",02.0012,SAsu~\,icCAyAm,इच्छायाम् (icchāyām),niSAs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 2.12,not_counted_documented_conflict
ni,11,ni,"[""02.0041"", ""meaning-7d1ea56b4ecd""]",02.0041,i\N,aDyayane,अध्ययने (adhyayane),nii,1,The study meaning is expressly described as always preceded by adhi.,Dhatupatha 2.41,not_counted_documented_conflict
ni,11,ni,"[""02.0042"", ""meaning-5f776bf60821""]",02.0042,i\k,smaraRe,स्मरणे (smaraṇe),nii,1,The remembering meaning is also expressly described as preceded by adhi.,Dhatupatha 2.42,not_counted_documented_conflict
ni,11,ni,"[""10.0252"", ""meaning-91868dbd1926""]",10.0252,kranda~,sAtatye,सातत्ये (sātatye),nikrandi,1,"The continuity meaning is assigned to krand with AN, not to the other upasargas.",Dhatupatha 10.252,not_counted_documented_conflict
ni,11,ni,"[""10.0368"", ""meaning-5fa3d59b62c4""]",10.0368,za\da~,gatO,गतौ (gatau),nisAdi;nisad,2,"The movement meaning is assigned to shad with AN, not to the other upasargas.",Dhatupatha 10.368,not_counted_documented_conflict
ni,11,ni,"[""10.0401"", ""meaning-5fa3d59b62c4""]",10.0401,paza,gatO,गतौ (gatau),nipazi,1,The movement meaning is expressly limited to use without an upasarga.,Dhatupatha 10.401,not_counted_documented_conflict
nis,7,nis;nir,"[""01.0716"", ""meaning-4d0ef93cc7a1""]",01.0716,Sasi~\,icCAyAm,इच्छायाम् (icchāyām),niHSaMs;niSSaMs,2,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 1.716,not_counted_documented_conflict
nis,7,nis;nir,"[""02.0012"", ""meaning-4d0ef93cc7a1""]",02.0012,SAsu~\,icCAyAm,इच्छायाम् (icchāyām),niHSAs;niSSAs,2,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 2.12,not_counted_documented_conflict
nis,7,nis;nir,"[""02.0041"", ""meaning-7d1ea56b4ecd""]",02.0041,i\N,aDyayane,अध्ययने (adhyayane),niri,1,The study meaning is expressly described as always preceded by adhi.,Dhatupatha 2.41,not_counted_documented_conflict
nis,7,nis;nir,"[""02.0042"", ""meaning-5f776bf60821""]",02.0042,i\k,smaraRe,स्मरणे (smaraṇe),niri,1,The remembering meaning is also expressly described as preceded by adhi.,Dhatupatha 2.42,not_counted_documented_conflict
nis,7,nis;nir,"[""10.0252"", ""meaning-91868dbd1926""]",10.0252,kranda~,sAtatye,सातत्ये (sātatye),nizkrandi,1,"The continuity meaning is assigned to krand with AN, not to the other upasargas.",Dhatupatha 10.252,not_counted_documented_conflict
nis,7,nis;nir,"[""10.0368"", ""meaning-5fa3d59b62c4""]",10.0368,za\da~,gatO,गतौ (gatau),niHsAdi;niHsad;nissAdi;nissad,4,"The movement meaning is assigned to shad with AN, not to the other upasargas.",Dhatupatha 10.368,not_counted_documented_conflict
nis,7,nis;nir,"[""10.0401"", ""meaning-5fa3d59b62c4""]",10.0401,paza,gatO,गतौ (gatau),nizpazi,1,The movement meaning is expressly limited to use without an upasarga.,Dhatupatha 10.401,not_counted_documented_conflict
para,2,parA,"[""01.0716"", ""meaning-4d0ef93cc7a1""]",01.0716,Sasi~\,icCAyAm,इच्छायाम् (icchāyām),parASaMs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 1.716,not_counted_documented_conflict
para,2,parA,"[""02.0012"", ""meaning-4d0ef93cc7a1""]",02.0012,SAsu~\,icCAyAm,इच्छायाम् (icchāyām),parASAs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 2.12,not_counted_documented_conflict
para,2,parA,"[""02.0041"", ""meaning-7d1ea56b4ecd""]",02.0041,i\N,aDyayane,अध्ययने (adhyayane),parAi,1,The study meaning is expressly described as always preceded by adhi.,Dhatupatha 2.41,not_counted_documented_conflict
para,2,parA,"[""02.0042"", ""meaning-5f776bf60821""]",02.0042,i\k,smaraRe,स्मरणे (smaraṇe),parAi,1,The remembering meaning is also expressly described as preceded by adhi.,Dhatupatha 2.42,not_counted_documented_conflict
para,2,parA,"[""10.0252"", ""meaning-91868dbd1926""]",10.0252,kranda~,sAtatye,सातत्ये (sātatye),parAkrandi,1,"The continuity meaning is assigned to krand with AN, not to the other upasargas.",Dhatupatha 10.252,not_counted_documented_conflict
para,2,parA,"[""10.0368"", ""meaning-5fa3d59b62c4""]",10.0368,za\da~,gatO,गतौ (gatau),parAsAdi;parAsad,2,"The movement meaning is assigned to shad with AN, not to the other upasargas.",Dhatupatha 10.368,not_counted_documented_conflict
para,2,parA,"[""10.0401"", ""meaning-5fa3d59b62c4""]",10.0401,paza,gatO,गतौ (gatau),parApazi,1,The movement meaning is expressly limited to use without an upasarga.,Dhatupatha 10.401,not_counted_documented_conflict
pari,19,pari,"[""01.0716"", ""meaning-4d0ef93cc7a1""]",01.0716,Sasi~\,icCAyAm,इच्छायाम् (icchāyām),pariSaMs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 1.716,not_counted_documented_conflict
pari,19,pari,"[""02.0012"", ""meaning-4d0ef93cc7a1""]",02.0012,SAsu~\,icCAyAm,इच्छायाम् (icchāyām),pariSAs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 2.12,not_counted_documented_conflict
pari,19,pari,"[""02.0041"", ""meaning-7d1ea56b4ecd""]",02.0041,i\N,aDyayane,अध्ययने (adhyayane),parii,1,The study meaning is expressly described as always preceded by adhi.,Dhatupatha 2.41,not_counted_documented_conflict
pari,19,pari,"[""02.0042"", ""meaning-5f776bf60821""]",02.0042,i\k,smaraRe,स्मरणे (smaraṇe),parii,1,The remembering meaning is also expressly described as preceded by adhi.,Dhatupatha 2.42,not_counted_documented_conflict
pari,19,pari,"[""10.0252"", ""meaning-91868dbd1926""]",10.0252,kranda~,sAtatye,सातत्ये (sātatye),parikrandi,1,"The continuity meaning is assigned to krand with AN, not to the other upasargas.",Dhatupatha 10.252,not_counted_documented_conflict
pari,19,pari,"[""10.0368"", ""meaning-5fa3d59b62c4""]",10.0368,za\da~,gatO,गतौ (gatau),parisAdi;parisad,2,"The movement meaning is assigned to shad with AN, not to the other upasargas.",Dhatupatha 10.368,not_counted_documented_conflict
pari,19,pari,"[""10.0401"", ""meaning-5fa3d59b62c4""]",10.0401,paza,gatO,गतौ (gatau),paripazi,1,The movement meaning is expressly limited to use without an upasarga.,Dhatupatha 10.401,not_counted_documented_conflict
pra,1,pra,"[""01.0716"", ""meaning-4d0ef93cc7a1""]",01.0716,Sasi~\,icCAyAm,इच्छायाम् (icchāyām),praSaMs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 1.716,not_counted_documented_conflict
pra,1,pra,"[""02.0012"", ""meaning-4d0ef93cc7a1""]",02.0012,SAsu~\,icCAyAm,इच्छायाम् (icchāyām),praSAs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 2.12,not_counted_documented_conflict
pra,1,pra,"[""02.0041"", ""meaning-7d1ea56b4ecd""]",02.0041,i\N,aDyayane,अध्ययने (adhyayane),prai,1,The study meaning is expressly described as always preceded by adhi.,Dhatupatha 2.41,not_counted_documented_conflict
pra,1,pra,"[""02.0042"", ""meaning-5f776bf60821""]",02.0042,i\k,smaraRe,स्मरणे (smaraṇe),prai,1,The remembering meaning is also expressly described as preceded by adhi.,Dhatupatha 2.42,not_counted_documented_conflict
pra,1,pra,"[""10.0252"", ""meaning-91868dbd1926""]",10.0252,kranda~,sAtatye,सातत्ये (sātatye),prakrandi,1,"The continuity meaning is assigned to krand with AN, not to the other upasargas.",Dhatupatha 10.252,not_counted_documented_conflict
pra,1,pra,"[""10.0368"", ""meaning-5fa3d59b62c4""]",10.0368,za\da~,gatO,गतौ (gatau),prasAdi;prasad,2,"The movement meaning is assigned to shad with AN, not to the other upasargas.",Dhatupatha 10.368,not_counted_documented_conflict
pra,1,pra,"[""10.0401"", ""meaning-5fa3d59b62c4""]",10.0401,paza,gatO,गतौ (gatau),prapazi,1,The movement meaning is expressly limited to use without an upasarga.,Dhatupatha 10.401,not_counted_documented_conflict
prati,18,prati,"[""01.0716"", ""meaning-4d0ef93cc7a1""]",01.0716,Sasi~\,icCAyAm,इच्छायाम् (icchāyām),pratiSaMs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 1.716,not_counted_documented_conflict
prati,18,prati,"[""02.0012"", ""meaning-4d0ef93cc7a1""]",02.0012,SAsu~\,icCAyAm,इच्छायाम् (icchāyām),pratiSAs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 2.12,not_counted_documented_conflict
prati,18,prati,"[""02.0041"", ""meaning-7d1ea56b4ecd""]",02.0041,i\N,aDyayane,अध्ययने (adhyayane),pratii,1,The study meaning is expressly described as always preceded by adhi.,Dhatupatha 2.41,not_counted_documented_conflict
prati,18,prati,"[""02.0042"", ""meaning-5f776bf60821""]",02.0042,i\k,smaraRe,स्मरणे (smaraṇe),pratii,1,The remembering meaning is also expressly described as preceded by adhi.,Dhatupatha 2.42,not_counted_documented_conflict
prati,18,prati,"[""10.0252"", ""meaning-91868dbd1926""]",10.0252,kranda~,sAtatye,सातत्ये (sātatye),pratikrandi,1,"The continuity meaning is assigned to krand with AN, not to the other upasargas.",Dhatupatha 10.252,not_counted_documented_conflict
prati,18,prati,"[""10.0368"", ""meaning-5fa3d59b62c4""]",10.0368,za\da~,gatO,गतौ (gatau),pratisAdi;pratisad,2,"The movement meaning is assigned to shad with AN, not to the other upasargas.",Dhatupatha 10.368,not_counted_documented_conflict
prati,18,prati,"[""10.0401"", ""meaning-5fa3d59b62c4""]",10.0401,paza,gatO,गतौ (gatau),pratipazi,1,The movement meaning is expressly limited to use without an upasarga.,Dhatupatha 10.401,not_counted_documented_conflict
sam,4,sam,"[""01.0716"", ""meaning-4d0ef93cc7a1""]",01.0716,Sasi~\,icCAyAm,इच्छायाम् (icchāyām),saMSaMs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 1.716,not_counted_documented_conflict
sam,4,sam,"[""02.0012"", ""meaning-4d0ef93cc7a1""]",02.0012,SAsu~\,icCAyAm,इच्छायाम् (icchāyām),saMSAs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 2.12,not_counted_documented_conflict
sam,4,sam,"[""02.0041"", ""meaning-7d1ea56b4ecd""]",02.0041,i\N,aDyayane,अध्ययने (adhyayane),sami,1,The study meaning is expressly described as always preceded by adhi.,Dhatupatha 2.41,not_counted_documented_conflict
sam,4,sam,"[""02.0042"", ""meaning-5f776bf60821""]",02.0042,i\k,smaraRe,स्मरणे (smaraṇe),sami,1,The remembering meaning is also expressly described as preceded by adhi.,Dhatupatha 2.42,not_counted_documented_conflict
sam,4,sam,"[""10.0252"", ""meaning-91868dbd1926""]",10.0252,kranda~,sAtatye,सातत्ये (sātatye),saMkrandi;saNkrandi,2,"The continuity meaning is assigned to krand with AN, not to the other upasargas.",Dhatupatha 10.252,not_counted_documented_conflict
sam,4,sam,"[""10.0368"", ""meaning-5fa3d59b62c4""]",10.0368,za\da~,gatO,गतौ (gatau),saMsAdi;saMsad,2,"The movement meaning is assigned to shad with AN, not to the other upasargas.",Dhatupatha 10.368,not_counted_documented_conflict
sam,4,sam,"[""10.0401"", ""meaning-5fa3d59b62c4""]",10.0401,paza,gatO,गतौ (gatau),saMpazi;sampazi,2,The movement meaning is expressly limited to use without an upasarga.,Dhatupatha 10.401,not_counted_documented_conflict
su,15,su,"[""01.0716"", ""meaning-4d0ef93cc7a1""]",01.0716,Sasi~\,icCAyAm,इच्छायाम् (icchāyām),suSaMs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 1.716,not_counted_documented_conflict
su,15,su,"[""02.0012"", ""meaning-4d0ef93cc7a1""]",02.0012,SAsu~\,icCAyAm,इच्छायाम् (icchāyām),suSAs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 2.12,not_counted_documented_conflict
su,15,su,"[""02.0041"", ""meaning-7d1ea56b4ecd""]",02.0041,i\N,aDyayane,अध्ययने (adhyayane),svi,1,The study meaning is expressly described as always preceded by adhi.,Dhatupatha 2.41,not_counted_documented_conflict
su,15,su,"[""02.0042"", ""meaning-5f776bf60821""]",02.0042,i\k,smaraRe,स्मरणे (smaraṇe),svi,1,The remembering meaning is also expressly described as preceded by adhi.,Dhatupatha 2.42,not_counted_documented_conflict
su,15,su,"[""10.0252"", ""meaning-91868dbd1926""]",10.0252,kranda~,sAtatye,सातत्ये (sātatye),sukrandi,1,"The continuity meaning is assigned to krand with AN, not to the other upasargas.",Dhatupatha 10.252,not_counted_documented_conflict
su,15,su,"[""10.0368"", ""meaning-5fa3d59b62c4""]",10.0368,za\da~,gatO,गतौ (gatau),susAdi;susad,2,"The movement meaning is assigned to shad with AN, not to the other upasargas.",Dhatupatha 10.368,not_counted_documented_conflict
