source_code,normalized_citation_slp1,base_count_key,base_meaning_slp1,base_meaning_display,matched_screens,matched_tokens,output_forms_slp1,classification,rule_treatment,rationale,count_status
01.0101,Svaki~\,"[""01.0101"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,SASvaNkya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0102,traki~\,"[""01.0102"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,tAtraNkya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0103,QOkf~\,"[""01.0103"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,qoQOkya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0104,trOkf~\,"[""01.0104"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,totrOkya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0105,zvazka~\,"[""01.0105"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,zAzvazkya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0106,vaska~\,"[""01.0106"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,vAvaskya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0107,maska~\,"[""01.0107"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,mAmaskya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0108,wikf~\,"[""01.0108"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,wewikya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0109,wIkf~\,"[""01.0109"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,wewIkya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0110,tikf~\,"[""01.0110"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,tetikya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0111,tIkf~\,"[""01.0111"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,tetIkya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0112,raGi~\,"[""01.0112"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,rAraNGya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0113,laGi~\,"[""01.0113"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,lAlaNGya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0114,zvakka~\,"[""01.0114"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,sAsvakkya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0123,Pakka~,"[""01.0123"", ""meaning-0b88f146c078""]",nIcErgatO,नीचैर्गतौ (nīcairgatau),gati,gatO,pAPakkya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0127,Suka~,"[""01.0127"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,SoSukya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0138,vaKa~,"[""01.0138"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,vAvaKya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0139,vaKi~,"[""01.0139"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,vAvaNKya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0140,maKa~,"[""01.0140"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,mAmaKya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0141,maKi~,"[""01.0141"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,mAmaNKya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0142,RaKa~,"[""01.0142"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,nAnaKya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0143,RaKi~,"[""01.0143"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,nAnaNKya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0144,raKa~,"[""01.0144"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,rAraKya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0145,raKi~,"[""01.0145"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,rAraNKya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0146,laKa~,"[""01.0146"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,lAlaKya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0147,laKi~,"[""01.0147"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,lAlaNKya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0152,valga~,"[""01.0152"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,vAvalgya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0153,ragi~,"[""01.0153"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,rAraNgya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0154,lagi~,"[""01.0154"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,lAlaNgya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0156,vagi~,"[""01.0156"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,vAvaNgya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0157,magi~,"[""01.0157"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,mAmaNgya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0158,tagi~,"[""01.0158"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,tAtaNgya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0159,tvagi~,"[""01.0159"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,tAtvaNgya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0160,Svelf~,"[""01.0160"", ""meaning-ded5b8f0e366""]",calane,चलने (calane),movement,calan,SeSvelya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0161,Sragi~,"[""01.0161"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,SASraNgya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0162,Slagi~,"[""01.0162"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,SASlaNgya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0164,rigi~,"[""01.0164"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,reriNgya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0165,ligi~,"[""01.0165"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,leliNgya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0168,riKa~,"[""01.0168"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,reriKya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0169,Garba~,"[""01.0169"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,jAGarbya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0170,narba~,"[""01.0170"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,nAnarbya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0171,Barba~,"[""01.0171"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,bABarbya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0172,traKa~,"[""01.0172"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,tAtraKya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0173,triKi~,"[""01.0173"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,tetriNKya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0174,SiKi~,"[""01.0174"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,SeSiNKya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0181,varba~,"[""01.0181"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,vAvarbya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0182,baBra~,"[""01.0182"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,bAbaBrya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0190,Svaca~\,"[""01.0190"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,SASvacya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0191,Svaci~\,"[""01.0191"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,SASvaYcya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0212,kunca~,"[""01.0212"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,cokucya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0213,krunca~,"[""01.0213"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,cokrucya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0216,vancu~,"[""01.0216"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,vanIvacya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0217,cancu~,"[""01.0217"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,cAcacya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0218,tancu~,"[""01.0218"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,tAtacya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0219,tvancu~,"[""01.0219"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,tAtvacya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0220,mruncu~,"[""01.0220"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,momrucya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0221,mluncu~,"[""01.0221"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,momlucya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0222,mrucu~,"[""01.0222"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,momrucya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0223,mlucu~,"[""01.0223"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,momlucya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0228,gluncu~,"[""01.0228"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,joglucya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0229,zasja~,"[""01.0229"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,sAsajjya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0245,Draja~,"[""01.0245"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,dADrajya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0246,Draji~,"[""01.0246"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,dADraYjya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0248,rebf~,"[""01.0248"", ""meaning-189a48161e35""]",plavagatO,प्लवगतौ (plavagatau),gati,gatO,rerebya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0249,Dfja~,"[""01.0249"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,darIDfjya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0250,Dfji~,"[""01.0250"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,darIDfYjya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0251,Dvaja~,"[""01.0251"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,dADvajya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0252,Dvaji~,"[""01.0252"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,dADvaYjya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0253,zalf~,"[""01.0253"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,sAsalya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0285,vaja~,"[""01.0285"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,vAvajya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0286,vraja~,"[""01.0286"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,vAvrajya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0292,Gawwa~\,"[""01.0292"", ""meaning-ded5b8f0e366""]",calane,चलने (calane),movement,calan,jAGawwya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0301,hiqi~\,"[""01.0301"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,jehiRqya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0315,paqi~\,"[""01.0315"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,pApaRqya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0332,awa~,"[""01.0332"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,awAwya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0333,pawa~,"[""01.0333"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,pApawya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0336,Sawa~,"[""01.0336"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,SASawya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0358,kiwa~,"[""01.0358"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,cekiwya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0359,kawI~,"[""01.0359"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,cAkawya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0383,hOqf~,"[""01.0383"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,johOqya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
