relation_id,family_id,input_form_slp1,semantic_context,semantic_relation,taddhita_source_variant,visible_suffix,expected_output_forms_slp1,expected_output_variant_count,rule_ref,source_file,source_line,source_kind,eligibility_status,generated_output_forms_slp1,missing_expected_forms_slp1,additional_engine_forms_slp1,engine_error,verification_status
73d7d29b251bc78e6ee7,devata_relation,gfhameDa,SaAsyaDevata,having the named form as its devata,Ca,Iya,gfhameDIya,1,4.2.32,kashika_4_2.rs,125,expanded_local_helper,source_condition_satisfied,gfhameDIya,,,,verified
7516a860f6855aae3131,devata_relation,gfhameDa,SaAsyaDevata,having the named form as its devata,yat,ya,gfhameDya,1,4.2.32,kashika_4_2.rs,125,expanded_local_helper,source_condition_satisfied,gfhameDya,,,,verified
679e13454791503b1406,crop_field_relation,tila,DhanyanamBhavaneKshetre,a field in which the named crop grows,yat,ya,tilya,1,5.2.4,kashika_5_2.rs,43,expanded_local_helper,source_condition_satisfied,tilya,,,,verified
db563c391532cf2eee7d,crop_field_relation,tila,DhanyanamBhavaneKshetre,a field in which the named crop grows,KaY,Ina,tElIna,1,5.2.4,kashika_5_2.rs,43,expanded_local_helper,source_condition_satisfied,tElIna,,,,verified
cc9d3c5b7eebee6a04ed,crop_field_relation,mAza,DhanyanamBhavaneKshetre,a field in which the named crop grows,yat,ya,mAzya,1,5.2.4,kashika_5_2.rs,44,expanded_local_helper,source_condition_satisfied,mAzya,,,,verified
6e0a102f8010dca6c816,crop_field_relation,mAza,DhanyanamBhavaneKshetre,a field in which the named crop grows,KaY,Ina,mAzIRa,1,5.2.4,kashika_5_2.rs,44,expanded_local_helper,source_condition_satisfied,mAzIRa,,,,verified
4ee08d6506c535bf7ab5,crop_field_relation,umA,DhanyanamBhavaneKshetre,a field in which the named crop grows,yat,ya,umya,1,5.2.4,kashika_5_2.rs,45,expanded_local_helper,source_condition_satisfied,umya,,,,verified
077e0d6e2463a128af0d,crop_field_relation,umA,DhanyanamBhavaneKshetre,a field in which the named crop grows,KaY,Ina,OmIna,1,5.2.4,kashika_5_2.rs,45,expanded_local_helper,source_condition_satisfied,OmIna,,,,verified
aac1999f5b5733caddf3,crop_field_relation,BaNgA,DhanyanamBhavaneKshetre,a field in which the named crop grows,yat,ya,BaNgya,1,5.2.4,kashika_5_2.rs,46,expanded_local_helper,source_condition_satisfied,BaNgya,,,,verified
40d39b730135c48b926f,crop_field_relation,BaNgA,DhanyanamBhavaneKshetre,a field in which the named crop grows,KaY,Ina,BANgIna,1,5.2.4,kashika_5_2.rs,46,expanded_local_helper,source_condition_satisfied,BANgIna,,,,verified
a881254fca05afa74b04,crop_field_relation,aRu,DhanyanamBhavaneKshetre,a field in which the named crop grows,yat,ya,aRavya,1,5.2.4,kashika_5_2.rs,47,expanded_local_helper,source_condition_satisfied,aRavya,,,,verified
3965490b8f675b261c1b,crop_field_relation,aRu,DhanyanamBhavaneKshetre,a field in which the named crop grows,KaY,Ina,ARavIna,1,5.2.4,kashika_5_2.rs,47,expanded_local_helper,source_condition_satisfied,ARavIna,,,,verified
a06edfe4ee6db720295a,purchase_measure_relation,tAvat,TenaKritam,bought for the named measure or amount,kan,ka,tAvatka;tAvatika,2,5.1.23,kashika_5_1.rs,218,resolved_constructed_input,source_condition_satisfied,tAvatka,tAvatika,,,verified_relation_partial_variant_coverage
b2cc19201078bdaf3bc7,purchase_measure_relation,yAvat,TenaKritam,bought for the named measure or amount,kan,ka,yAvatka;yAvatika,2,5.1.23,kashika_5_1.rs,221,resolved_constructed_input,source_condition_satisfied,yAvatka,yAvatika,,,verified_relation_partial_variant_coverage
