semantic_family,positive_source_assertions,active_positive_source_assertions,governing_rules,generalization_status,reason
intended_material,4,4,5.1.2,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
intended_recipient,1,1,5.4.26,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
listed_lexical_formation,11,8,5.2.29;5.2.30;5.2.9,source_list_bounded,The rule or commentary supplies a lexical list whose membership cannot be inferred from the present nominal metadata.
listed_lexical_quality,2,2,5.2.28,source_list_bounded,The rule or commentary supplies a lexical list whose membership cannot be inferred from the present nominal metadata.
location,9,7,5.3.10;5.3.11;5.3.12;5.3.13;5.3.3;5.3.5,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
manner,4,2,5.3.23;5.3.24;5.3.25;5.3.4,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
material_composition,3,3,5.4.21,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
means_of_attainment,1,1,4.4.91,source_input_bounded,The source defines the relation for a named input rather than for an independently identified nominal class.
means_of_crossing,1,1,4.4.91,source_input_bounded,The source defines the relation for a named input rather than for an independently identified nominal class.
means_of_killing,1,1,4.4.91,source_input_bounded,The source defines the relation for a named input rather than for an independently identified nominal class.
means_of_ploughing,1,1,4.4.97,source_input_bounded,The source defines the relation for a named input rather than for an independently identified nominal class.
measured_equivalence,1,1,4.4.91,source_input_bounded,The source defines the relation for a named input rather than for an independently identified nominal class.
named_measure,1,1,5.1.3,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
number_of_ways,8,8,5.3.42,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
performer,2,2,4.4.34,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
physical_characteristic,7,5,5.2.31;5.2.32;5.2.33,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
place_creation,2,2,4.2.68,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
place_dwelling,2,2,4.2.69,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
place_presence,3,3,4.2.67,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
place_proximity,2,2,4.2.70,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
possession,21,21,5.2.100;5.2.121;5.2.94;5.2.96,already_generalized_in_prior_ledger,A prior broad ledger already applies this relation to its declared input scope.
price_equivalence,1,1,4.4.91,source_input_bounded,The source defines the relation for a named input rather than for an independently identified nominal class.
price_relation,1,1,4.4.91,source_input_bounded,The source defines the relation for a named input rather than for an independently identified nominal class.
purchase_amount,5,5,5.1.22,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
relative_direction,6,6,5.4.44,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
reported_message,1,1,5.4.35,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
route_relation,1,1,5.1.77,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
same_referent_derivative,14,13,5.4.23;5.4.27;5.4.28;5.4.29;5.4.30;5.4.33;5.4.34;5.4.39,source_list_bounded,The rule or commentary supplies a lexical list whose membership cannot be inferred from the present nominal metadata.
seasonal_relation,2,2,5.1.105;5.1.106,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
solitary_state,1,1,5.3.52,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
source_or_direction,5,5,5.3.5;5.3.7,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
specified_association,39,19,4.2.100;4.2.101;4.2.102;4.2.103;4.2.114;4.2.115;4.2.92;4.2.93;4.2.94;4.2.95;4.2.97;4.2.98;4.2.99,source_list_bounded,The rule or commentary supplies a lexical list whose membership cannot be inferred from the present nominal metadata.
state_or_quality,8,8,5.1.119;5.1.122,already_generalized_in_prior_ledger,A prior broad ledger already applies this relation to its declared input scope.
study_place_or_time,4,4,4.4.71,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
suitable_food,3,3,4.4.65,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
superlative,13,13,5.3.55,selected_for_semantic_class_generalization,The governing rule supplies a general comparative relation; 5.3.58 supplies the narrower quality condition for the vowel-initial suffixes.
surrounding_direction,2,2,5.3.9,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
temporal_association,3,3,4.2.105,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
terrain_relation,2,2,5.2.34,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
time,11,9,5.3.15;5.3.16;5.3.18;5.3.19;5.3.4;5.3.6,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
type_or_kind,9,9,5.3.69;5.4.3,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
work_disposition,1,1,5.2.35,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
