source_example_id,source_file,source_function,source_line,rule_ref,input_form_slp1,prefixes_slp1,constructor,semantic_relation,expected_present_forms_slp1,expected_variant_count,source_test_status,operation_scope
e02469732173909ac7ac,kashika_3_1.rs,sutra_3_1_17_v2,201,3.1.17,powA,,kyaN,produce or perform the nominal referent,powAyate,1,active,conditioned_example
b0fdf3a453d55ab569bc,kashika_3_1.rs,sutra_3_1_17_v2,203,3.1.17,pruzwA,,kyaN,produce or perform the nominal referent,pruzwAyate,1,active,conditioned_example
a492d65ee9e1a6f34657,kashika_3_1.rs,sutra_3_1_17_v2,202,3.1.17,sowA,,kyaN,produce or perform the nominal referent,sowAyate,1,active,conditioned_example
dec2982f1ae455625952,kashika_3_1.rs,sutra_3_1_17_v1,190,3.1.17,sudina,,kyaN,produce or perform the nominal referent,sudinAyate,1,active,conditioned_example
631d3e0eccfa750fa209,kashika_3_1.rs,sutra_3_1_17,181,3.1.17,vEra,,kyaN,produce or perform the nominal referent,vErAyate,1,active,conditioned_example
44b7c9c69a84db5138e9,kashika_3_1.rs,sutra_3_1_18,210,3.1.18,duHKa,,kyaN,experience the state denoted by the nominal referent directly,duHKAyate,1,active,conditioned_example
cc8f05b739ab219cd724,kashika_3_1.rs,sutra_3_1_18,209,3.1.18,suKa,,kyaN,experience the state denoted by the nominal referent directly,suKAyate,1,active,conditioned_example
293d84d3f2d40d57af44,kashika_3_1.rs,sutra_3_1_19,218,3.1.19,citra,,auto,experience or produce wonder,citrIyate,1,active,conditioned_example
841548e07f48543fc2f6,kashika_3_1.rs,sutra_3_1_19,216,3.1.19,namas,,auto,offer honor or worship,namasyati,1,active,conditioned_example
f3a637dfde71639b6a16,kashika_3_1.rs,sutra_3_1_19,217,3.1.19,varivas,,auto,serve or attend upon,varivasyati,1,active,conditioned_example
fb6d43ad78043c085c4d,kashika_3_1.rs,sutra_3_1_20,226,3.1.20,BARqa,sam,auto,heap or gather vessels,samBARqayate,1,active,conditioned_example
616fe98fa337a85b4d33,kashika_3_1.rs,sutra_3_1_20,227,3.1.20,cIvara,sam,auto,acquire a robe,saYcIvarayate,1,active,conditioned_example
c31ae8ea1c3f10528275,kashika_3_1.rs,Kāśikā commentary,,3.1.20,cIvara,sam,auto,put on or wear a robe,saYcIvarayate,1,active,conditioned_example
309e2d407dd4343806cd,kashika_3_1.rs,sutra_3_1_20,225,3.1.20,pucCa,pari,auto,move the tail around,paripucCayate,1,active,conditioned_example
2e601a3a4220843a9bc1,kashika_3_1.rs,sutra_3_1_20,224,3.1.20,pucCa,ud,auto,raise the tail,utpucCayate,1,active,conditioned_example
1cd12a76e64fffaeab6c,kashika_3_1.rs,sutra_3_1_21,236,3.1.21,SlakzRa,,auto,perform the source-specified action associated with the nominal referent,SlakzRayati,1,ignored,conditioned_example
cfd9135cb94fa4af708d,kashika_3_1.rs,sutra_3_1_21,240,3.1.21,hali,,auto,perform the source-specified action associated with the nominal referent,ajahalat;halayati,2,ignored,conditioned_example
eeb10d2bbed1166c12c9,kashika_3_1.rs,sutra_3_1_21,241,3.1.21,kali,,auto,perform the source-specified action associated with the nominal referent,acakalat;kalayati,2,ignored,conditioned_example
e7a93b707ea49bf758eb,kashika_3_1.rs,sutra_3_1_21,244,3.1.21,kft,,auto,perform the source-specified action associated with the nominal referent,kftayati,1,ignored,conditioned_example
0de260f78765c9e120d9,kashika_3_1.rs,sutra_3_1_21,237,3.1.21,lavaRa,,auto,perform the source-specified action associated with the nominal referent,lavaRayati,1,ignored,conditioned_example
0ea94c020d51c24ec075,kashika_3_1.rs,sutra_3_1_21,235,3.1.21,miSra,,auto,perform the source-specified action associated with the nominal referent,miSrayati,1,ignored,conditioned_example
fcd4d93d4efad72923d2,kashika_3_1.rs,sutra_3_1_21,234,3.1.21,muRqa,,auto,perform the source-specified action associated with the nominal referent,muRqayati,1,ignored,conditioned_example
fc6224c8056e99baefa7,kashika_3_1.rs,sutra_3_1_21,245,3.1.21,tUsta,vi,auto,perform the source-specified action associated with the nominal referent,tUstayati,1,ignored,conditioned_example
c465ab6acb9b09834291,kashika_3_1.rs,sutra_3_1_21,239,3.1.21,vastra,sam,auto,perform the source-specified action associated with the nominal referent,saMvastrayati,1,ignored,conditioned_example
b58ef370bd41eff2e330,kashika_3_1.rs,sutra_3_1_21,238,3.1.21,vrata,,auto,perform the source-specified action associated with the nominal referent,vratayati,1,ignored,conditioned_example
