conditioned_candidate_id,input_form_slp1,semantic_context,semantic_description,taddhita_source_variant,expected_output_forms_slp1,expected_output_variant_count,rule_refs,source_locators,collapsed_duplicate_assertions,input_status
4aa25adfb9fba4f9305d,BastrA,TenaHarati,One who conveys with this. (4.4.15),zWan,Bastrika,1,4.4.16,kashika_4_4.rs:121,0,source_conditioned_relation_not_independent_nominal_count
362475a05cb3b13efa77,Beda,TadArhati,One deserves this. (5.1.63),Wak,BEdika,1,5.1.64,kashika_5_1.rs:396,0,source_conditioned_relation_not_independent_nominal_count
03eb4957bdc5e17b61b3,BikzA,TasyaSamuha,A collection of this. (4.2.37),aR,BEkza,1,4.2.38,kashika_4_2.rs:147,0,source_conditioned_relation_not_independent_nominal_count
26492d1dd915223ada8d,BrAtf,TadAsyaAstiAsmin,What one has or is in. (5.2.94),valac,BrAtfvala,1,5.2.112,kashika_5_2.rs:439,0,source_conditioned_relation_not_independent_nominal_count
1c33632d6cf64f1f7022,BrAtf,TasyaApatyam,Descendant. (4.1.92),Ca,BrAtrIya,1,4.1.144,kashika_4_1.rs:771,0,source_conditioned_relation_not_independent_nominal_count
b7fee78fc19ef8dcab9d,BrAtf,TasyaApatyam,Descendant. (4.1.92),vyan,BrAtfvya,1,4.1.145,kashika_4_1.rs:777,0,source_conditioned_relation_not_independent_nominal_count
fd8a409a0aa015831322,BrAtf,TasyaApatyam,Descendant. (4.1.92),vyat,BrAtfvya,1,4.1.144,kashika_4_1.rs:772,0,source_conditioned_relation_not_independent_nominal_count
ec0c22a47e5d40593767,BrAzwa,SamskrtamBhaksha,Food that is prepared with this vessel or medium. (4.2.16),aR,BrAzwa,1,4.2.16,kashika_4_2.rs:29,0,source_conditioned_relation_not_independent_nominal_count
c7627c355d3b4f8d1582,BrU,TasyaApatyam,Descendant. (4.1.92),Qak,BrOveya,1,4.1.125,kashika_4_1.rs:666,0,source_conditioned_relation_not_independent_nominal_count
6aeec6baf7218d2324b5,Bramara,TenaKrte,By whom this is made. (4.3.116),aY,BrAmara,1,4.3.119,kashika_4_3.rs:369,0,source_conditioned_relation_not_independent_nominal_count
eb4200538eef4517df6c,BuliNgA,Janapada,Country. (4.1.168),iY,BOliNgi,1,4.1.173,kashika_4_1.rs:895,0,source_conditioned_relation_not_independent_nominal_count
4ed415057b9b88aa550f,Cagala,TasyaApatyam,Descendant. (4.1.92),aR,CAgala,1,4.1.117,kashika_4_1.rs:600,0,source_conditioned_relation_not_independent_nominal_count
85173ea93ddc24deb940,Cagala,TasyaApatyam,Descendant. (4.1.92),iY,CAgali,1,4.1.117,kashika_4_1.rs:601,0,source_conditioned_relation_not_independent_nominal_count
5fa25f93c3a1bb83d2fb,Cagalin,TenaProktam,What is proclaimed by this person. (4.3.101),Qinuk,CAgaleyin,1,4.3.109,kashika_4_3.rs:344,0,source_conditioned_relation_not_independent_nominal_count
ff8f199215313e4b25c7,Candas,Nirmita,Made of this. (4.4.93),yat,Candasya,1,4.4.93,kashika_4_4.rs:608,0,source_conditioned_relation_not_independent_nominal_count
4d29753c6fa93f2388e0,Candas,TadAdhiteTadVeda,What one studies or knows. (4.2.59),aR,CAndasa,1,4.2.59,kashika_4_2.rs:254,0,source_conditioned_relation_not_independent_nominal_count
69cf95127000f575dda0,Candoga,TasyaIdam,One who has this. (4.3.120),Yya,CAndogya,1,4.3.129,kashika_4_3.rs:399,0,source_conditioned_relation_not_independent_nominal_count
ed30b7d3f37c818fb225,Catra,Shilam,One who has this habit. (4.4.61),Ra,CAtra,1,4.4.62,kashika_4_4.rs:439,0,source_conditioned_relation_not_independent_nominal_count
d504ede2c0304d4c8a23,Ceda,TadArhati,One deserves this. (5.1.63),Wak,CEdika,1,5.1.64,kashika_5_1.rs:395,0,source_conditioned_relation_not_independent_nominal_count
4e662c9857489d6accaa,DAra,Kutsite,Contempt. (5.3.75),kan,DAraka,1,5.3.75,kashika_5_3.rs:273,0,source_conditioned_relation_not_independent_nominal_count
95272b21c410b72161d7,Dana,Labdha,What one has obtained. (4.4.85),yat,Danya,1,4.4.84,kashika_4_4.rs:557,0,source_conditioned_relation_not_independent_nominal_count
5f216a2b82e236c2816b,Dana,TatraKama,A desire for which. (5.2.65),kan,Danaka,1,5.2.65,kashika_5_2.rs:343,0,source_conditioned_relation_not_independent_nominal_count
a838957b915c8a31fc5e,DanurdaRqa,TenaJivati,One who lives with this. (4.4.12),Wak,DAnurdaRqika,1,4.4.12,kashika_4_4.rs:95,0,source_conditioned_relation_not_independent_nominal_count
bebcdf4988ca0cc0d7f2,Danus,Praharanam,One who has this weapon. (4.4.57),Wak,DAnuzka,1,4.4.57,kashika_4_4.rs:408,0,source_conditioned_relation_not_independent_nominal_count
5843b9489eb3c4a0a287,Darma,Anapeta,Not deviating from this. (4.4.92),yat,Darmya,1,4.4.92,kashika_4_4.rs:600,0,source_conditioned_relation_not_independent_nominal_count
7c8b3e11dfe7dc9b048d,Darma,Carati,What one practices. (4.4.41),Wak,DArmika,1,4.4.41,kashika_4_4.rs:291,0,source_conditioned_relation_not_independent_nominal_count
6f82f4bc74b6dbe32352,Dur,TadVahati,What one bears. (4.4.78),Qak,DOreya,1,4.4.77,kashika_4_4.rs:522,0,source_conditioned_relation_not_independent_nominal_count
324f8e759f5875a19a9b,Dur,TadVahati,What one bears. (4.4.78),yat,Durya,1,4.4.77,kashika_4_4.rs:521,0,source_conditioned_relation_not_independent_nominal_count
fff5cac36e1fc494309c,EzukAri,TasyaVishayoDeshe,A domain of this. (4.2.52),Baktal,EzukAriBakta,1,4.2.54,kashika_4_2.rs:245,0,source_conditioned_relation_not_independent_nominal_count
8ffaf13c9b0f29dc8ecf,Gawa,AbhutaTadbhava,Becoming what one was not. (5.4.50),cvi,GawI,1,5.4.50,kashika_5_4.rs:156,0,source_conditioned_relation_not_independent_nominal_count
30c50be11f8860e9a50c,Gawa,TenaTarati,One who crosses with this. (4.4.5),Wan,Gawika,1,4.4.7,kashika_4_4.rs:60,0,source_conditioned_relation_not_independent_nominal_count
044be3a2d77244a76989,JarJara,Shilpam,One who has this art. (4.4.55),Wak,JArJarika,1,4.4.56,kashika_4_4.rs:400,0,source_conditioned_relation_not_independent_nominal_count
74dcca1de45e5d615bb4,JarJara,Shilpam,One who has this art. (4.4.55),aR,JArJara,1,4.4.56,kashika_4_4.rs:399,0,source_conditioned_relation_not_independent_nominal_count
923f92933344c3954c91,KArI,SambhavatiAharatiPacati,"What is capable of this, or holds this, or cooks this. (5.152)",Ikan,KArIka,1,5.1.52,kashika_5_1.rs:355,0,source_conditioned_relation_not_independent_nominal_count
e9152b23fcbe21cab721,KArI,TasyaVapa,Sown with this. (5.1.45),Ikan,KArIka,1,5.1.45,kashika_5_1.rs:297,0,source_conditioned_relation_not_independent_nominal_count
674cbf080dcad3782f46,KaRqikA,TasyaSamuha,A collection of this. (4.2.37),aY,KARqika,1,4.2.45,kashika_4_2.rs:196,0,source_conditioned_relation_not_independent_nominal_count
45bee4525f91a94fbab1,KaRqika,TenaProktam,What is proclaimed by this person. (4.3.101),CaR,KARqikIya,1,4.3.102,kashika_4_3.rs:320,0,source_conditioned_relation_not_independent_nominal_count
34f29520cf024f9d3dc2,Kadira,TasyaVikara,Modification of this. (4.3.134),aR,KAdira,1,4.3.141,kashika_4_3.rs:465,0,source_conditioned_relation_not_independent_nominal_count
bb4359196e549fd234fa,Kadira,TasyaVikara,Modification of this. (4.3.134),aY,KAdira,1,4.3.141,kashika_4_3.rs:464,0,source_conditioned_relation_not_independent_nominal_count
82c597d97efbf94cf210,Kala,TasmaiHitam,One for whom this is good. (5.1.7),yat,Kalya,1,5.1.7,kashika_5_1.rs:81,0,source_conditioned_relation_not_independent_nominal_count
ade0aeefa3d1605924f7,Kala,TasyaSamuha,A collection of this. (4.2.37),ya,KalyA,1,4.2.50,kashika_4_2.rs:216,0,source_conditioned_relation_not_independent_nominal_count
dfbfb05632d71c944347,Kara,TenaUpasikte,Sprinkled with. (4.4.26),Wak,KArika,1,4.4.26,kashika_4_4.rs:184,0,source_conditioned_relation_not_independent_nominal_count
737c635a1d90d60ab706,OkTika,TasyaIdam,One who has this. (4.3.120),Yya,OkTikya,1,4.3.129,kashika_4_3.rs:400,0,source_conditioned_relation_not_independent_nominal_count
662d26b0313e88e18429,Pena,TadAsyaAstiAsmin,What one has or is in. (5.2.94),ilac,Penila,1,5.2.99,kashika_5_2.rs:410,0,source_conditioned_relation_not_independent_nominal_count
32357ec712d0d467f912,Pena,TadAsyaAstiAsmin,What one has or is in. (5.2.94),lac,Penala,1,5.2.99,kashika_5_2.rs:411,0,source_conditioned_relation_not_independent_nominal_count
27136b5bbcb3649c9386,Pena,TadAsyaAstiAsmin,What one has or is in. (5.2.94),matup,Penavat,1,5.2.99,kashika_5_2.rs:412,0,source_conditioned_relation_not_independent_nominal_count
f1f67f10f096d0ff4dfb,SAKA,IvePratikrtau,,yat,SAKya,1,5.3.103,kashika_5_3.rs:366,0,source_conditioned_relation_not_independent_nominal_count
791cd1423571184bc1f0,SAka,TasyaVikara,Modification of this. (4.3.134),mayaw,SAkamaya,1,4.3.144,kashika_4_3.rs:479,0,source_conditioned_relation_not_independent_nominal_count
bd6d7589d0a92a5629fa,SAkala,TatraJata,Where this was born. (4.3.25),WaY,SAkalika,1,4.3.25,kashika_4_3.rs:86,0,source_conditioned_relation_not_independent_nominal_count
52fb8cf8dd0221a64086,SAlAtura,AsyaNivasa,Dwelling. (4.3.89),CaR,SAlAturIya,1,4.3.94,kashika_4_3.rs:305,0,source_conditioned_relation_not_independent_nominal_count
169cbd41076589da3b95,SAla,TasyaVikara,Modification of this. (4.3.134),mayaw,SAlamaya,1,4.3.144,kashika_4_3.rs:478,0,source_conditioned_relation_not_independent_nominal_count
10a9803dd685777c3abd,SAli,DhanyanamBhavaneKshetre,"A place of growing, when that place is a field. (5.2.1)",Qak,SAleya,1,5.2.2,kashika_5_2.rs:25,0,source_conditioned_relation_not_independent_nominal_count
3d4ad674e7137c62d90e,SIrSacCeda,TadArhati,One deserves this. (5.1.63),Wak,SErSacCedika,1,5.1.65,kashika_5_1.rs:402,0,source_conditioned_relation_not_independent_nominal_count
effccd2de047ec60f318,SIrSacCeda,TadArhati,One deserves this. (5.1.63),yat,SIrSacCedya,1,5.1.65,kashika_5_1.rs:403,0,source_conditioned_relation_not_independent_nominal_count
f8736d2ebb14e2cf0be4,SIta,Karin,Going to work in this manner. (5.2.72),kan,SItaka,1,5.2.72,kashika_5_2.rs:372,0,source_conditioned_relation_not_independent_nominal_count
48d8c1bca7abe88c12b7,SUdra,Kutsite,Contempt. (5.3.75),kan,SUdraka,1,5.3.75,kashika_5_3.rs:272,0,source_conditioned_relation_not_independent_nominal_count
eeeae5e13c5ccec4afcd,SUla,SamskrtamBhaksha,Food that is prepared with this vessel or medium. (4.2.16),yat,SUlya,1,4.2.17,kashika_4_2.rs:36,0,source_conditioned_relation_not_independent_nominal_count
569643d90209af5a3ccb,SUrpa,TenaKritam,What is bought with this. (5.1.37),WaY,SOrpika,1,5.1.26,kashika_5_1.rs:233,0,source_conditioned_relation_not_independent_nominal_count
cf7090de1b3eaefac1f9,SUrpa,TenaKritam,What is bought with this. (5.1.37),aY,SOrpa,1,5.1.26,kashika_5_1.rs:232,0,source_conditioned_relation_not_independent_nominal_count
07f339a1af0feff9971d,SaNkupaTa,Ahrtam,What is conveyed by that way. (5.1.77),WaY,SANkupaTika,1,5.1.77,kashika_5_1.rs:517,0,source_conditioned_relation_not_independent_nominal_count
1a91ca709380f772824f,SaNkupaTa,Gacchati,Who goes. (5.1.75),WaY,SANkupaTika,1,5.1.77,kashika_5_1.rs:516,0,source_conditioned_relation_not_independent_nominal_count
f9d009a503a066f8877b,SaPara,Hanti,What one kills. (4.4.35),Wak,SAParika,1,4.4.35,kashika_4_4.rs:248,0,source_conditioned_relation_not_independent_nominal_count
ad1e4ab9b13a073037cb,SaRqika,AsyaNivasa,Dwelling. (4.3.89),Yya,SARqikya,1,4.3.92,kashika_4_3.rs:290,0,source_conditioned_relation_not_independent_nominal_count
a5b9b1241eecdb721a00,Sakala,TenaRaktam,One dyed by this. (4.2.1),Wak,SAkalika,1,4.2.2,kashika_4_2.rs:23,0,source_conditioned_relation_not_independent_nominal_count
5c3b0a53edbd273aba30,SakawA,TenaCarati,One who walks or eats with this. (4.4.8),Wak,SAkawika,1,4.4.8,kashika_4_4.rs:68,0,source_conditioned_relation_not_independent_nominal_count
e0ba17b7cd795b600557,Sakawa,TadVahati,What one bears. (4.4.78),aR,SAkawa,1,4.4.80,kashika_4_4.rs:534,0,source_conditioned_relation_not_independent_nominal_count
e065c066a7ffaa213c16,Sakti,Praharanam,One who has this weapon. (4.4.57),Ikak,SAktIka,1,4.4.59,kashika_4_4.rs:419,0,source_conditioned_relation_not_independent_nominal_count
0ff61b971246357e1aeb,Sakuli,Hanti,What one kills. (4.4.35),Wak,SAkulika,1,4.4.35,kashika_4_4.rs:249,0,source_conditioned_relation_not_independent_nominal_count
4d4ede62acae6be31150,Sakuni,Hanti,What one kills. (4.4.35),Wak,SAkunika,1,4.4.35,kashika_4_4.rs:243,0,source_conditioned_relation_not_independent_nominal_count
f503a330cf05f9c59344,SalAkA,TenaDivyatiJayatiJitam,"One who gambles, conquers, or is conquered with this. (4.4.2)",Wak,SAlAkika,1,4.4.2,kashika_4_4.rs:26,0,source_conditioned_relation_not_independent_nominal_count
a44b0db4b8c11563e509,SalAlu,TadAsyaPanyam,One who sells this item. (4.4.51),Wak,SAlAluka,1,4.4.54,kashika_4_4.rs:385,0,source_conditioned_relation_not_independent_nominal_count
52c5944036003930f8df,SalAlu,TadAsyaPanyam,One who sells this item. (4.4.51),zWan,SalAluka,1,4.4.54,kashika_4_4.rs:384,0,source_conditioned_relation_not_independent_nominal_count
29f299efe8ac6d369c49,SamI,Hrasve,,ra,SamIra,1,5.3.88,kashika_5_3.rs:301,0,source_conditioned_relation_not_independent_nominal_count
f99e721fb33708128fc2,SamI,TasyaVikara,Modification of this. (4.3.134),wlaY,SAmIla,1,4.3.142,kashika_4_3.rs:472,0,source_conditioned_relation_not_independent_nominal_count
53d4ad5cdd361f29480c,Sanku,TadarthamVikrtehPrakrtau,What could be created from this raw material. (5.1.12),yat,SaNkavya,1,5.1.12,kashika_5_1.rs:125,0,source_conditioned_relation_not_independent_nominal_count
74ee294dc3829ef97250,Sara,TasyaVikara,Modification of this. (4.3.134),mayaw,Saramaya,1,4.3.144,kashika_4_3.rs:481,0,source_conditioned_relation_not_independent_nominal_count
29de1a94f9a1a41401de,SaraRa,TatraSadhu,Skilled in this. (4.4.98),yat,SaraRya,1,4.4.98,kashika_4_4.rs:634,0,source_conditioned_relation_not_independent_nominal_count
2a8796adf8acad8dab84,Sarad,TatraJata,Where this was born. (4.3.25),aR,SArada,1,4.3.27,kashika_4_3.rs:103,0,source_conditioned_relation_not_independent_nominal_count
2bacc589b98de7da2c8a,Sarad,TatraJata,Where this was born. (4.3.25),vuY,SAradaka,1,4.3.27,kashika_4_3.rs:101,0,source_conditioned_relation_not_independent_nominal_count
76d9a765a0e6fc3681f7,SaradaRqA,Janapada,Country. (4.1.168),iY,SAradaRqi,1,4.1.173,kashika_4_1.rs:896,0,source_conditioned_relation_not_independent_nominal_count
52924437d53d583c5964,Saradvat,Gotra,Patronymic lineage. (4.1.98),Pak,SAradvatAyana,1,4.1.102,kashika_4_1.rs:512,0,source_conditioned_relation_not_independent_nominal_count
48dbdcc6cc475138cbae,Saradvat,Gotra,Patronymic lineage. (4.1.98),aY,SAradvata,1,4.1.102,kashika_4_1.rs:513,0,source_conditioned_relation_not_independent_nominal_count
8288a02b570fef3b8e5c,SarkarA,IvePratikrtau,,aR,SArkara,1,5.3.107,kashika_5_3.rs:378,0,source_conditioned_relation_not_independent_nominal_count
df72a2b5c2991e151010,Sata,TadArhati,One deserves this. (5.1.63),Wan,Satika,1,5.1.63,kashika_5_1.rs:388,0,source_conditioned_relation_not_independent_nominal_count
e2be054490f03760f65d,Sata,TadArhati,One deserves this. (5.1.63),yat,Satya,1,5.1.63,kashika_5_1.rs:389,0,source_conditioned_relation_not_independent_nominal_count
875a49f601d7b9020ad6,Sata,TadAsminVrddhiAyaLabhaSulkaUpada,"In which this is an interest, rent, profit, tax, or bribe. (5.1.47)",Wan,Satika,1,5.1.47,kashika_5_1.rs:314,0,source_conditioned_relation_not_independent_nominal_count
b3f737c2c8c3759ef788,Sata,TadAsminVrddhiAyaLabhaSulkaUpada,"In which this is an interest, rent, profit, tax, or bribe. (5.1.47)",yat,Satya,1,5.1.47,kashika_5_1.rs:313,0,source_conditioned_relation_not_independent_nominal_count
8f2b17580b273132f3cb,Sata,TadAsyaParimanam,The measure of this. (5.1.57),Wan,Satika,1,5.1.57,kashika_5_1.rs:377,0,source_conditioned_relation_not_independent_nominal_count
947092d7f44957bbd78e,Sata,TadAsyaParimanam,The measure of this. (5.1.57),yat,Satya,1,5.1.57,kashika_5_1.rs:378,0,source_conditioned_relation_not_independent_nominal_count
05ff62fc342ec8d9a5a5,Sata,TasyaNimittamSamyogotpattau,"For the sake of this, when the meaning is a relation or appearance. (5.1.38)",Wan,Satika,1,5.1.38,kashika_5_1.rs:267,0,source_conditioned_relation_not_independent_nominal_count
f7a11eb19f5051ed091d,Sata,TasyaNimittamSamyogotpattau,"For the sake of this, when the meaning is a relation or appearance. (5.1.38)",yat,Satya,1,5.1.38,kashika_5_1.rs:266,0,source_conditioned_relation_not_independent_nominal_count
f3ded9e9108a64f54248,Sata,TenaKritam,What is bought with this. (5.1.37),Wan,Satika,1,5.1.21;5.1.37,kashika_5_1.rs:200;kashika_5_1.rs:254,1,source_conditioned_relation_not_independent_nominal_count
1fce51441cd9c39d6eb2,Sata,TenaKritam,What is bought with this. (5.1.37),kan,Sataka,1,5.1.21,kashika_5_1.rs:202,0,source_conditioned_relation_not_independent_nominal_count
5093a4e0536f36a766b6,Sata,TenaKritam,What is bought with this. (5.1.37),yat,Satya,1,5.1.21;5.1.37,kashika_5_1.rs:201;kashika_5_1.rs:253,1,source_conditioned_relation_not_independent_nominal_count
ee195565540474ff0289,SatamAna,TenaKritam,What is bought with this. (5.1.37),aR,SAtamAna,1,5.1.27,kashika_5_1.rs:238,0,source_conditioned_relation_not_independent_nominal_count
c38fb7e330af2a371c10,Satapati,TasyaApatyam,Descendant. (4.1.92),aR,SAtapata,1,4.1.84,kashika_4_1.rs:428,0,source_conditioned_relation_not_independent_nominal_count
608b5d9783162ee8e401,Satarudra,SaAsyaDevata,Having this as a god. (4.2.24),Ca,SatarudrIya,1,4.2.28,kashika_4_2.rs:89,0,source_conditioned_relation_not_independent_nominal_count
6888ceb341ffd51832c8,Satarudra,SaAsyaDevata,Having this as a god. (4.2.24),Ga,Satarudriya,1,4.2.28,kashika_4_2.rs:88,0,source_conditioned_relation_not_independent_nominal_count
e3127a4594f80c7e1a4a,Sazkula,Shilam,One who has this habit. (4.4.61),Wak,SAzkulika,1,4.4.61,kashika_4_4.rs:433,0,source_conditioned_relation_not_independent_nominal_count
70b3f52b6be8e220624e,Sazkula,TadAsmaiDiyateNiyuktam,To whom this is given rightfully. (4.4.66),Wak,SAzkulika,1,4.4.66,kashika_4_4.rs:453,0,source_conditioned_relation_not_independent_nominal_count
bd6b7d881f4090982d43,Sazkula,TadAsyaPanyam,One who sells this item. (4.4.51),Wak,SAzkulika,1,4.4.51,kashika_4_4.rs:366,0,source_conditioned_relation_not_independent_nominal_count
