source_example_id,source_file,source_function,source_line,rule_ref,source_test_status,helper,compound_type,member_forms_slp1,member_count,input_resolution,semantic_template,expected_forms_slp1,expected_variant_count,exclusion_reason
e79de150b3d3dc5e,kashika_2_1.rs,sutra_2_1_32,191,2.1.32,active,assert_has_trtiya_tatpurusha,trtiya_tatpurusha,,0,constructed_or_unresolved_member,"{b} by, with, or through {a}",naKanirBinna,1,constructed_member_not_reconstructed_in_this_pass
88f70a3c28ac3eeb,kashika_2_1.rs,sutra_2_1_33,198,2.1.33,active,assert_has_trtiya_tatpurusha,trtiya_tatpurusha,,0,constructed_or_unresolved_member,"{b} by, with, or through {a}",kAkapeya,1,constructed_member_not_reconstructed_in_this_pass
897fab702ce7f3a5,kashika_2_1.rs,sutra_2_1_33,201,2.1.33,active,assert_has_trtiya_tatpurusha,trtiya_tatpurusha,,0,constructed_or_unresolved_member,"{b} by, with, or through {a}",Svalehya,1,constructed_member_not_reconstructed_in_this_pass
d79d86d6fc229f57,kashika_2_1.rs,sutra_2_1_33,204,2.1.33,active,assert_has_trtiya_tatpurusha,trtiya_tatpurusha,,0,constructed_or_unresolved_member,"{b} by, with, or through {a}",bAzpacCedya,1,constructed_member_not_reconstructed_in_this_pass
811c8a1f8459df2c,kashika_2_1.rs,sutra_2_1_33,207,2.1.33,active,assert_has_trtiya_tatpurusha,trtiya_tatpurusha,,0,constructed_or_unresolved_member,"{b} by, with, or through {a}",kaRwakasaYceya,1,constructed_member_not_reconstructed_in_this_pass
86e982cc6a85e431,kashika_2_1.rs,sutra_2_1_47,284,2.1.47,ignored,assert_has_saptami_tatpurusha,saptami_tatpurusha,,0,constructed_or_unresolved_member,{b} in or upon {a},tatraBukta,1,ignored_source_test
6795855179583d48,kashika_2_1.rs,sutra_2_1_47,285,2.1.47,ignored,assert_has_saptami_tatpurusha,saptami_tatpurusha,,0,constructed_or_unresolved_member,{b} in or upon {a},tatrakfta,1,ignored_source_test
b92109d2d313befe,kashika_2_1.rs,sutra_2_1_47,286,2.1.47,ignored,assert_has_saptami_tatpurusha,saptami_tatpurusha,,0,constructed_or_unresolved_member,{b} in or upon {a},tatrapIta,1,ignored_source_test
be0f9fd693de9c64,kashika_2_1.rs,sutra_2_1_64,325,2.1.64,ignored,assert_has_karmadharaya,karmadharaya,kim;rAjan,2,literal_members,{b} qualified or identified by {a},kiMrAjan,1,ignored_source_test
3f069b8b9e75d9a9,kashika_2_1.rs,sutra_2_1_64,326,2.1.64,ignored,assert_has_karmadharaya,karmadharaya,kim;saKi,2,literal_members,{b} qualified or identified by {a},kiMsaKi,1,ignored_source_test
aace91413c7b57b0,kashika_2_1.rs,sutra_2_1_64,327,2.1.64,ignored,assert_has_karmadharaya,karmadharaya,kim;go,2,literal_members,{b} qualified or identified by {a},kiNgo,1,ignored_source_test
96c8ddb57b5fb501,kashika_2_2.rs,sutra_2_2_24,19,2.2.24,ignored,assert_has_bahuvrihi,bahuvrihi,UQa;raTa,2,literal_members,one characterized by {a} and {b},UQaraTa,1,ignored_source_test
0b29f087f157e851,kashika_2_2.rs,sutra_2_2_24,20,2.2.24,ignored,assert_has_bahuvrihi,bahuvrihi,upagfta;paSu,2,literal_members,one characterized by {a} and {b},upagftapaSu,1,ignored_source_test
540034eaec44eb07,kashika_2_2.rs,sutra_2_2_24,21,2.2.24,ignored,assert_has_bahuvrihi,bahuvrihi,udDfta;odana,2,literal_members,one characterized by {a} and {b},udDftOdana,1,ignored_source_test
33f72618446d7677,kashika_2_2.rs,sutra_2_2_24,22,2.2.24,ignored,assert_has_bahuvrihi,bahuvrihi,citra;go,2,literal_members,one characterized by {a} and {b},citragu,1,ignored_source_test
