source_example_id,source_file,source_function,source_line,rule_ref,source_test_status,input_expression,input_resolution,input_form_slp1,expected_nominative_forms_slp1,expected_variant_count
59f3a52e0d8ee8212b19,kashika_4_1.rs,sutra_4_1_15,338,4.1.15,ignored,&yajamana,constructed_variable,yajamAna,yajamAnA,1
8944b1cb37eab7db1ae3,kashika_4_1.rs,sutra_4_1_15,342,4.1.15,ignored,&sauparneya,constructed_variable,sOparReya,sOparReyI,1
4e774decc7bd7bad9151,kashika_4_1.rs,sutra_4_1_15,343,4.1.15,ignored,&vainateya,constructed_variable,vEnateya,vEnateyI,1
9e065ac88790dc0b3f3d,kashika_4_1.rs,sutra_4_1_15,348,4.1.15,ignored,&kumbhakara,constructed_variable,kumBakAra,kumBakArI,1
e8af0ce4b06e19143e60,kashika_4_1.rs,sutra_4_1_15,349,4.1.15,ignored,&nagarakara,constructed_variable,nagarakAra,nagarakArI,1
08f3002faf026820fce1,kashika_4_1.rs,sutra_4_1_15,352,4.1.15,ignored,&aupagava,constructed_variable,Opagava,OpagavI,1
e7cfbe92994f1e8ad7b4,kashika_4_1.rs,sutra_4_1_41,361,4.1.41,active,&nartaka,constructed_variable,nartaka,nartakI,1
dd0d6d3a5aa5ad7a2c8f,kashika_4_1.rs,sutra_4_1_41,363,4.1.41,active,&khanaka,constructed_variable,Kanaka,KanakI,1
e44a50c202cfe15a7201,kashika_4_1.rs,sutra_4_1_41,365,4.1.41,active,&rajaka,constructed_variable,rajaka,rajakI,1
44151ccf33727fe771eb,kashika_4_1.rs,sutra_4_1_41,368,4.1.41,active,"""gOra""",literal,gOra,gOrI,1
09d87c80ccebb9ea5e9a,kashika_4_1.rs,sutra_4_1_41,369,4.1.41,active,"""matsya""",literal,matsya,matsI,1
f98331ce7769f12de9aa,kashika_4_1.rs,sutra_4_1_45,374,4.1.45,active,"""bahu""",literal,bahu,bahuH;bahvI,2
94ed3dfa6be2a38757e4,kashika_4_1.rs,sutra_4_1_49,379,4.1.49,active,"""indra""",literal,indra,indrARI,1
cc1676117b16b9521a05,kashika_4_1.rs,sutra_4_1_49,380,4.1.49,active,"""varuRa""",literal,varuRa,varuRAnI,1
295131a61a8a8d09ed9d,kashika_4_1.rs,sutra_4_1_49,381,4.1.49,active,"""Bava""",literal,Bava,BavAnI,1
3c2c8f62656e99a2de59,kashika_4_1.rs,sutra_4_1_49,382,4.1.49,active,"""Sarva""",literal,Sarva,SarvARI,1
07a24fadda1f69770d87,kashika_4_1.rs,sutra_4_1_49,383,4.1.49,active,"""rudra""",literal,rudra,rudrARI,1
0682e58468452c691a23,kashika_4_1.rs,sutra_4_1_49,384,4.1.49,active,"""mfqa""",literal,mfqa,mfqAnI,1
8a2ed24d7d2e04d84384,kashika_4_1.rs,sutra_4_1_49,385,4.1.49,active,"""hima""",literal,hima,himAnI,1
6e4bcb651c7d4aa5f365,kashika_4_1.rs,sutra_4_1_49,386,4.1.49,active,"""araRya""",literal,araRya,araRyAnI,1
b9f0167655e40ef01ba6,kashika_4_1.rs,sutra_4_1_49,387,4.1.49,active,"""yava""",literal,yava,yavAnI,1
42cc257ddd27ea710717,kashika_4_1.rs,sutra_4_1_49,388,4.1.49,active,"""yavana""",literal,yavana,yavanAnI,1
e5ce2d53cc2227513201,kashika_4_1.rs,sutra_4_1_49,389,4.1.49,active,"""mAtula""",literal,mAtula,mAtulAnI,1
b0aaac2c6edf1fc062e9,kashika_4_1.rs,sutra_4_1_62,394,4.1.62,active,"""saKi""",literal,saKi,saKI,1
d14df839c11fedc59218,kashika_4_1.rs,sutra_4_1_62,395,4.1.62,active,"""aSiSu""",literal,aSiSu,aSiSvI,1
fecfd01d024a3b9eb9b2,kashika_4_1.rs,sutra_4_1_68,400,4.1.68,active,"""paNgu""",literal,paNgu,paNgUH,1
a5f823d300e726c9825a,kashika_4_1.rs,sutra_4_1_68_v1,405,4.1.68,active,"""SvaSura""",literal,SvaSura,SvaSrUH,1
