operation_id,sanadi,relation,rule_refs,base_count_key,base_meaning_slp1,base_meaning_display,base_source_codes,base_citations_slp1,output_forms_slp1,semantic_eligibility_status,count_status,output_variant_count
causative,Ric,cause the base action or state,3.1.26,"[""01.0011"", ""meaning-388ca6564d81""]",stutO,स्तुतौ (stutau),01.0011,vadi~\,vandi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0011"", ""meaning-bde5bb7a4809""]",aBivAdane,अभिवादने (abhivādane),01.0011,vadi~\,vandi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0012"", ""meaning-361d9b94e80f""]",suKe,सुखे (sukhe),01.0012,Badi~\,Bandi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0012"", ""meaning-de3bcfd0d1d0""]",kalyARe,कल्याणे (kalyāṇe),01.0012,Badi~\,Bandi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0013"", ""meaning-388ca6564d81""]",stutO,स्तुतौ (stutau),01.0013,madi~\,mandi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0013"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0013,madi~\,mandi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0013"", ""meaning-7ba414f5e3c0""]",kAntO,कान्तौ (kāntau),01.0013,madi~\,mandi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0013"", ""meaning-a4fa07c9086e""]",svapne,स्वप्ने (svapne),01.0013,madi~\,mandi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0013"", ""meaning-e642b12901a6""]",mode,मोदे (mode),01.0013,madi~\,mandi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0013"", ""meaning-ea0890697a77""]",made,मदे (made),01.0013,madi~\,mandi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0014"", ""meaning-84fe2d02b5f1""]",kiYciccalane,किञ्चिच्चलने (kiñciccalane),01.0014,spadi~\,spandi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0015"", ""meaning-c3ab493c096b""]",paridevane,परिदेवने (paridevane),01.0015,klidi~\,klindi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0016"", ""meaning-a6f808d0cf60""]",harze,हर्षे (harṣe),01.0016,muda~\,modi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0017"", ""meaning-a71280a34aa6""]",dAne,दाने (dāne),01.0017,dada~\,dAdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0018"", ""meaning-c1e1d650336a""]",AsvAdane,आस्वादने (āsvādane),01.0018,zvada~\,svAdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0019"", ""meaning-c1e1d650336a""]",AsvAdane,आस्वादने (āsvādane),01.0019,svarda~\,svardi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0020"", ""meaning-1dbf3e09c297""]",krIqAyAM,क्रीडायां (krīḍāyāṃ),01.0020,urda~\,Urdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0020"", ""meaning-8b8700ed2466""]",mAne,माने (māne),01.0020,urda~\,Urdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0020"", ""meaning-c1e1d650336a""]",AsvAdane,आस्वादने (āsvādane),01.0020,urda~\,Urdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0021"", ""meaning-c2219ce22ddf""]",krIqAyAm eva,क्रीडायाम् एव (krīḍāyām eva),01.0021,kurda~\,kUrdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0022"", ""meaning-c2219ce22ddf""]",krIqAyAm eva,क्रीडायाम् एव (krīḍāyām eva),01.0022,Kurda~\,KUrdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0023"", ""meaning-c2219ce22ddf""]",krIqAyAm eva,क्रीडायाम् एव (krīḍāyām eva),01.0023,gurda~\,gUrdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0024"", ""meaning-c2219ce22ddf""]",krIqAyAm eva,क्रीडायाम् एव (krīḍāyām eva),01.0024,guda~\,godi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0025"", ""meaning-dd1adc78b9c7""]",kzaraRe,क्षरणे (kṣaraṇe),01.0025,zUda~\,sUdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0026"", ""meaning-f7e0033b3f96""]",avyakte Sabde,अव्यक्ते शब्दे (avyakte śabde),01.0026,hrAda~\,hrAdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0027"", ""meaning-361d9b94e80f""]",suKe,सुखे (sukhe),01.0027,hlAdI~\,hlAdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0027"", ""meaning-f7e0033b3f96""]",avyakte Sabde,अव्यक्ते शब्दे (avyakte śabde),01.0027,hlAdI~\,hlAdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0028"", ""meaning-c1e1d650336a""]",AsvAdane,आस्वादने (āsvādane),01.0028,svAda~\,svAdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0029"", ""meaning-aefdf1577154""]",kutsite Sabde,कुत्सिते शब्दे (kutsite śabde),01.0029,parda~\,pardi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0030"", ""meaning-52a2ffd5acb5""]",prayatne,प्रयत्ने (prayatne),01.0030,yatI~\,yAti,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0031"", ""meaning-730f7e4e2ef8""]",BAsane,भासने (bhāsane),01.0031,yutf~\,yoti,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0032"", ""meaning-730f7e4e2ef8""]",BAsane,भासने (bhāsane),01.0032,jutf~\,joti,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0033"", ""meaning-3a332ba259da""]",yAcane,याचने (yācane),01.0033,viTf~\,veTi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0034"", ""meaning-3a332ba259da""]",yAcane,याचने (yācane),01.0034,veTf~\,veTi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0035"", ""meaning-148cd30ab525""]",SETilye,शैथिल्ये (śaithilye),01.0035,SraTi~\,SranTi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0036"", ""meaning-2fb8a980f690""]",kOwilye,कौटिल्ये (kauṭilye),01.0036,graTi~\,granTi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0037"", ""meaning-b00073dcdeb8""]",SlAGAyAm,श्लाघायाम् (ślāghāyām),01.0037,katTa~\,katTi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0038"", ""meaning-eab2190db789""]",sAtatyagamane,सातत्यगमने (sātatyagamane),01.0038,ata~,Ati,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0039"", ""meaning-2d1bec3ff990""]",saMjYAne,संज्ञाने (saṃjñāne),01.0039,citI~,ceti,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0040"", ""meaning-017dbd0718cb""]",Asecane,आसेचने (āsecane),01.0040,cyuti~r,cyoti,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0041"", ""meaning-017dbd0718cb""]",Asecane,आसेचने (āsecane),01.0041,Scuti~r,Scoti,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0042"", ""meaning-dd1adc78b9c7""]",kzaraRe,क्षरणे (kṣaraṇe),01.0042,Scyuti~r,Scyoti,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0043"", ""meaning-730f7e4e2ef8""]",BAsane,भासने (bhāsane),01.0043,jyutf~,jyoti,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0044"", ""meaning-3bf7963ee53c""]",hiMsAyAm,हिंसायाम् (hiṃsāyām),01.0044,maTi~,manTi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0044"", ""meaning-8f27214ec2fb""]",saNkleSane,सङ्क्लेशने (saṅkleśane),01.0044,maTi~,manTi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0045"", ""meaning-3bf7963ee53c""]",hiMsAyAm,हिंसायाम् (hiṃsāyām),01.0045,kuTi~,kunTi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0045"", ""meaning-8f27214ec2fb""]",saNkleSane,सङ्क्लेशने (saṅkleśane),01.0045,kuTi~,kunTi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0046"", ""meaning-3bf7963ee53c""]",hiMsAyAm,हिंसायाम् (hiṃsāyām),01.0046,puTi~,punTi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0046"", ""meaning-8f27214ec2fb""]",saNkleSane,सङ्क्लेशने (saṅkleśane),01.0046,puTi~,punTi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0047"", ""meaning-3bf7963ee53c""]",hiMsAyAm,हिंसायाम् (hiṃsāyām),01.0047,luTi~,lunTi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0047"", ""meaning-8f27214ec2fb""]",saNkleSane,सङ्क्लेशने (saṅkleśane),01.0047,luTi~,lunTi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0048"", ""meaning-a1e0dd32df21""]",viloqane,विलोडने (viloḍane),01.0048;09.0047,manTa~,manTi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0049"", ""meaning-bebe0cdf773e""]",gatyAm,गत्याम् (gatyām),01.0049,ziDa~,seDi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0050"", ""meaning-0ceeb40a9d4c""]",mANgalye,माङ्गल्ये (māṅgalye),01.0050,ziDU~,seDi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0050"", ""meaning-ab43f9896adb""]",SAsane,शासने (śāsane),01.0050,ziDU~,seDi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0051"", ""meaning-943364736a74""]",BakzaRe,भक्षणे (bhakṣaṇe),01.0051,KAdf~,KAdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0052"", ""meaning-072196f5eb9a""]",sTErye,स्थैर्ये (sthairye),01.0052,Kada~,KAdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0052"", ""meaning-71acb423bc7c""]",hiMsAyAM,हिंसायां (hiṃsāyāṃ),01.0052,Kada~,KAdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0052"", ""meaning-943364736a74""]",BakzaRe,भक्षणे (bhakṣaṇe),01.0052,Kada~,KAdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0053"", ""meaning-072196f5eb9a""]",sTErye,स्थैर्ये (sthairye),01.0053,bada~,bAdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0054"", ""meaning-24b37b2743da""]",vyaktAyAM vAci,व्यक्तायां वाचि (vyaktāyāṃ vāci),01.0054,gada~,gAdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0055"", ""meaning-84532f9a4e11""]",vileKane,विलेखने (vilekhane),01.0055,rada~,rAdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0056"", ""meaning-f7e0033b3f96""]",avyakte Sabde,अव्यक्ते शब्दे (avyakte śabde),01.0056,Rada~,nAdi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0057"", ""meaning-3a332ba259da""]",yAcane,याचने (yācane),01.0057,arda~,ardi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0057"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0057,arda~,ardi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0058"", ""meaning-2dcb1894fd9b""]",Sabde,शब्दे (śabde),01.0058,narda~,nardi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0059"", ""meaning-2dcb1894fd9b""]",Sabde,शब्दे (śabde),01.0059;10.0178,garda~,gardi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0060"", ""meaning-3bf7963ee53c""]",hiMsAyAm,हिंसायाम् (hiṃsāyām),01.0060,tarda~,tardi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0061"", ""meaning-aefdf1577154""]",kutsite Sabde,कुत्सिते शब्दे (kutsite śabde),01.0061,karda~,kardi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0062"", ""meaning-d9c9036fec59""]",dandaSUka-kriyAyAm,दन्दशूक-क्रियायाम् (dandaśūka-kriyāyām),01.0062,Karda~,Kardi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0063"", ""meaning-8c20facfc0ac""]",banDane,बन्धने (bandhane),01.0063,ati~,anti,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0064"", ""meaning-8c20facfc0ac""]",banDane,बन्धने (bandhane),01.0064,adi~,andi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0065"", ""meaning-b058a55ed986""]",paramESvarye,परमैश्वर्ये (paramaiśvarye),01.0065,idi~,indi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0066"", ""meaning-6d398acb4c17""]",avayave,अवयवे (avayave),01.0066,bidi~,bindi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0067"", ""meaning-6d398acb4c17""]",avayave,अवयवे (avayave),01.0067,Bidi~,Bindi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0068"", ""meaning-d495bef2be84""]",vadanEkadeSe,वदनैकदेशे (vadanaikadeśe),01.0068;01.0419,gaqi~,gaRqi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0069"", ""meaning-8a0e4dd1754b""]",kutsAyAm,कुत्सायाम् (kutsāyām),01.0069,Ridi~,nindi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0070"", ""meaning-ceb533664f8f""]",samfdDO,समृद्धौ (samṛddhau),01.0070,wunadi~,nandi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0071"", ""meaning-7345560b9c17""]",dIptO,दीप्तौ (dīptau),01.0071,cadi~,candi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0071"", ""meaning-c355cafdeeb2""]",AhlAde,आह्लादे (āhlāde),01.0071,cadi~,candi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0072"", ""meaning-b7d536d607be""]",cezwAyAm,चेष्टायाम् (ceṣṭāyām),01.0072,tradi~,trandi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0073"", ""meaning-2c105e011cf3""]",rodane,रोदने (rodane),01.0073,kadi~,kandi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0073"", ""meaning-4057123862d9""]",AhvAne,आह्वाने (āhvāne),01.0073,kadi~,kandi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0074"", ""meaning-2c105e011cf3""]",rodane,रोदने (rodane),01.0074,kradi~,krandi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0074"", ""meaning-4057123862d9""]",AhvAne,आह्वाने (āhvāne),01.0074,kradi~,krandi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0075"", ""meaning-2c105e011cf3""]",rodane,रोदने (rodane),01.0075,kladi~,klandi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0075"", ""meaning-4057123862d9""]",AhvAne,आह्वाने (āhvāne),01.0075,kladi~,klandi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0076"", ""meaning-c3ab493c096b""]",paridevane,परिदेवने (paridevane),01.0076,klidi~,klindi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0077"", ""meaning-182e7822b614""]",SudDO,शुद्धौ (śuddhau),01.0077,SunDa~,SunDi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0078"", ""meaning-5b3b4eb5a8ec""]",secane,सेचने (secane),01.0078,SIkf~\,SIki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0079"", ""meaning-5b3b4eb5a8ec""]",secane,सेचने (secane),01.0079,sIkf~\,sIki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0080"", ""meaning-5042ee4bdbe7""]",darSane,दर्शने (darśane),01.0080,lokf~\,loki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0081"", ""meaning-1685c224b9c2""]",saNGAte,सङ्घाते (saṅghāte),01.0081,Slokf~\,Sloki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0082"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0082,Srekf~\,Sreki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0083"", ""meaning-2dcb1894fd9b""]",Sabde,शब्दे (śabde),01.0083,drekf~\,dreki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0083"", ""meaning-97eb48abf688""]",utsAhe,उत्साहे (utsāhe),01.0083,drekf~\,dreki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0084"", ""meaning-2dcb1894fd9b""]",Sabde,शब्दे (śabde),01.0084,Drekf~\,Dreki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0084"", ""meaning-97eb48abf688""]",utsAhe,उत्साहे (utsāhe),01.0084,Drekf~\,Dreki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0085"", ""meaning-97172d4d19e3""]",SaNkAyAm,शङ्कायाम् (śaṅkāyām),01.0085,rekf~\,reki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0086"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0086,sekf~\,seki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0087"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0087,srekf~\,sreki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0088"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0088,sraki~\,sraNki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0089"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0089,Sraki~\,SraNki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0090"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0090,Slaki~\,SlaNki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0091"", ""meaning-97172d4d19e3""]",SaNkAyAm,शङ्कायाम् (śaṅkāyām),01.0091,Saki~\,SaNki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0092"", ""meaning-975c9f9c5b51""]",lakzaRe,लक्षणे (lakṣaṇe),01.0092,aki~\,aNki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0093"", ""meaning-2fb8a980f690""]",kOwilye,कौटिल्ये (kauṭilye),01.0093,vaki~\,vaNki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0094"", ""meaning-4177c2fd2487""]",maRqane,मण्डने (maṇḍane),01.0094,maki~\,maNki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0095"", ""meaning-a92dec98a20a""]",lOlye,लौल्ये (laulye),01.0095,kaka~\,kAki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0096"", ""meaning-57eea3ba0513""]",AdAne,आदाने (ādāne),01.0096,kuka~\,koki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0097"", ""meaning-57eea3ba0513""]",AdAne,आदाने (ādāne),01.0097,vfka~\,varki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0098"", ""meaning-0b365e96ebe7""]",pratIGAte,प्रतीघाते (pratīghāte),01.0098,caka~\,cAki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0098"", ""meaning-f8fe29ea6417""]",tfptO,तृप्तौ (tṛptau),01.0098,caka~\,cAki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0099"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0099,kaki~\,kaNki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0100"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0100,vaki~\,vaNki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0101"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0101,Svaki~\,SvaNki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0102"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0102,traki~\,traNki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0103"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0103,QOkf~\,QOki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0104"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0104,trOkf~\,trOki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0105"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0105,zvazka~\,zvazki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0106"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0106,vaska~\,vaski,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0107"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0107,maska~\,maski,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0108"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0108,wikf~\,weki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0109"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0109,wIkf~\,wIki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0110"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0110,tikf~\,teki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0111"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0111,tIkf~\,tIki,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0112"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0112,raGi~\,raNGi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0113"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),01.0113,laGi~\,laNGi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0113"", ""meaning-f21451e44063""]",BojananivfttO,भोजननिवृत्तौ (bhojananivṛttau),01.0113,laGi~\,laNGi,pending,not_admitted,1
