source_code,meaning_id,provisional_word_id,gana,citation_slp1,meaning_slp1,meaning_display,status,source_gloss_slp1,source_line,source_url,meaning_evidence,cross_reference_evidence,entry_completeness,count_key,identity_batch_review_id,normalized_citation_slp1,normalized_meaning_slp1,normalized_count_key,record_kind,reconciliation_id
01.0006,meaning-ade77b0908ab,01.0006,1,nADf~\,ESvarye,ऐश्वर्ये (aiśvarye),source_assignment_pending_lexical_review,yAcYopatApESvaryASIzzu,7,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0006"", ""meaning-ade77b0908ab""]",,nADf~\,ESvarye,"[""01.0006"", ""meaning-ade77b0908ab""]",lexical,
01.0006,meaning-c458ec648d94,01.0006,1,nADf~\,ASizi,आशिषि (āśiṣi),source_assignment_pending_lexical_review,yAcYopatApESvaryASIzzu,7,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0006"", ""meaning-c458ec648d94""]",,nADf~\,ASizi,"[""01.0006"", ""meaning-c458ec648d94""]",lexical,
01.0007,meaning-8db8a7c441d3,01.0007,1,nATf~\,yAcYAyAm,याच्ञायाम् (yācñāyām),source_assignment_pending_lexical_review,yAcYopatApESvaryASIzzu,8,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0007"", ""meaning-8db8a7c441d3""]",,nATf~\,yAcYAyAm,"[""01.0007"", ""meaning-8db8a7c441d3""]",lexical,
01.0007,meaning-c255753f9f9e,01.0007,1,nATf~\,upatApe,उपतापे (upatāpe),source_assignment_pending_lexical_review,yAcYopatApESvaryASIzzu,8,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0007"", ""meaning-c255753f9f9e""]",,nATf~\,upatApe,"[""01.0007"", ""meaning-c255753f9f9e""]",lexical,
01.0007,meaning-ade77b0908ab,01.0007,1,nATf~\,ESvarye,ऐश्वर्ये (aiśvarye),source_assignment_pending_lexical_review,yAcYopatApESvaryASIzzu,8,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0007"", ""meaning-ade77b0908ab""]",,nATf~\,ESvarye,"[""01.0007"", ""meaning-ade77b0908ab""]",lexical,
01.0007,meaning-c458ec648d94,01.0007,1,nATf~\,ASizi,आशिषि (āśiṣi),source_assignment_pending_lexical_review,yAcYopatApESvaryASIzzu,8,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0007"", ""meaning-c458ec648d94""]",,nATf~\,ASizi,"[""01.0007"", ""meaning-c458ec648d94""]",lexical,
01.0008,meaning-bb23f8c5982d,01.0008,1,daDa~\,DAraRe,धारणे (dhāraṇe),source_assignment_pending_lexical_review,DAraRe,9,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0008"", ""meaning-bb23f8c5982d""]",,daDa~\,DAraRe,"[""01.0008"", ""meaning-bb23f8c5982d""]",lexical,
01.0009,meaning-00323a78b7df,01.0009,1,skudi~\,ApravaRe,आप्रवणे (āpravaṇe),source_assignment_pending_lexical_review,ApravaRe,10,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0009"", ""meaning-00323a78b7df""]",,skudi~\,ApravaRe,"[""01.0009"", ""meaning-00323a78b7df""]",lexical,
01.0010,meaning-7d5e46e1b41d,01.0010,1,Svidi~\,SvEtye,श्वैत्ये (śvaitye),source_assignment_pending_lexical_review,SvEtye,11,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0010"", ""meaning-7d5e46e1b41d""]",,Svidi~\,SvEtye,"[""01.0010"", ""meaning-7d5e46e1b41d""]",lexical,
01.0011,meaning-bde5bb7a4809,01.0011,1,vadi~\,aBivAdane,अभिवादने (abhivādane),source_assignment_pending_lexical_review,aBivAdanastutyoH,12,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0011"", ""meaning-bde5bb7a4809""]",,vadi~\,aBivAdane,"[""01.0011"", ""meaning-bde5bb7a4809""]",lexical,
01.0011,meaning-388ca6564d81,01.0011,1,vadi~\,stutO,स्तुतौ (stutau),source_assignment_pending_lexical_review,aBivAdanastutyoH,12,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0011"", ""meaning-388ca6564d81""]",,vadi~\,stutO,"[""01.0011"", ""meaning-388ca6564d81""]",lexical,
01.0012,meaning-de3bcfd0d1d0,01.0012,1,Badi~\,kalyARe,कल्याणे (kalyāṇe),source_assignment_pending_lexical_review,kalyARe suKe ca,13,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0012"", ""meaning-de3bcfd0d1d0""]",,Badi~\,kalyARe,"[""01.0012"", ""meaning-de3bcfd0d1d0""]",lexical,
01.0012,meaning-361d9b94e80f,01.0012,1,Badi~\,suKe,सुखे (sukhe),source_assignment_pending_lexical_review,kalyARe suKe ca,13,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0012"", ""meaning-361d9b94e80f""]",,Badi~\,suKe,"[""01.0012"", ""meaning-361d9b94e80f""]",lexical,
01.0013,meaning-388ca6564d81,01.0013,1,madi~\,stutO,स्तुतौ (stutau),source_assignment_pending_lexical_review,stutimodamadasvapnakAntigatizu,14,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0013"", ""meaning-388ca6564d81""]",,madi~\,stutO,"[""01.0013"", ""meaning-388ca6564d81""]",lexical,
01.0013,meaning-e642b12901a6,01.0013,1,madi~\,mode,मोदे (mode),source_assignment_pending_lexical_review,stutimodamadasvapnakAntigatizu,14,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0013"", ""meaning-e642b12901a6""]",,madi~\,mode,"[""01.0013"", ""meaning-e642b12901a6""]",lexical,
01.0013,meaning-ea0890697a77,01.0013,1,madi~\,made,मदे (made),source_assignment_pending_lexical_review,stutimodamadasvapnakAntigatizu,14,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0013"", ""meaning-ea0890697a77""]",,madi~\,made,"[""01.0013"", ""meaning-ea0890697a77""]",lexical,
01.0013,meaning-a4fa07c9086e,01.0013,1,madi~\,svapne,स्वप्ने (svapne),source_assignment_pending_lexical_review,stutimodamadasvapnakAntigatizu,14,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0013"", ""meaning-a4fa07c9086e""]",,madi~\,svapne,"[""01.0013"", ""meaning-a4fa07c9086e""]",lexical,
01.0013,meaning-7ba414f5e3c0,01.0013,1,madi~\,kAntO,कान्तौ (kāntau),source_assignment_pending_lexical_review,stutimodamadasvapnakAntigatizu,14,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0013"", ""meaning-7ba414f5e3c0""]",,madi~\,kAntO,"[""01.0013"", ""meaning-7ba414f5e3c0""]",lexical,
01.0013,meaning-5fa3d59b62c4,01.0013,1,madi~\,gatO,गतौ (gatau),source_assignment_pending_lexical_review,stutimodamadasvapnakAntigatizu,14,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0013"", ""meaning-5fa3d59b62c4""]",,madi~\,gatO,"[""01.0013"", ""meaning-5fa3d59b62c4""]",lexical,
01.0014,meaning-84fe2d02b5f1,01.0014,1,spadi~\,kiYciccalane,किञ्चिच्चलने (kiñciccalane),source_assignment_pending_lexical_review,kiYciccalane,15,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0014"", ""meaning-84fe2d02b5f1""]",,spadi~\,kiYciccalane,"[""01.0014"", ""meaning-84fe2d02b5f1""]",lexical,
01.0015,meaning-c3ab493c096b,01.0015,1,klidi~\,paridevane,परिदेवने (paridevane),source_assignment_pending_lexical_review,paridevane,16,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0015"", ""meaning-c3ab493c096b""]",,klidi~\,paridevane,"[""01.0015"", ""meaning-c3ab493c096b""]",lexical,
01.0016,meaning-a6f808d0cf60,01.0016,1,muda~\,harze,हर्षे (harṣe),source_assignment_pending_lexical_review,harze,17,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0016"", ""meaning-a6f808d0cf60""]",,muda~\,harze,"[""01.0016"", ""meaning-a6f808d0cf60""]",lexical,
01.0017,meaning-a71280a34aa6,01.0017,1,dada~\,dAne,दाने (dāne),source_assignment_pending_lexical_review,dAne,18,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0017"", ""meaning-a71280a34aa6""]",,dada~\,dAne,"[""01.0017"", ""meaning-a71280a34aa6""]",lexical,
01.0018,meaning-c1e1d650336a,01.0018,1,zvada~\,AsvAdane,आस्वादने (āsvādane),source_assignment_pending_lexical_review,AsvAdane,19,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0018"", ""meaning-c1e1d650336a""]",,zvada~\,AsvAdane,"[""01.0018"", ""meaning-c1e1d650336a""]",lexical,
01.0019,meaning-c1e1d650336a,01.0019,1,svarda~\,AsvAdane,आस्वादने (āsvādane),source_assignment_pending_lexical_review,AsvAdane,20,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0019"", ""meaning-c1e1d650336a""]",,svarda~\,AsvAdane,"[""01.0019"", ""meaning-c1e1d650336a""]",lexical,
01.0020,meaning-8b8700ed2466,01.0020,1,urda~\,mAne,माने (māne),source_assignment_pending_lexical_review,mAne krIqAyAM AsvAdane ca,21,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0020"", ""meaning-8b8700ed2466""]",,urda~\,mAne,"[""01.0020"", ""meaning-8b8700ed2466""]",lexical,
01.0020,meaning-1dbf3e09c297,01.0020,1,urda~\,krIqAyAM,क्रीडायां (krīḍāyāṃ),source_assignment_pending_lexical_review,mAne krIqAyAM AsvAdane ca,21,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0020"", ""meaning-1dbf3e09c297""]",,urda~\,krIqAyAM,"[""01.0020"", ""meaning-1dbf3e09c297""]",lexical,
01.0020,meaning-c1e1d650336a,01.0020,1,urda~\,AsvAdane,आस्वादने (āsvādane),source_assignment_pending_lexical_review,mAne krIqAyAM AsvAdane ca,21,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0020"", ""meaning-c1e1d650336a""]",,urda~\,AsvAdane,"[""01.0020"", ""meaning-c1e1d650336a""]",lexical,
01.0021,meaning-c2219ce22ddf,01.0021,1,kurda~\,krIqAyAm eva,क्रीडायाम् एव (krīḍāyām eva),source_assignment_pending_lexical_review,krIqAyAm eva,22,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0021"", ""meaning-c2219ce22ddf""]",,kurda~\,krIqAyAm eva,"[""01.0021"", ""meaning-c2219ce22ddf""]",lexical,
01.0022,meaning-c2219ce22ddf,01.0022,1,Kurda~\,krIqAyAm eva,क्रीडायाम् एव (krīḍāyām eva),source_assignment_pending_lexical_review,krIqAyAm eva,23,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0022"", ""meaning-c2219ce22ddf""]",,Kurda~\,krIqAyAm eva,"[""01.0022"", ""meaning-c2219ce22ddf""]",lexical,
01.0023,meaning-c2219ce22ddf,01.0023,1,gurda~\,krIqAyAm eva,क्रीडायाम् एव (krīḍāyām eva),source_assignment_pending_lexical_review,krIqAyAm eva,24,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0023"", ""meaning-c2219ce22ddf""]",,gurda~\,krIqAyAm eva,"[""01.0023"", ""meaning-c2219ce22ddf""]",lexical,
01.0024,meaning-c2219ce22ddf,01.0024,1,guda~\,krIqAyAm eva,क्रीडायाम् एव (krīḍāyām eva),source_assignment_pending_lexical_review,krIqAyAm eva,25,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0024"", ""meaning-c2219ce22ddf""]",,guda~\,krIqAyAm eva,"[""01.0024"", ""meaning-c2219ce22ddf""]",lexical,
01.0025,meaning-dd1adc78b9c7,01.0025,1,zUda~\,kzaraRe,क्षरणे (kṣaraṇe),source_assignment_pending_lexical_review,kzaraRe,26,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0025"", ""meaning-dd1adc78b9c7""]",,zUda~\,kzaraRe,"[""01.0025"", ""meaning-dd1adc78b9c7""]",lexical,
01.0026,meaning-f7e0033b3f96,01.0026,1,hrAda~\,avyakte Sabde,अव्यक्ते शब्दे (avyakte śabde),source_assignment_pending_lexical_review,avyakte Sabde,27,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0026"", ""meaning-f7e0033b3f96""]",,hrAda~\,avyakte Sabde,"[""01.0026"", ""meaning-f7e0033b3f96""]",lexical,
01.0027,meaning-f7e0033b3f96,01.0027,1,hlAdI~\,avyakte Sabde,अव्यक्ते शब्दे (avyakte śabde),source_assignment_pending_lexical_review,avyakte Sabde suKe ca,28,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0027"", ""meaning-f7e0033b3f96""]",,hlAdI~\,avyakte Sabde,"[""01.0027"", ""meaning-f7e0033b3f96""]",lexical,
01.0027,meaning-361d9b94e80f,01.0027,1,hlAdI~\,suKe,सुखे (sukhe),source_assignment_pending_lexical_review,avyakte Sabde suKe ca,28,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0027"", ""meaning-361d9b94e80f""]",,hlAdI~\,suKe,"[""01.0027"", ""meaning-361d9b94e80f""]",lexical,
01.0028,meaning-c1e1d650336a,01.0028,1,svAda~\,AsvAdane,आस्वादने (āsvādane),source_assignment_pending_lexical_review,AsvAdane,29,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0028"", ""meaning-c1e1d650336a""]",,svAda~\,AsvAdane,"[""01.0028"", ""meaning-c1e1d650336a""]",lexical,
01.0029,meaning-aefdf1577154,01.0029,1,parda~\,kutsite Sabde,कुत्सिते शब्दे (kutsite śabde),source_assignment_pending_lexical_review,kutsite Sabde,30,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0029"", ""meaning-aefdf1577154""]",,parda~\,kutsite Sabde,"[""01.0029"", ""meaning-aefdf1577154""]",lexical,
01.0030,meaning-52a2ffd5acb5,01.0030,1,yatI~\,prayatne,प्रयत्ने (prayatne),source_assignment_pending_lexical_review,prayatne,31,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0030"", ""meaning-52a2ffd5acb5""]",,yatI~\,prayatne,"[""01.0030"", ""meaning-52a2ffd5acb5""]",lexical,
01.0031,meaning-730f7e4e2ef8,01.0031,1,yutf~\,BAsane,भासने (bhāsane),source_assignment_pending_lexical_review,BAsane,32,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0031"", ""meaning-730f7e4e2ef8""]",,yutf~\,BAsane,"[""01.0031"", ""meaning-730f7e4e2ef8""]",lexical,
01.0032,meaning-730f7e4e2ef8,01.0032,1,jutf~\,BAsane,भासने (bhāsane),source_assignment_pending_lexical_review,BAsane,33,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0032"", ""meaning-730f7e4e2ef8""]",,jutf~\,BAsane,"[""01.0032"", ""meaning-730f7e4e2ef8""]",lexical,
01.0033,meaning-3a332ba259da,01.0033,1,viTf~\,yAcane,याचने (yācane),source_assignment_pending_lexical_review,yAcane,34,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0033"", ""meaning-3a332ba259da""]",,viTf~\,yAcane,"[""01.0033"", ""meaning-3a332ba259da""]",lexical,
01.0034,meaning-3a332ba259da,01.0034,1,veTf~\,yAcane,याचने (yācane),source_assignment_pending_lexical_review,yAcane,35,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0034"", ""meaning-3a332ba259da""]",,veTf~\,yAcane,"[""01.0034"", ""meaning-3a332ba259da""]",lexical,
01.0035,meaning-148cd30ab525,01.0035,1,SraTi~\,SETilye,शैथिल्ये (śaithilye),source_assignment_pending_lexical_review,SETilye,36,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0035"", ""meaning-148cd30ab525""]",,SraTi~\,SETilye,"[""01.0035"", ""meaning-148cd30ab525""]",lexical,
01.0036,meaning-2fb8a980f690,01.0036,1,graTi~\,kOwilye,कौटिल्ये (kauṭilye),source_assignment_pending_lexical_review,kOwilye,37,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0036"", ""meaning-2fb8a980f690""]",,graTi~\,kOwilye,"[""01.0036"", ""meaning-2fb8a980f690""]",lexical,
01.0037,meaning-b00073dcdeb8,01.0037,1,katTa~\,SlAGAyAm,श्लाघायाम् (ślāghāyām),source_assignment_pending_lexical_review,SlAGAyAm,38,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0037"", ""meaning-b00073dcdeb8""]",,katTa~\,SlAGAyAm,"[""01.0037"", ""meaning-b00073dcdeb8""]",lexical,
01.0038,meaning-eab2190db789,01.0038,1,ata~,sAtatyagamane,सातत्यगमने (sātatyagamane),source_assignment_pending_lexical_review,sAtatyagamane,39,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0038"", ""meaning-eab2190db789""]",,ata~,sAtatyagamane,"[""01.0038"", ""meaning-eab2190db789""]",lexical,
