source_code,normalized_citation_slp1,base_count_key,base_meaning_slp1,base_meaning_display,matched_screen,matched_token,engine_rule_path,output_forms_slp1,semantic_status
01.0145,raKi~,"[""01.0145"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,rAraNKya,review_required_not_counted
01.0146,laKa~,"[""01.0146"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,lAlaKya,review_required_not_counted
01.0147,laKi~,"[""01.0147"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,lAlaNKya,review_required_not_counted
01.0152,valga~,"[""01.0152"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,vAvalgya,review_required_not_counted
01.0153,ragi~,"[""01.0153"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,rAraNgya,review_required_not_counted
01.0154,lagi~,"[""01.0154"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,lAlaNgya,review_required_not_counted
01.0156,vagi~,"[""01.0156"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,vAvaNgya,review_required_not_counted
01.0157,magi~,"[""01.0157"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,mAmaNgya,review_required_not_counted
01.0158,tagi~,"[""01.0158"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,tAtaNgya,review_required_not_counted
01.0159,tvagi~,"[""01.0159"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,tAtvaNgya,review_required_not_counted
01.0160,Svelf~,"[""01.0160"", ""meaning-ded5b8f0e366""]",calane,चलने (calane),movement,calan,3.1.22,SeSvelya,review_required_not_counted
01.0161,Sragi~,"[""01.0161"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,SASraNgya,review_required_not_counted
01.0162,Slagi~,"[""01.0162"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,SASlaNgya,review_required_not_counted
01.0164,rigi~,"[""01.0164"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,reriNgya,review_required_not_counted
01.0165,ligi~,"[""01.0165"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,leliNgya,review_required_not_counted
01.0168,riKa~,"[""01.0168"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,reriKya,review_required_not_counted
01.0169,Garba~,"[""01.0169"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,jAGarbya,review_required_not_counted
01.0170,narba~,"[""01.0170"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,nAnarbya,review_required_not_counted
01.0171,Barba~,"[""01.0171"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,bABarbya,review_required_not_counted
01.0172,traKa~,"[""01.0172"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,tAtraKya,review_required_not_counted
01.0173,triKi~,"[""01.0173"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,tetriNKya,review_required_not_counted
01.0174,SiKi~,"[""01.0174"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,SeSiNKya,review_required_not_counted
01.0181,varba~,"[""01.0181"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,vAvarbya,review_required_not_counted
01.0182,baBra~,"[""01.0182"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,bAbaBrya,review_required_not_counted
01.0190,Svaca~\,"[""01.0190"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,SASvacya,review_required_not_counted
01.0191,Svaci~\,"[""01.0191"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,SASvaYcya,review_required_not_counted
01.0212,kunca~,"[""01.0212"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,cokucya,review_required_not_counted
01.0213,krunca~,"[""01.0213"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,cokrucya,review_required_not_counted
01.0216,vancu~,"[""01.0216"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,vanIvacya,review_required_not_counted
01.0217,cancu~,"[""01.0217"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,cAcacya,review_required_not_counted
01.0218,tancu~,"[""01.0218"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,tAtacya,review_required_not_counted
01.0219,tvancu~,"[""01.0219"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,tAtvacya,review_required_not_counted
01.0220,mruncu~,"[""01.0220"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,momrucya,review_required_not_counted
01.0221,mluncu~,"[""01.0221"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,momlucya,review_required_not_counted
01.0222,mrucu~,"[""01.0222"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,momrucya,review_required_not_counted
01.0223,mlucu~,"[""01.0223"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,momlucya,review_required_not_counted
01.0228,gluncu~,"[""01.0228"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,joglucya,review_required_not_counted
01.0229,zasja~,"[""01.0229"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,sAsajjya,review_required_not_counted
01.0245,Draja~,"[""01.0245"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,dADrajya,review_required_not_counted
01.0246,Draji~,"[""01.0246"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,dADraYjya,review_required_not_counted
01.0248,rebf~,"[""01.0248"", ""meaning-189a48161e35""]",plavagatO,प्लवगतौ (plavagatau),gati,gatO,3.1.22,rerebya,review_required_not_counted
01.0249,Dfja~,"[""01.0249"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,darIDfjya,review_required_not_counted
01.0250,Dfji~,"[""01.0250"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,darIDfYjya,review_required_not_counted
01.0251,Dvaja~,"[""01.0251"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,dADvajya,review_required_not_counted
01.0252,Dvaji~,"[""01.0252"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,dADvaYjya,review_required_not_counted
01.0253,zalf~,"[""01.0253"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,sAsalya,review_required_not_counted
01.0266,Kaji~,"[""01.0266"", ""meaning-25445656c9dd""]",gativEkalye,गतिवैकल्ये (gativaikalye),gati,gati,3.1.22,cAKaYjya,review_required_not_counted
01.0285,vaja~,"[""01.0285"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,vAvajya,review_required_not_counted
01.0286,vraja~,"[""01.0286"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,vAvrajya,review_required_not_counted
01.0292,Gawwa~\,"[""01.0292"", ""meaning-ded5b8f0e366""]",calane,चलने (calane),movement,calan,3.1.22,jAGawwya,review_required_not_counted
01.0301,hiqi~\,"[""01.0301"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,jehiRqya,review_required_not_counted
01.0315,paqi~\,"[""01.0315"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,pApaRqya,review_required_not_counted
01.0332,awa~,"[""01.0332"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,varttika_3.1.22.1,awAwya,review_required_not_counted
01.0333,pawa~,"[""01.0333"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,pApawya,review_required_not_counted
01.0336,Sawa~,"[""01.0336"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,SASawya,review_required_not_counted
01.0358,kiwa~,"[""01.0358"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,cekiwya,review_required_not_counted
01.0359,kawI~,"[""01.0359"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,cAkawya,review_required_not_counted
01.0383,hOqf~,"[""01.0383"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,johOqya,review_required_not_counted
01.0395,SuWa~,"[""01.0395"", ""meaning-7d7bc1a9fd82""]",gatipratiGAte,गतिप्रतिघाते (gatipratighāte),gati,gati,3.1.22,SoSuWya,review_required_not_counted
01.0396,SUWa~,"[""01.0396"", ""meaning-7d7bc1a9fd82""]",gatipratiGAte,गतिप्रतिघाते (gatipratighāte),gati,gati,3.1.22,SoSUWya,review_required_not_counted
01.0400,ruWi~,"[""01.0400"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,roruRWya,review_required_not_counted
01.0401,luWi~,"[""01.0401"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,loluRWya,review_required_not_counted
01.0408,huqf~,"[""01.0408"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,johuqya,review_required_not_counted
01.0409,hUqf~,"[""01.0409"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,johUqya,review_required_not_counted
01.0410,hoqf~,"[""01.0410"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,johoqya,review_required_not_counted
01.0426,kepf~\,"[""01.0426"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,cekepya,review_required_not_counted
01.0427,gepf~\,"[""01.0427"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,jegepya,review_required_not_counted
01.0428,glepf~\,"[""01.0428"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,jeglepya,review_required_not_counted
01.0429,mepf~\,"[""01.0429"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,memepya,review_required_not_counted
01.0430,repf~\,"[""01.0430"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,rerepya,review_required_not_counted
01.0431,lepf~\,"[""01.0431"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,lelepya,review_required_not_counted
01.0432,hepf~\,"[""01.0432"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,jehepya,review_required_not_counted
01.0433,Depf~\,"[""01.0433"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,deDepya,review_required_not_counted
01.0435,kapi~\,"[""01.0435"", ""meaning-ded5b8f0e366""]",calane,चलने (calane),movement,calan,3.1.22,cAkampya,review_required_not_counted
01.0450,ziDu~,"[""01.0450"", ""meaning-bebe0cdf773e""]",gatyAm,गत्याम् (gatyām),gati,gaty,3.1.22,seziDya,review_required_not_counted
01.0469,cupa~,"[""01.0469"", ""meaning-f442011c74cd""]",mandAyAM gatO,मन्दायां गतौ (mandāyāṃ gatau),gati,gatO,3.1.22,cocupya,review_required_not_counted
01.0478,parpa~,"[""01.0478"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,pAparpya,review_required_not_counted
01.0479,raPa~,"[""01.0479"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,rAraPya,review_required_not_counted
01.0480,raPi~,"[""01.0480"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,rAramPya,review_required_not_counted
01.0482,parba~,"[""01.0482"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,pAparbya,review_required_not_counted
01.0483,larba~,"[""01.0483"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,lAlarbya,review_required_not_counted
01.0484,barba~,"[""01.0484"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,bAbarbya,review_required_not_counted
01.0485,marba~,"[""01.0485"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,mAmarbya,review_required_not_counted
01.0486,karba~,"[""01.0486"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,cAkarbya,review_required_not_counted
01.0487,Karba~,"[""01.0487"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,cAKarbya,review_required_not_counted
01.0488,garba~,"[""01.0488"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,jAgarbya,review_required_not_counted
01.0489,Sarba~,"[""01.0489"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,SASarbya,review_required_not_counted
01.0490,zarba~,"[""01.0490"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,sAsarbya,review_required_not_counted
01.0491,carba~,"[""01.0491"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,cAcarbya,review_required_not_counted
01.0524,SoRf~,"[""01.0524"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,SoSoRya,review_required_not_counted
01.0527,pERf~,"[""01.0527"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,pepERya,review_required_not_counted
01.0528,prERf~,"[""01.0528"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,peprERya,review_required_not_counted
01.0531,kanI~,"[""01.0531"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,caMkanya;caNkanya,review_required_not_counted
01.0537,drama~,"[""01.0537"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,daMdramya;dandramya,review_required_not_counted
01.0538,hamma~,"[""01.0538"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,jaMhammya,review_required_not_counted
01.0539,mImf~,"[""01.0539"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,memImya,review_required_not_counted
01.0547,vaya~\,"[""01.0547"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,vAvayya,review_required_not_counted
01.0548,paya~\,"[""01.0548"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,pApayya,review_required_not_counted
01.0549,maya~\,"[""01.0549"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,mAmayya,review_required_not_counted
01.0550,caya~\,"[""01.0550"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,cAcayya,review_required_not_counted
01.0551,taya~\,"[""01.0551"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,tAtayya,review_required_not_counted
01.0552,Raya~\,"[""01.0552"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,nAnayya,review_required_not_counted
01.0553,daya~\,"[""01.0553"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,dAdayya,review_required_not_counted
01.0554,raya~\,"[""01.0554"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,rArayya,review_required_not_counted
01.0555,yaya~\,"[""01.0555"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,yAyayya,review_required_not_counted
01.0563,Sala~\,"[""01.0563"", ""meaning-ded5b8f0e366""]",calane,चलने (calane),movement,calan,3.1.22,SASalya,review_required_not_counted
01.0564,vala~\,"[""01.0564"", ""meaning-3bcbdeefa197""]",saYcaraRe,सञ्चरणे (sañcaraṇe),movement,caraR,3.1.22,vAvalya,review_required_not_counted
01.0565,valla~\,"[""01.0565"", ""meaning-3bcbdeefa197""]",saYcaraRe,सञ्चरणे (sañcaraṇe),movement,caraR,3.1.22,vAvallya,review_required_not_counted
01.0570,kala~\,"[""01.0570"", ""meaning-40fb4852c7e6""]",saNKyAne,सङ्ख्याने (saṅkhyāne),going,yAn,3.1.22,cAkalya,review_required_not_counted
01.0584,revf~\,"[""01.0584"", ""meaning-189a48161e35""]",plavagatO,प्लवगतौ (plavagatau),gati,gatO,3.1.22,rerevya,review_required_not_counted
01.0589,haya~,"[""01.0589"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,jAhayya,review_required_not_counted
01.0592,harya~,"[""01.0592"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,jAharya;jAharyya,review_required_not_counted
01.0612,tila~,"[""01.0612"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,tetilya,review_required_not_counted
01.0613,tilla~,"[""01.0613"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,tetillya,review_required_not_counted
01.0614,velf~,"[""01.0614"", ""meaning-ded5b8f0e366""]",calane,चलने (calane),movement,calan,3.1.22,vevelya,review_required_not_counted
01.0615,celf~,"[""01.0615"", ""meaning-ded5b8f0e366""]",calane,चलने (calane),movement,calan,3.1.22,cecelya,review_required_not_counted
01.0616,kelf~,"[""01.0616"", ""meaning-ded5b8f0e366""]",calane,चलने (calane),movement,calan,3.1.22,cekelya,review_required_not_counted
01.0617,Kelf~,"[""01.0617"", ""meaning-ded5b8f0e366""]",calane,चलने (calane),movement,calan,3.1.22,ceKelya,review_required_not_counted
01.0618,kzvelf~,"[""01.0618"", ""meaning-ded5b8f0e366""]",calane,चलने (calane),movement,calan,3.1.22,cekzvelya,review_required_not_counted
01.0619,vella~,"[""01.0619"", ""meaning-ded5b8f0e366""]",calane,चलने (calane),movement,calan,3.1.22,vevellya,review_required_not_counted
01.0620,cella~,"[""01.0620"", ""meaning-ded5b8f0e366""]",calane,चलने (calane),movement,calan,3.1.22,cecellya,review_required_not_counted
01.0621,pelf~,"[""01.0621"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,pepelya,review_required_not_counted
01.0622,Pelf~,"[""01.0622"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,pePelya,review_required_not_counted
01.0623,Self~,"[""01.0623"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,SeSelya,review_required_not_counted
01.0624,zelf~,"[""01.0624"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,sezelya,review_required_not_counted
01.0625,sKala~,"[""01.0625"", ""meaning-5154b8069dc7""]",saYcalane,सञ्चलने (sañcalane),movement,calan,3.1.22,cAsKalya,review_required_not_counted
01.0626,Kala~,"[""01.0626"", ""meaning-ded5b8f0e366""]",calane,चलने (calane),movement,calan,3.1.22,cAKalya,review_required_not_counted
01.0628,zala~,"[""01.0628"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,sAsalya,review_required_not_counted
01.0630,Svala~,"[""01.0630"", ""meaning-bfbc9bd67140""]",ASugamane,आशुगमने (āśugamane),gati,gaman,3.1.22,SASvalya,review_required_not_counted
01.0631,Svalla~,"[""01.0631"", ""meaning-bfbc9bd67140""]",ASugamane,आशुगमने (āśugamane),gati,gaman,3.1.22,SASvallya,review_required_not_counted
01.0632,Kolf~,"[""01.0632"", ""meaning-7d7bc1a9fd82""]",gatipratiGAte,गतिप्रतिघाते (gatipratighāte),gati,gati,3.1.22,coKolya,review_required_not_counted
01.0633,Korf~,"[""01.0633"", ""meaning-7d7bc1a9fd82""]",gatipratiGAte,गतिप्रतिघाते (gatipratighāte),gati,gati,3.1.22,coKorya,review_required_not_counted
01.0634,Dorf~,"[""01.0634"", ""meaning-9cc4562b5d8f""]",gaticAturye,गतिचातुर्ये (gaticāturye),gati,gati,3.1.22,doDorya,review_required_not_counted
01.0635,tsara~,"[""01.0635"", ""meaning-c132c2d03f5e""]",CadmagatO,छद्मगतौ (chadmagatau),gati,gatO,3.1.22,tAtsarya,review_required_not_counted
