base_count_key,source_codes,citations_slp1,meanings_slp1,domain_status,domain_basis,evidence_files,domain_marker_hits
"[""01.0013"", ""meaning-ea0890697a77""]",01.0013,madi~\,made,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0014"", ""meaning-84fe2d02b5f1""]",01.0014,spadi~\,kiYciccalane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0015"", ""meaning-c3ab493c096b""]",01.0015,klidi~\,paridevane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0016"", ""meaning-a6f808d0cf60""]",01.0016,muda~\,harze,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0017"", ""meaning-a71280a34aa6""]",01.0017,dada~\,dAne,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0018"", ""meaning-c1e1d650336a""]",01.0018,zvada~\,AsvAdane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0019"", ""meaning-c1e1d650336a""]",01.0019,svarda~\,AsvAdane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0020"", ""meaning-1dbf3e09c297""]",01.0020,urda~\,krIqAyAM,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0020"", ""meaning-8b8700ed2466""]",01.0020,urda~\,mAne,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0020"", ""meaning-c1e1d650336a""]",01.0020,urda~\,AsvAdane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0021"", ""meaning-c2219ce22ddf""]",01.0021,kurda~\,krIqAyAm eva,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0022"", ""meaning-c2219ce22ddf""]",01.0022,Kurda~\,krIqAyAm eva,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0023"", ""meaning-c2219ce22ddf""]",01.0023,gurda~\,krIqAyAm eva,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0024"", ""meaning-c2219ce22ddf""]",01.0024,guda~\,krIqAyAm eva,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0025"", ""meaning-dd1adc78b9c7""]",01.0025,zUda~\,kzaraRe,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0026"", ""meaning-f7e0033b3f96""]",01.0026,hrAda~\,avyakte Sabde,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0027"", ""meaning-361d9b94e80f""]",01.0027,hlAdI~\,suKe,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0027"", ""meaning-f7e0033b3f96""]",01.0027,hlAdI~\,avyakte Sabde,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0028"", ""meaning-c1e1d650336a""]",01.0028,svAda~\,AsvAdane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0029"", ""meaning-aefdf1577154""]",01.0029,parda~\,kutsite Sabde,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0030"", ""meaning-52a2ffd5acb5""]",01.0030,yatI~\,prayatne,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0031"", ""meaning-730f7e4e2ef8""]",01.0031,yutf~\,BAsane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0032"", ""meaning-730f7e4e2ef8""]",01.0032,jutf~\,BAsane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0033"", ""meaning-3a332ba259da""]",01.0033,viTf~\,yAcane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0034"", ""meaning-3a332ba259da""]",01.0034,veTf~\,yAcane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0035"", ""meaning-148cd30ab525""]",01.0035,SraTi~\,SETilye,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0036"", ""meaning-2fb8a980f690""]",01.0036,graTi~\,kOwilye,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0037"", ""meaning-b00073dcdeb8""]",01.0037,katTa~\,SlAGAyAm,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0038"", ""meaning-eab2190db789""]",01.0038,ata~,sAtatyagamane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0039"", ""meaning-2d1bec3ff990""]",01.0039,citI~,saMjYAne,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0040"", ""meaning-017dbd0718cb""]",01.0040,cyuti~r,Asecane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0041"", ""meaning-017dbd0718cb""]",01.0041,Scuti~r,Asecane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0042"", ""meaning-dd1adc78b9c7""]",01.0042,Scyuti~r,kzaraRe,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0043"", ""meaning-730f7e4e2ef8""]",01.0043,jyutf~,BAsane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0044"", ""meaning-3bf7963ee53c""]",01.0044,maTi~,hiMsAyAm,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0044"", ""meaning-8f27214ec2fb""]",01.0044,maTi~,saNkleSane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0045"", ""meaning-3bf7963ee53c""]",01.0045,kuTi~,hiMsAyAm,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0045"", ""meaning-8f27214ec2fb""]",01.0045,kuTi~,saNkleSane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0046"", ""meaning-3bf7963ee53c""]",01.0046,puTi~,hiMsAyAm,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0046"", ""meaning-8f27214ec2fb""]",01.0046,puTi~,saNkleSane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0047"", ""meaning-3bf7963ee53c""]",01.0047,luTi~,hiMsAyAm,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0047"", ""meaning-8f27214ec2fb""]",01.0047,luTi~,saNkleSane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0048"", ""meaning-a1e0dd32df21""]",01.0048;09.0047,manTa~,viloqane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0049"", ""meaning-bebe0cdf773e""]",01.0049,ziDa~,gatyAm,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0050"", ""meaning-0ceeb40a9d4c""]",01.0050,ziDU~,mANgalye,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0050"", ""meaning-ab43f9896adb""]",01.0050,ziDU~,SAsane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0051"", ""meaning-943364736a74""]",01.0051,KAdf~,BakzaRe,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0052"", ""meaning-072196f5eb9a""]",01.0052,Kada~,sTErye,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0052"", ""meaning-71acb423bc7c""]",01.0052,Kada~,hiMsAyAM,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0052"", ""meaning-943364736a74""]",01.0052,Kada~,BakzaRe,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0053"", ""meaning-072196f5eb9a""]",01.0053,bada~,sTErye,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0054"", ""meaning-24b37b2743da""]",01.0054,gada~,vyaktAyAM vAci,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0055"", ""meaning-84532f9a4e11""]",01.0055,rada~,vileKane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0056"", ""meaning-f7e0033b3f96""]",01.0056,Rada~,avyakte Sabde,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0057"", ""meaning-3a332ba259da""]",01.0057,arda~,yAcane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0057"", ""meaning-5fa3d59b62c4""]",01.0057,arda~,gatO,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0058"", ""meaning-2dcb1894fd9b""]",01.0058,narda~,Sabde,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0059"", ""meaning-2dcb1894fd9b""]",01.0059;10.0178,garda~,Sabde,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0060"", ""meaning-3bf7963ee53c""]",01.0060,tarda~,hiMsAyAm,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0061"", ""meaning-aefdf1577154""]",01.0061,karda~,kutsite Sabde,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0062"", ""meaning-d9c9036fec59""]",01.0062,Karda~,dandaSUka-kriyAyAm,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0063"", ""meaning-8c20facfc0ac""]",01.0063,ati~,banDane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0064"", ""meaning-8c20facfc0ac""]",01.0064,adi~,banDane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0065"", ""meaning-b058a55ed986""]",01.0065,idi~,paramESvarye,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0066"", ""meaning-6d398acb4c17""]",01.0066,bidi~,avayave,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0067"", ""meaning-6d398acb4c17""]",01.0067,Bidi~,avayave,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0068"", ""meaning-d495bef2be84""]",01.0068;01.0419,gaqi~,vadanEkadeSe,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0069"", ""meaning-8a0e4dd1754b""]",01.0069,Ridi~,kutsAyAm,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0070"", ""meaning-ceb533664f8f""]",01.0070,wunadi~,samfdDO,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0071"", ""meaning-7345560b9c17""]",01.0071,cadi~,dIptO,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0071"", ""meaning-c355cafdeeb2""]",01.0071,cadi~,AhlAde,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0072"", ""meaning-b7d536d607be""]",01.0072,tradi~,cezwAyAm,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0073"", ""meaning-2c105e011cf3""]",01.0073,kadi~,rodane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0073"", ""meaning-4057123862d9""]",01.0073,kadi~,AhvAne,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0074"", ""meaning-2c105e011cf3""]",01.0074,kradi~,rodane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0074"", ""meaning-4057123862d9""]",01.0074,kradi~,AhvAne,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0075"", ""meaning-2c105e011cf3""]",01.0075,kladi~,rodane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0075"", ""meaning-4057123862d9""]",01.0075,kladi~,AhvAne,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0076"", ""meaning-c3ab493c096b""]",01.0076,klidi~,paridevane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0077"", ""meaning-182e7822b614""]",01.0077,SunDa~,SudDO,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0078"", ""meaning-5b3b4eb5a8ec""]",01.0078,SIkf~\,secane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0079"", ""meaning-5b3b4eb5a8ec""]",01.0079,sIkf~\,secane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0080"", ""meaning-5042ee4bdbe7""]",01.0080,lokf~\,darSane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0081"", ""meaning-1685c224b9c2""]",01.0081,Slokf~\,saNGAte,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0082"", ""meaning-5fa3d59b62c4""]",01.0082,Srekf~\,gatO,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0083"", ""meaning-2dcb1894fd9b""]",01.0083,drekf~\,Sabde,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0083"", ""meaning-97eb48abf688""]",01.0083,drekf~\,utsAhe,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0084"", ""meaning-2dcb1894fd9b""]",01.0084,Drekf~\,Sabde,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0084"", ""meaning-97eb48abf688""]",01.0084,Drekf~\,utsAhe,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0085"", ""meaning-97172d4d19e3""]",01.0085,rekf~\,SaNkAyAm,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0086"", ""meaning-5fa3d59b62c4""]",01.0086,sekf~\,gatO,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0087"", ""meaning-5fa3d59b62c4""]",01.0087,srekf~\,gatO,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0088"", ""meaning-5fa3d59b62c4""]",01.0088,sraki~\,gatO,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0089"", ""meaning-5fa3d59b62c4""]",01.0089,Sraki~\,gatO,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0090"", ""meaning-5fa3d59b62c4""]",01.0090,Slaki~\,gatO,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0091"", ""meaning-97172d4d19e3""]",01.0091,Saki~\,SaNkAyAm,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0092"", ""meaning-975c9f9c5b51""]",01.0092,aki~\,lakzaRe,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0093"", ""meaning-2fb8a980f690""]",01.0093,vaki~\,kOwilye,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0094"", ""meaning-4177c2fd2487""]",01.0094,maki~\,maRqane,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0095"", ""meaning-a92dec98a20a""]",01.0095,kaka~\,lOlye,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0096"", ""meaning-57eea3ba0513""]",01.0096,kuka~\,AdAne,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0097"", ""meaning-57eea3ba0513""]",01.0097,vfka~\,AdAne,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
"[""01.0098"", ""meaning-0b365e96ebe7""]",01.0098,caka~\,pratIGAte,no_domain_restriction_found_in_cited_evidence,The currently cited evidence contains no explicit domain restriction; this is not affirmative proof of unrestricted use.,,[]
