candidate_relation_id,compound_word_meaning_id,compound_type,input_forms_slp1,input_semantic_relation,operation_family,operation_id,source_variant,semantic_context,semantic_branch_id,semantic_relation,rule_refs,derivational_depth,reason
7363718de3fedcab3bf7,d51c7482aa4efb47,avyayibhava,AkumAram,indeclinable relation of A to kumAra,namadhatu,agent_comparison_kyang,kyaN,UpamanaKartrAcara,upamana_kartr_acara,act like the compound referent,3.1.11,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
6635c0b7003e78e1e25b,d51c7482aa4efb47,avyayibhava,AkumAram,indeclinable relation of A to kumAra,nan,nan_privative,nan,NanPrivative,nan_privative,"the absence, non-occurrence, or negation of the compound meaning",2.2.6;6.3.73;6.3.74,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
7182f0bd5a301956c04a,dcaf84d16f3ba6b5,avyayibhava,ApAwaliputram,indeclinable relation of A to pAwaliputra,taddhita,state_tva,tva,TasyaBhava,bhava_tva,the state or defining quality denoted by the compound meaning,5.1.119,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
e3683f9afa7c41b1377e,dcaf84d16f3ba6b5,avyayibhava,ApAwaliputram,indeclinable relation of A to pAwaliputra,taddhita,state_tal,tal,TasyaBhava,bhava_tal,the state or defining quality denoted by the compound meaning,5.1.119,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
ab8c80b32165217b8322,dcaf84d16f3ba6b5,avyayibhava,ApAwaliputram,indeclinable relation of A to pAwaliputra,taddhita,possession_matup,matup,TadAsyaAstiAsmin,possession,one or that in which the compound referent is present,5.2.94,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
8664e8a78457c50446a8,dcaf84d16f3ba6b5,avyayibhava,ApAwaliputram,indeclinable relation of A to pAwaliputra,taddhita,superlative_tamap,tamap,AtishayanaSuperlative,superlative,the compound meaning understood to the highest degree within the intended comparison,5.3.55,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
6af8bf55e19c8a0e0fbb,dcaf84d16f3ba6b5,avyayibhava,ApAwaliputram,indeclinable relation of A to pAwaliputra,taddhita,comparative_tarap,tarap,AtishayanaComparative,comparative,the compound meaning understood to a greater degree within the intended comparison,5.3.57,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
fe51336edbd2cf520750,dcaf84d16f3ba6b5,avyayibhava,ApAwaliputram,indeclinable relation of A to pAwaliputra,namadhatu,self_desire_kyac,kyac,AtmanaIccha,atma_iccha_kyac,desire the compound referent in relation to oneself,3.1.8,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
0302bbd90831191507e8,dcaf84d16f3ba6b5,avyayibhava,ApAwaliputram,indeclinable relation of A to pAwaliputra,namadhatu,self_desire_kamyac,kAmyac,AtmanaIccha,atma_iccha_kamyac,desire the compound referent in relation to oneself,3.1.9,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
60fdb62f5651cdf1545a,dcaf84d16f3ba6b5,avyayibhava,ApAwaliputram,indeclinable relation of A to pAwaliputra,namadhatu,object_comparison_kyac,kyac,UpamanaKarmaAcara,upamana_karma_acara,treat an object as comparable to the compound referent,3.1.10,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
c90ec7165db26b32c121,dcaf84d16f3ba6b5,avyayibhava,ApAwaliputram,indeclinable relation of A to pAwaliputra,namadhatu,agent_comparison_kyang,kyaN,UpamanaKartrAcara,upamana_kartr_acara,act like the compound referent,3.1.11,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
14f01208b8a24409bb30,dcaf84d16f3ba6b5,avyayibhava,ApAwaliputram,indeclinable relation of A to pAwaliputra,nan,nan_privative,nan,NanPrivative,nan_privative,"the absence, non-occurrence, or negation of the compound meaning",2.2.6;6.3.73;6.3.74,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
94d77fafe04c5657c9ea,657dfce6864d572b,avyayibhava,SAkaprati,indeclinable relation of SAka to prati,taddhita,state_tva,tva,TasyaBhava,bhava_tva,the state or defining quality denoted by the compound meaning,5.1.119,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
ed0e44eabe958d57a88c,657dfce6864d572b,avyayibhava,SAkaprati,indeclinable relation of SAka to prati,taddhita,state_tal,tal,TasyaBhava,bhava_tal,the state or defining quality denoted by the compound meaning,5.1.119,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
5e5c698f2a7792beb53f,657dfce6864d572b,avyayibhava,SAkaprati,indeclinable relation of SAka to prati,taddhita,possession_matup,matup,TadAsyaAstiAsmin,possession,one or that in which the compound referent is present,5.2.94,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
db294d8f455d4b8d71d4,657dfce6864d572b,avyayibhava,SAkaprati,indeclinable relation of SAka to prati,taddhita,superlative_tamap,tamap,AtishayanaSuperlative,superlative,the compound meaning understood to the highest degree within the intended comparison,5.3.55,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
4e8831b38c8c65d63dfb,657dfce6864d572b,avyayibhava,SAkaprati,indeclinable relation of SAka to prati,taddhita,comparative_tarap,tarap,AtishayanaComparative,comparative,the compound meaning understood to a greater degree within the intended comparison,5.3.57,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
1de4d06ebe23d4016d8e,657dfce6864d572b,avyayibhava,SAkaprati,indeclinable relation of SAka to prati,namadhatu,self_desire_kyac,kyac,AtmanaIccha,atma_iccha_kyac,desire the compound referent in relation to oneself,3.1.8,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
9458eee2a92788eb37f0,657dfce6864d572b,avyayibhava,SAkaprati,indeclinable relation of SAka to prati,namadhatu,self_desire_kamyac,kAmyac,AtmanaIccha,atma_iccha_kamyac,desire the compound referent in relation to oneself,3.1.9,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
c5b13aab9b5d9bcec794,657dfce6864d572b,avyayibhava,SAkaprati,indeclinable relation of SAka to prati,namadhatu,object_comparison_kyac,kyac,UpamanaKarmaAcara,upamana_karma_acara,treat an object as comparable to the compound referent,3.1.10,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
b3c4a30fca04968cbfa4,657dfce6864d572b,avyayibhava,SAkaprati,indeclinable relation of SAka to prati,namadhatu,agent_comparison_kyang,kyaN,UpamanaKartrAcara,upamana_kartr_acara,act like the compound referent,3.1.11,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
32133e35a7e6f9caf97d,657dfce6864d572b,avyayibhava,SAkaprati,indeclinable relation of SAka to prati,nan,nan_privative,nan,NanPrivative,nan_privative,"the absence, non-occurrence, or negation of the compound meaning",2.2.6;6.3.73;6.3.74,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
f595be0823e4c035b97e,8e9cf1199096f467,avyayibhava,SalAkApari,indeclinable relation of SalAkA to pari,taddhita,state_tva,tva,TasyaBhava,bhava_tva,the state or defining quality denoted by the compound meaning,5.1.119,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
43e60aa3be1217556247,8e9cf1199096f467,avyayibhava,SalAkApari,indeclinable relation of SalAkA to pari,taddhita,state_tal,tal,TasyaBhava,bhava_tal,the state or defining quality denoted by the compound meaning,5.1.119,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
771f0de9b827a860a0eb,8e9cf1199096f467,avyayibhava,SalAkApari,indeclinable relation of SalAkA to pari,taddhita,possession_matup,matup,TadAsyaAstiAsmin,possession,one or that in which the compound referent is present,5.2.94,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
beacd7ae3f8c34cf120e,8e9cf1199096f467,avyayibhava,SalAkApari,indeclinable relation of SalAkA to pari,taddhita,superlative_tamap,tamap,AtishayanaSuperlative,superlative,the compound meaning understood to the highest degree within the intended comparison,5.3.55,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
504d776f5940785755f6,8e9cf1199096f467,avyayibhava,SalAkApari,indeclinable relation of SalAkA to pari,taddhita,comparative_tarap,tarap,AtishayanaComparative,comparative,the compound meaning understood to a greater degree within the intended comparison,5.3.57,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
004a2905d1f9f82e6748,8e9cf1199096f467,avyayibhava,SalAkApari,indeclinable relation of SalAkA to pari,namadhatu,self_desire_kyac,kyac,AtmanaIccha,atma_iccha_kyac,desire the compound referent in relation to oneself,3.1.8,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
4a699bd083ac5ee5bf22,8e9cf1199096f467,avyayibhava,SalAkApari,indeclinable relation of SalAkA to pari,namadhatu,self_desire_kamyac,kAmyac,AtmanaIccha,atma_iccha_kamyac,desire the compound referent in relation to oneself,3.1.9,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
f8a5e74d2db93b2f8515,8e9cf1199096f467,avyayibhava,SalAkApari,indeclinable relation of SalAkA to pari,namadhatu,object_comparison_kyac,kyac,UpamanaKarmaAcara,upamana_karma_acara,treat an object as comparable to the compound referent,3.1.10,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
3138c567841bd0dd1273,8e9cf1199096f467,avyayibhava,SalAkApari,indeclinable relation of SalAkA to pari,namadhatu,agent_comparison_kyang,kyaN,UpamanaKartrAcara,upamana_kartr_acara,act like the compound referent,3.1.11,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
69b2eaa3a7b233f7175b,8e9cf1199096f467,avyayibhava,SalAkApari,indeclinable relation of SalAkA to pari,nan,nan_privative,nan,NanPrivative,nan_privative,"the absence, non-occurrence, or negation of the compound meaning",2.2.6;6.3.73;6.3.74,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
9f260a6243be448447f0,4be75dcbae1f3197,avyayibhava,aByagni,indeclinable relation of aBi to agni,taddhita,state_tva,tva,TasyaBhava,bhava_tva,the state or defining quality denoted by the compound meaning,5.1.119,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
e1358fea467222b30687,4be75dcbae1f3197,avyayibhava,aByagni,indeclinable relation of aBi to agni,taddhita,state_tal,tal,TasyaBhava,bhava_tal,the state or defining quality denoted by the compound meaning,5.1.119,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
09d3879658f7b6813030,4be75dcbae1f3197,avyayibhava,aByagni,indeclinable relation of aBi to agni,taddhita,possession_matup,matup,TadAsyaAstiAsmin,possession,one or that in which the compound referent is present,5.2.94,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
aba24310034e1d4cc5ee,4be75dcbae1f3197,avyayibhava,aByagni,indeclinable relation of aBi to agni,taddhita,superlative_tamap,tamap,AtishayanaSuperlative,superlative,the compound meaning understood to the highest degree within the intended comparison,5.3.55,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
63618ccf1a2808306773,4be75dcbae1f3197,avyayibhava,aByagni,indeclinable relation of aBi to agni,taddhita,comparative_tarap,tarap,AtishayanaComparative,comparative,the compound meaning understood to a greater degree within the intended comparison,5.3.57,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
8b64fad002c9dc5b6440,4be75dcbae1f3197,avyayibhava,aByagni,indeclinable relation of aBi to agni,namadhatu,self_desire_kyac,kyac,AtmanaIccha,atma_iccha_kyac,desire the compound referent in relation to oneself,3.1.8,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
724130edec08d5982939,4be75dcbae1f3197,avyayibhava,aByagni,indeclinable relation of aBi to agni,namadhatu,self_desire_kamyac,kAmyac,AtmanaIccha,atma_iccha_kamyac,desire the compound referent in relation to oneself,3.1.9,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
e03caf4dac44ef34dcc0,4be75dcbae1f3197,avyayibhava,aByagni,indeclinable relation of aBi to agni,namadhatu,object_comparison_kyac,kyac,UpamanaKarmaAcara,upamana_karma_acara,treat an object as comparable to the compound referent,3.1.10,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
45cc26181e245e7f05f4,4be75dcbae1f3197,avyayibhava,aByagni,indeclinable relation of aBi to agni,namadhatu,agent_comparison_kyang,kyaN,UpamanaKartrAcara,upamana_kartr_acara,act like the compound referent,3.1.11,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
05e4d2d76c40507c6950,4be75dcbae1f3197,avyayibhava,aByagni,indeclinable relation of aBi to agni,nan,nan_privative,nan,NanPrivative,nan_privative,"the absence, non-occurrence, or negation of the compound meaning",2.2.6;6.3.73;6.3.74,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
20a6ca487c2dfc941e37,b7caad4a02f600bf,avyayibhava,akzapari,indeclinable relation of akza to pari,taddhita,state_tva,tva,TasyaBhava,bhava_tva,the state or defining quality denoted by the compound meaning,5.1.119,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
2cad20fdf065c28811df,b7caad4a02f600bf,avyayibhava,akzapari,indeclinable relation of akza to pari,taddhita,state_tal,tal,TasyaBhava,bhava_tal,the state or defining quality denoted by the compound meaning,5.1.119,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
44a637e7c9e627bdcb53,b7caad4a02f600bf,avyayibhava,akzapari,indeclinable relation of akza to pari,taddhita,possession_matup,matup,TadAsyaAstiAsmin,possession,one or that in which the compound referent is present,5.2.94,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
c62150a13593f8510375,b7caad4a02f600bf,avyayibhava,akzapari,indeclinable relation of akza to pari,taddhita,superlative_tamap,tamap,AtishayanaSuperlative,superlative,the compound meaning understood to the highest degree within the intended comparison,5.3.55,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
3e8257ed492975138b8c,b7caad4a02f600bf,avyayibhava,akzapari,indeclinable relation of akza to pari,taddhita,comparative_tarap,tarap,AtishayanaComparative,comparative,the compound meaning understood to a greater degree within the intended comparison,5.3.57,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
e4dcfa80afd85827271d,b7caad4a02f600bf,avyayibhava,akzapari,indeclinable relation of akza to pari,namadhatu,self_desire_kyac,kyac,AtmanaIccha,atma_iccha_kyac,desire the compound referent in relation to oneself,3.1.8,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
47679ea39cc9f3277f0f,b7caad4a02f600bf,avyayibhava,akzapari,indeclinable relation of akza to pari,namadhatu,self_desire_kamyac,kAmyac,AtmanaIccha,atma_iccha_kamyac,desire the compound referent in relation to oneself,3.1.9,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
37aee9ac3d4300517a21,b7caad4a02f600bf,avyayibhava,akzapari,indeclinable relation of akza to pari,namadhatu,object_comparison_kyac,kyac,UpamanaKarmaAcara,upamana_karma_acara,treat an object as comparable to the compound referent,3.1.10,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
ea40df3afecef731e6ce,b7caad4a02f600bf,avyayibhava,akzapari,indeclinable relation of akza to pari,namadhatu,agent_comparison_kyang,kyaN,UpamanaKartrAcara,upamana_kartr_acara,act like the compound referent,3.1.11,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
96e531dd2d9ca28421e1,b7caad4a02f600bf,avyayibhava,akzapari,indeclinable relation of akza to pari,nan,nan_privative,nan,NanPrivative,nan_privative,"the absence, non-occurrence, or negation of the compound meaning",2.2.6;6.3.73;6.3.74,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
358855fb273a0ff05faf,20f0fa4b456db950,avyayibhava,anuvanam,indeclinable relation of anu to vana,taddhita,state_tva,tva,TasyaBhava,bhava_tva,the state or defining quality denoted by the compound meaning,5.1.119,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
e30fa326d7d8033b0a86,20f0fa4b456db950,avyayibhava,anuvanam,indeclinable relation of anu to vana,taddhita,state_tal,tal,TasyaBhava,bhava_tal,the state or defining quality denoted by the compound meaning,5.1.119,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
8668efef822ccb816023,20f0fa4b456db950,avyayibhava,anuvanam,indeclinable relation of anu to vana,taddhita,possession_matup,matup,TadAsyaAstiAsmin,possession,one or that in which the compound referent is present,5.2.94,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
cc9b5e5394343b8b2b13,20f0fa4b456db950,avyayibhava,anuvanam,indeclinable relation of anu to vana,taddhita,superlative_tamap,tamap,AtishayanaSuperlative,superlative,the compound meaning understood to the highest degree within the intended comparison,5.3.55,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
8733eb17615602b61964,20f0fa4b456db950,avyayibhava,anuvanam,indeclinable relation of anu to vana,taddhita,comparative_tarap,tarap,AtishayanaComparative,comparative,the compound meaning understood to a greater degree within the intended comparison,5.3.57,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
d2ff2deff1711a50c815,20f0fa4b456db950,avyayibhava,anuvanam,indeclinable relation of anu to vana,namadhatu,self_desire_kyac,kyac,AtmanaIccha,atma_iccha_kyac,desire the compound referent in relation to oneself,3.1.8,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
c1448d18b0694049c172,20f0fa4b456db950,avyayibhava,anuvanam,indeclinable relation of anu to vana,namadhatu,self_desire_kamyac,kAmyac,AtmanaIccha,atma_iccha_kamyac,desire the compound referent in relation to oneself,3.1.9,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
2382c26b1fb4acf08ea0,20f0fa4b456db950,avyayibhava,anuvanam,indeclinable relation of anu to vana,namadhatu,object_comparison_kyac,kyac,UpamanaKarmaAcara,upamana_karma_acara,treat an object as comparable to the compound referent,3.1.10,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
833678e4519f2b2b0867,20f0fa4b456db950,avyayibhava,anuvanam,indeclinable relation of anu to vana,namadhatu,agent_comparison_kyang,kyaN,UpamanaKartrAcara,upamana_kartr_acara,act like the compound referent,3.1.11,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
15ab7aa221ca76e3a239,20f0fa4b456db950,avyayibhava,anuvanam,indeclinable relation of anu to vana,nan,nan_privative,nan,NanPrivative,nan_privative,"the absence, non-occurrence, or negation of the compound meaning",2.2.6;6.3.73;6.3.74,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
7009053a169b0408ff31,2355404be555a285,avyayibhava,catuzpari,indeclinable relation of catus to pari,taddhita,state_tva,tva,TasyaBhava,bhava_tva,the state or defining quality denoted by the compound meaning,5.1.119,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
da999a46900fe0d00bc4,2355404be555a285,avyayibhava,catuzpari,indeclinable relation of catus to pari,taddhita,state_tal,tal,TasyaBhava,bhava_tal,the state or defining quality denoted by the compound meaning,5.1.119,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
c0169cdb5287610e456b,2355404be555a285,avyayibhava,catuzpari,indeclinable relation of catus to pari,taddhita,possession_matup,matup,TadAsyaAstiAsmin,possession,one or that in which the compound referent is present,5.2.94,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
e542b8d3525396b6348c,2355404be555a285,avyayibhava,catuzpari,indeclinable relation of catus to pari,taddhita,superlative_tamap,tamap,AtishayanaSuperlative,superlative,the compound meaning understood to the highest degree within the intended comparison,5.3.55,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
c453a611f5566b2a6a50,2355404be555a285,avyayibhava,catuzpari,indeclinable relation of catus to pari,taddhita,comparative_tarap,tarap,AtishayanaComparative,comparative,the compound meaning understood to a greater degree within the intended comparison,5.3.57,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
877981b20a6a0f8f91e9,2355404be555a285,avyayibhava,catuzpari,indeclinable relation of catus to pari,namadhatu,self_desire_kyac,kyac,AtmanaIccha,atma_iccha_kyac,desire the compound referent in relation to oneself,3.1.8,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
a0eb837931b41d376534,2355404be555a285,avyayibhava,catuzpari,indeclinable relation of catus to pari,namadhatu,self_desire_kamyac,kAmyac,AtmanaIccha,atma_iccha_kamyac,desire the compound referent in relation to oneself,3.1.9,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
89948e83a55c0079e19a,2355404be555a285,avyayibhava,catuzpari,indeclinable relation of catus to pari,namadhatu,object_comparison_kyac,kyac,UpamanaKarmaAcara,upamana_karma_acara,treat an object as comparable to the compound referent,3.1.10,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
7090b4325f2b31421637,2355404be555a285,avyayibhava,catuzpari,indeclinable relation of catus to pari,namadhatu,agent_comparison_kyang,kyaN,UpamanaKartrAcara,upamana_kartr_acara,act like the compound referent,3.1.11,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
661e6d8f32b2ea4b5cf5,2355404be555a285,avyayibhava,catuzpari,indeclinable relation of catus to pari,nan,nan_privative,nan,NanPrivative,nan_privative,"the absence, non-occurrence, or negation of the compound meaning",2.2.6;6.3.73;6.3.74,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
f6cc79f79eb55f2fb5cb,86445b349e32ffec,avyayibhava,dvimuni,indeclinable relation of dvi to muni,taddhita,state_tva,tva,TasyaBhava,bhava_tva,the state or defining quality denoted by the compound meaning,5.1.119,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
04117813adbceeaa606c,86445b349e32ffec,avyayibhava,dvimuni,indeclinable relation of dvi to muni,taddhita,state_tal,tal,TasyaBhava,bhava_tal,the state or defining quality denoted by the compound meaning,5.1.119,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
41a7b8c795ad2faafd4f,86445b349e32ffec,avyayibhava,dvimuni,indeclinable relation of dvi to muni,taddhita,possession_matup,matup,TadAsyaAstiAsmin,possession,one or that in which the compound referent is present,5.2.94,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
13a8aa25fcb5db9aceff,86445b349e32ffec,avyayibhava,dvimuni,indeclinable relation of dvi to muni,taddhita,superlative_tamap,tamap,AtishayanaSuperlative,superlative,the compound meaning understood to the highest degree within the intended comparison,5.3.55,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
48e864cfacf4286a7c85,86445b349e32ffec,avyayibhava,dvimuni,indeclinable relation of dvi to muni,taddhita,comparative_tarap,tarap,AtishayanaComparative,comparative,the compound meaning understood to a greater degree within the intended comparison,5.3.57,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
239f816ea309827f2e11,86445b349e32ffec,avyayibhava,dvimuni,indeclinable relation of dvi to muni,namadhatu,self_desire_kyac,kyac,AtmanaIccha,atma_iccha_kyac,desire the compound referent in relation to oneself,3.1.8,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
f7dce8dea33e8949193a,86445b349e32ffec,avyayibhava,dvimuni,indeclinable relation of dvi to muni,namadhatu,self_desire_kamyac,kAmyac,AtmanaIccha,atma_iccha_kamyac,desire the compound referent in relation to oneself,3.1.9,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
d8e84ec254860aaedbcb,86445b349e32ffec,avyayibhava,dvimuni,indeclinable relation of dvi to muni,namadhatu,object_comparison_kyac,kyac,UpamanaKarmaAcara,upamana_karma_acara,treat an object as comparable to the compound referent,3.1.10,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
8e0e49d498e4bbdf6818,86445b349e32ffec,avyayibhava,dvimuni,indeclinable relation of dvi to muni,namadhatu,agent_comparison_kyang,kyaN,UpamanaKartrAcara,upamana_kartr_acara,act like the compound referent,3.1.11,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
8ccdc180c501d9b6c56e,86445b349e32ffec,avyayibhava,dvimuni,indeclinable relation of dvi to muni,nan,nan_privative,nan,NanPrivative,nan_privative,"the absence, non-occurrence, or negation of the compound meaning",2.2.6;6.3.73;6.3.74,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
34dd74781c08c000fa00,5e2bf300c2419b35,avyayibhava,dvipari,indeclinable relation of dvi to pari,taddhita,state_tva,tva,TasyaBhava,bhava_tva,the state or defining quality denoted by the compound meaning,5.1.119,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
67513c233b71aeefb41d,5e2bf300c2419b35,avyayibhava,dvipari,indeclinable relation of dvi to pari,taddhita,state_tal,tal,TasyaBhava,bhava_tal,the state or defining quality denoted by the compound meaning,5.1.119,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
