slp1,iast,devanagari,gloss,particle_pattern,particles,aksharas,mw_derivatives,notes
glA,glā,ग्ला,be weary,CCV,3,1,8,low; glāyati/glāni/...
DyA,dhyā,ध्या,meditate,CCV,3,1,18,moderate; dhyāyati/dhyāna/dhyātṛ/abhidhyāna/...
mnA,mnā,म्ना,study/recite,CCV,3,1,12,low; manyate (in compounds: āmnāya/samāmnāya)/...
hnu,hnu,ह्नु,conceal,CCV,3,1,5,low; hnute/...
SrI,śrī,श्री,resort/serve,CCV,3,1,18,moderate; śrayate/śraya/āśraya/saṃśraya/...
syand,syand,स्यन्द्,flow,CCVCC,5,1,12,low; syandate/syanda/syandana/...
prac,prach,प्रच्छ्,ask,CCVCC,5,1,18,moderate; pṛcchati/praśna/prccchaka/...
kruD,krudh,क्रुध्,be angry,CCVC,4,1,18,moderate; krudhyati/krodha/krudhita/...
kruS,kruś,क्रुश्,cry,CCVC,4,1,12,low; krośati/krośa/ākroś/...
kzar,kṣar,क्षर्,flow,CCVC,4,1,15,moderate; kṣarati/kṣaraṇa/akṣara/...
kzaR,kṣaṇ,क्षण्,hurt,CCVC,4,1,8,low; kṣaṇoti/kṣata/kṣaṇa/...
kzaR,kṣam,क्षम्,endure,CCVC,4,1,18,moderate; kṣamate/kṣamā/kṣamaṇa/kṣānti/...
kzud,kṣudh,क्षुध्,starve,CCVC,4,1,10,low; kṣudhyati/kṣudh/kṣudhā/kṣudhita/...
kzip,kṣip,क्षिप्,throw,CCVC,4,1,25,moderate-high; kṣipati/kṣepa/kṣepaṇa/kṣipti/utkṣepa/saṃkṣepa/vikṣepa/...
SuD,śudh,शुध्,be pure,CVC,3,1,20,moderate; śudhyati/śuddhi/śuddha/śuddhāntar/saṃśuddhi/viśuddhi/...
SuB,śubh,शुभ्,shine,CVC,3,1,18,moderate; śobhate/śobha/śobhana/aśubha/saṃśobha/...
budh,budh,बुध्,awake/know,CVC,3,1,30,high; budhyate/buddha/buddhi/bodha/bodhana/avabodha/pratibuddha/...
